File	type	entity
austen-northanger.tsv	LOCATION	Morlands
austen-northanger.tsv	LOCATION	England
austen-northanger.tsv	LOCATION	Wiltshire
austen-northanger.tsv	LOCATION	Morlands
austen-northanger.tsv	LOCATION	Pulteney Street
austen-northanger.tsv	LOCATION	Salisbury
austen-northanger.tsv	LOCATION	Gloucestershire
austen-northanger.tsv	LOCATION	London
austen-northanger.tsv	LOCATION	Tunbridge
austen-northanger.tsv	LOCATION	London
austen-northanger.tsv	LOCATION	England
austen-northanger.tsv	LOCATION	Milsom Street
austen-northanger.tsv	LOCATION	Rhine
austen-northanger.tsv	LOCATION	Cheap Street
austen-northanger.tsv	LOCATION	London
austen-northanger.tsv	LOCATION	Oxford
austen-northanger.tsv	LOCATION	Tetbury Miss Morland
austen-northanger.tsv	LOCATION	Tetbury
austen-northanger.tsv	LOCATION	England
austen-northanger.tsv	LOCATION	Tetbury
austen-northanger.tsv	LOCATION	Walcot Church
austen-northanger.tsv	LOCATION	Christchurch
austen-northanger.tsv	LOCATION	Magdalen Bridge
austen-northanger.tsv	LOCATION	Oxford
austen-northanger.tsv	LOCATION	Milsom Street
austen-northanger.tsv	LOCATION	Lansdown Hill
austen-northanger.tsv	LOCATION	Pulteney Street
austen-northanger.tsv	LOCATION	Udolpho
austen-northanger.tsv	LOCATION	Pulteney Street
austen-northanger.tsv	LOCATION	Pulteney Street
austen-northanger.tsv	LOCATION	Oxford
austen-northanger.tsv	LOCATION	Oxford
austen-northanger.tsv	LOCATION	Oxford
austen-northanger.tsv	LOCATION	England
austen-northanger.tsv	LOCATION	Pulteney Street
austen-northanger.tsv	LOCATION	Crescent
austen-northanger.tsv	LOCATION	Gloucestershire
austen-northanger.tsv	LOCATION	Morlands
austen-northanger.tsv	LOCATION	Leicestershire
austen-northanger.tsv	LOCATION	London
austen-northanger.tsv	LOCATION	London
austen-northanger.tsv	LOCATION	Pulteney Street
austen-northanger.tsv	LOCATION	Tuscany
austen-northanger.tsv	LOCATION	France
austen-northanger.tsv	LOCATION	Kingsweston
austen-northanger.tsv	LOCATION	Blaize Castle
austen-northanger.tsv	LOCATION	England
austen-northanger.tsv	LOCATION	Broad Street
austen-northanger.tsv	LOCATION	Lansdown Road
austen-northanger.tsv	LOCATION	Pulteney Street
austen-northanger.tsv	LOCATION	Laura Place
austen-northanger.tsv	LOCATION	Lansdown Road
austen-northanger.tsv	LOCATION	Keynsham
austen-northanger.tsv	LOCATION	Morland
austen-northanger.tsv	LOCATION	Pulteney Street
austen-northanger.tsv	LOCATION	Pulteney Street
austen-northanger.tsv	LOCATION	Milsom Street
austen-northanger.tsv	LOCATION	Milsom Street
austen-northanger.tsv	LOCATION	London
austen-northanger.tsv	LOCATION	Bedford
austen-northanger.tsv	LOCATION	Morland
austen-northanger.tsv	LOCATION	Brock Street
austen-northanger.tsv	LOCATION	Pulteney Street
austen-northanger.tsv	LOCATION	France
austen-northanger.tsv	LOCATION	Udolpho
austen-northanger.tsv	LOCATION	Italy
austen-northanger.tsv	LOCATION	Oxford
austen-northanger.tsv	LOCATION	London Miss Tilney
austen-northanger.tsv	LOCATION	London
austen-northanger.tsv	LOCATION	London
austen-northanger.tsv	LOCATION	St George
austen-northanger.tsv	LOCATION	London
austen-northanger.tsv	LOCATION	Northampton
austen-northanger.tsv	LOCATION	Bond Street
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	London
austen-northanger.tsv	LOCATION	Richmond Richmond
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	Salisbury
austen-northanger.tsv	LOCATION	Isabella
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	Putney
austen-northanger.tsv	LOCATION	London
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	Milsom Street
austen-northanger.tsv	LOCATION	Milsom Street
austen-northanger.tsv	LOCATION	Longtown
austen-northanger.tsv	LOCATION	Gloucestershire
austen-northanger.tsv	LOCATION	Pulteney Street
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	Northanger Abbey
austen-northanger.tsv	LOCATION	Gloucestershire
austen-northanger.tsv	LOCATION	England
austen-northanger.tsv	LOCATION	Pulteney Street
austen-northanger.tsv	LOCATION	Gloucestershire
austen-northanger.tsv	LOCATION	Pulteney Street
austen-northanger.tsv	LOCATION	Milsom Street
austen-northanger.tsv	LOCATION	Pulteney Street
austen-northanger.tsv	LOCATION	Milsom Street
austen-northanger.tsv	LOCATION	Petty France
austen-northanger.tsv	LOCATION	Petty France
austen-northanger.tsv	LOCATION	Woodston
austen-northanger.tsv	LOCATION	Rumford
austen-northanger.tsv	LOCATION	Milsom Street
austen-northanger.tsv	LOCATION	Staffordshire
austen-northanger.tsv	LOCATION	Dresden
austen-northanger.tsv	LOCATION	Woodston
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	Midland
austen-northanger.tsv	LOCATION	England
austen-northanger.tsv	LOCATION	Alps
austen-northanger.tsv	LOCATION	Italy Switzerland
austen-northanger.tsv	LOCATION	France
austen-northanger.tsv	LOCATION	England
austen-northanger.tsv	LOCATION	Alps
austen-northanger.tsv	LOCATION	England
austen-northanger.tsv	LOCATION	Oxford
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	Oxford
austen-northanger.tsv	LOCATION	Fullerton
austen-northanger.tsv	LOCATION	Oxford Nothing
austen-northanger.tsv	LOCATION	Putney
austen-northanger.tsv	LOCATION	Woodston
austen-northanger.tsv	LOCATION	Woodston
austen-northanger.tsv	LOCATION	Brockham
austen-northanger.tsv	LOCATION	Woodston
austen-northanger.tsv	LOCATION	Woodston
austen-northanger.tsv	LOCATION	Woodston
austen-northanger.tsv	LOCATION	Newfoundland
austen-northanger.tsv	LOCATION	England
austen-northanger.tsv	LOCATION	Oxford
austen-northanger.tsv	LOCATION	Putney
austen-northanger.tsv	LOCATION	Woodston
austen-northanger.tsv	LOCATION	London
austen-northanger.tsv	LOCATION	London
austen-northanger.tsv	LOCATION	Woodston
