File	type	entity
thoreau-civil-182.tsv	LOCATION	Mexico
thoreau-civil-182.tsv	LOCATION	Massachusetts
thoreau-civil-182.tsv	LOCATION	Massachusetts
thoreau-civil-182.tsv	LOCATION	South
thoreau-civil-182.tsv	LOCATION	Mexico
thoreau-civil-182.tsv	LOCATION	Washington
thoreau-civil-182.tsv	LOCATION	Mexico
thoreau-civil-182.tsv	LOCATION	Baltimore
thoreau-civil-182.tsv	LOCATION	America
thoreau-civil-182.tsv	LOCATION	Mexico
thoreau-civil-182.tsv	LOCATION	States
thoreau-civil-182.tsv	LOCATION	Washington
thoreau-civil-182.tsv	LOCATION	Massachusetts
thoreau-civil-182.tsv	LOCATION	Massachusetts
thoreau-civil-182.tsv	LOCATION	America
thoreau-civil-182.tsv	LOCATION	Carolina
thoreau-civil-182.tsv	LOCATION	Massachusetts
thoreau-civil-182.tsv	LOCATION	Massachusetts
thoreau-civil-182.tsv	LOCATION	Caesar
thoreau-civil-182.tsv	LOCATION	Turkey
thoreau-civil-182.tsv	LOCATION	Massachusetts
thoreau-civil-182.tsv	LOCATION	Massachusetts
thoreau-civil-182.tsv	LOCATION	Concord
thoreau-civil-182.tsv	LOCATION	States
thoreau-civil-182.tsv	LOCATION	America
thoreau-civil-182.tsv	LOCATION	States
thoreau-civil-182.tsv	LOCATION	America
thoreau-civil-182.tsv	LOCATION	America
thoreau-life-183.tsv	LOCATION	Chancery
thoreau-life-183.tsv	LOCATION	Boston
thoreau-life-183.tsv	LOCATION	Charlestown
thoreau-life-183.tsv	LOCATION	California
thoreau-life-183.tsv	LOCATION	San Francisco
thoreau-life-183.tsv	LOCATION	Ballarat
thoreau-life-183.tsv	LOCATION	California
thoreau-life-183.tsv	LOCATION	Australia
thoreau-life-183.tsv	LOCATION	Ballarat
thoreau-life-183.tsv	LOCATION	Australia
thoreau-life-183.tsv	LOCATION	Darien
thoreau-life-183.tsv	LOCATION	New Granada
thoreau-life-183.tsv	LOCATION	Boca del Toro
thoreau-life-183.tsv	LOCATION	California
thoreau-life-183.tsv	LOCATION	New England
thoreau-life-183.tsv	LOCATION	Europe
thoreau-life-183.tsv	LOCATION	Massachusetts
thoreau-life-183.tsv	LOCATION	Pompeii
thoreau-life-183.tsv	LOCATION	America
thoreau-life-183.tsv	LOCATION	Christendom
thoreau-life-183.tsv	LOCATION	Rome
thoreau-life-183.tsv	LOCATION	Virginia
thoreau-life-183.tsv	LOCATION	States
thoreau-life-183.tsv	LOCATION	Leghorn
thoreau-life-183.tsv	LOCATION	New York
thoreau-life-183.tsv	LOCATION	America
thoreau-life-183.tsv	LOCATION	Amazon
thoreau-life-183.tsv	LOCATION	Virginia
thoreau-life-183.tsv	LOCATION	England
thoreau-plea-184.tsv	LOCATION	Connecticut
thoreau-plea-184.tsv	LOCATION	Ohio
thoreau-plea-184.tsv	LOCATION	Kansas
thoreau-plea-184.tsv	LOCATION	Kansas
thoreau-plea-184.tsv	LOCATION	Europe
thoreau-plea-184.tsv	LOCATION	England
thoreau-plea-184.tsv	LOCATION	Germany
thoreau-plea-184.tsv	LOCATION	England
thoreau-plea-184.tsv	LOCATION	Germany
thoreau-plea-184.tsv	LOCATION	New England
thoreau-plea-184.tsv	LOCATION	Lexington
thoreau-plea-184.tsv	LOCATION	West
thoreau-plea-184.tsv	LOCATION	Kansas
thoreau-plea-184.tsv	LOCATION	Cromwell
thoreau-plea-184.tsv	LOCATION	New England
thoreau-plea-184.tsv	LOCATION	Kansas
thoreau-plea-184.tsv	LOCATION	Kansas
thoreau-plea-184.tsv	LOCATION	Buncombe
thoreau-plea-184.tsv	LOCATION	Cromwell
thoreau-plea-184.tsv	LOCATION	Kansas
thoreau-plea-184.tsv	LOCATION	Missouri
thoreau-plea-184.tsv	LOCATION	Kansas
thoreau-plea-184.tsv	LOCATION	Missouri
thoreau-plea-184.tsv	LOCATION	United States
thoreau-plea-184.tsv	LOCATION	North
thoreau-plea-184.tsv	LOCATION	Virginia
thoreau-plea-184.tsv	LOCATION	Balaklava
thoreau-plea-184.tsv	LOCATION	Austrias
thoreau-plea-184.tsv	LOCATION	South Sea Islands
thoreau-plea-184.tsv	LOCATION	Boston
thoreau-plea-184.tsv	LOCATION	Pennsylvania
thoreau-plea-184.tsv	LOCATION	South
thoreau-plea-184.tsv	LOCATION	America
thoreau-plea-184.tsv	LOCATION	Massachusetts State House
thoreau-plea-184.tsv	LOCATION	Kansas
thoreau-plea-184.tsv	LOCATION	Kansas
thoreau-plea-184.tsv	LOCATION	Massachusetts
thoreau-plea-184.tsv	LOCATION	France
thoreau-plea-184.tsv	LOCATION	Austria
thoreau-plea-184.tsv	LOCATION	United States
thoreau-plea-184.tsv	LOCATION	Massachusetts
thoreau-plea-184.tsv	LOCATION	Massachusetts
thoreau-plea-184.tsv	LOCATION	Massachusetts
thoreau-plea-184.tsv	LOCATION	Virginia
thoreau-plea-184.tsv	LOCATION	Northern States
thoreau-plea-184.tsv	LOCATION	Underground Railroad
thoreau-plea-184.tsv	LOCATION	America
thoreau-plea-184.tsv	LOCATION	America
thoreau-plea-184.tsv	LOCATION	America
thoreau-plea-184.tsv	LOCATION	Franklin Washington
thoreau-plea-184.tsv	LOCATION	America
thoreau-plea-184.tsv	LOCATION	South
thoreau-plea-184.tsv	LOCATION	Rome
thoreau-slavery-185.tsv	LOCATION	MASSACHUSETTS
thoreau-slavery-185.tsv	LOCATION	Concord
thoreau-slavery-185.tsv	LOCATION	Massachusetts
thoreau-slavery-185.tsv	LOCATION	Nebraska
thoreau-slavery-185.tsv	LOCATION	Massachusetts
thoreau-slavery-185.tsv	LOCATION	Massachusetts
thoreau-slavery-185.tsv	LOCATION	Concord
thoreau-slavery-185.tsv	LOCATION	Yellowstone River Our Buttricks
thoreau-slavery-185.tsv	LOCATION	Davises
thoreau-slavery-185.tsv	LOCATION	Lexington
thoreau-slavery-185.tsv	LOCATION	Nebraska
thoreau-slavery-185.tsv	LOCATION	Massachusetts
thoreau-slavery-185.tsv	LOCATION	Massachusetts
