type	entity
PERSON	Jeremy L McLaughlin
ORGANIZATION	ASI amp T Special Interest Groups Arts
ORGANIZATION	Information amp Technology
ORGANIZATION	ASIS
ORGANIZATION	ASIS
ORGANIZATION	National Endowment for the Humanities the Modern Language Association
ORGANIZATION	Digital Public Library of America Academics
PERSON	Bob Ross
ORGANIZATION	Information amp Technology in the Arts amp Humanities
PERSON	Jeremy L McLaughlin
ORGANIZATION	ASIS amp T Special Interest Group Arts and Humanities SIG
ORGANIZATION	Special Interest Group Visualization Images
ORGANIZATION	MLIS
ORGANIZATION	San Jose State
ORGANIZATION	ProQuest
PERSON	Michelle Sidler
ORGANIZATION	Michael L Black University of Massachusetts Amherst
ORGANIZATION	Miriam Posner University of California
LOCATION	Los Angeles
PERSON	Miriam
PERSON	Joseph Locke
PERSON	Ben Wright
PERSON	Krystyna Matusiak
PERSON	Anna Harper
ORGANIZATION	University of Denver
PERSON	David Bourget
ORGANIZATION	University of Western Ontario
ORGANIZATION	Centre for Digital Philosophy PhilPapers
ORGANIZATION	ASIS
ORGANIZATION	OA
PERSON	Martin Paul Eve
PERSON	Martin
ORGANIZATION	Open Library of Humanities
PERSON	Jamie A Thomas
ORGANIZATION	Swarthmore College
PERSON	Jamie
ORGANIZATION	Storymap JS Markdown
PERSON	Kate Hayes
LOCATION	United Kingdom
PERSON	Hammarfelt
ORGANIZATION	University of Bor
LOCATION	Sweden
ORGANIZATION	Bj
PERSON	Bartling
PERSON	Bowman
PERSON	Breckler S J Yarkoni
