type	entity
ORGANIZATION	Born Digital Publishing
PERSON	Jamie A Thomas
ORGANIZATION	News
ORGANIZATION	Swarthmore College
ORGANIZATION	N U M B E R
ORGANIZATION	Swarthmore College
ORGANIZATION	Swarthmore
PERSON	Jamie A Thomas
ORGANIZATION	Swarthmore College
LOCATION	Atlanta London
ORGANIZATION	Tokyo Reality
PERSON	Obama
PERSON	McCain
PERSON	Obama
ORGANIZATION	Centers for Disease Control
ORGANIZATION	Pentagon
PERSON	Trumpcare
ORGANIZATION	Platt
ORGANIZATION	National Council on Public History NCPH
ORGANIZATION	Northeastern University
ORGANIZATION	Digital Public Library of America
PERSON	Steven Lubar
ORGANIZATION	Public Humanities Blog
ORGANIZATION	NCPH
ORGANIZATION	Pew Research Center
LOCATION	Los Angeles Shanghai
ORGANIZATION	Wikipedia
ORGANIZATION	Swarthmore College
PERSON	Nabil Kashyap
PERSON	Roberto Vargas
ORGANIZATION	Google
ORGANIZATION	Knight Lab Storymap JS An
ORGANIZATION	Google
ORGANIZATION	Google
ORGANIZATION	Swarthmore College
PERSON	Yash Kewalramani
PERSON	Kendre Thomas
ORGANIZATION	Conclusion Publishing
PERSON	Neil Degrasse Tyson
ORGANIZATION	Platts
PERSON	Maurer
ORGANIZATION	National Council
ORGANIZATION	Baltimore
ORGANIZATION	Yong S T amp Gates
ORGANIZATION	International Journal
PERSON	Eynon
ORGANIZATION	British Educational Research Journal
ORGANIZATION	Computers amp Education
