type	entity
ORGANIZATION	XML Discuss Comments Recovering the London Stage Information Bank Lessons
PERSON	Mattie Burkert
ORGANIZATION	Utah State University
ORGANIZATION	London Stage Information Bank
PERSON	Ben R Schneider Jr
ORGANIZATION	Lawrence University With
ORGANIZATION	National Endowment for the Humanities the American Council of Learned Societies
ORGANIZATION	Mellon Foundation Schneider
ORGANIZATION	Southern Illinois University Press
ORGANIZATION	Information Bank
ORGANIZATION	Information Bank
LOCATION	London
ORGANIZATION	London Stage Information Bank
PERSON	Ben Ross Schneider Jr
ORGANIZATION	Lawrence University
LOCATION	Appleton Wisconsin
ORGANIZATION	National Endowment for the Humanities the American Council of Learned Societies the Mellon Foundation
ORGANIZATION	Information Bank
ORGANIZATION	Information Bank
PERSON	Schneider
ORGANIZATION	Digital
ORGANIZATION	London Stage Information Bank
PERSON	Debra Caplan
PERSON	Sarah Bay Cheng
PERSON	Caplan
PERSON	Bay Cheng
PERSON	Jussi Parikka
PERSON	Parikka
PERSON	Matthew Kirschenbaum
ORGANIZATION	London Stage Information Bank
ORGANIZATION	Information Bank
LOCATION	London
ORGANIZATION	Southern Illinois University Press
LOCATION	London
LOCATION	London
LOCATION	Theatre Royal Drury Lane DL
PERSON	John Gay
LOCATION	Macheath
PERSON	Queen Mab
ORGANIZATION	Richard Cross
LOCATION	London
PERSON	Schneider
PERSON	Will Daland
PERSON	Schneider
PERSON	Schneider
PERSON	Schneider
ORGANIZATION	Information Bank Schneider
PERSON	Schneider
ORGANIZATION	Computerland
PERSON	Schneider
PERSON	Schneider
ORGANIZATION	China Data Systems
LOCATION	Hong Kong
PERSON	Schneider
ORGANIZATION	Information Control Incorporated
LOCATION	Kansas City
LOCATION	Appleton
PERSON	Daland
ORGANIZATION	Daland
PERSON	George Winchester Stone Jr
LOCATION	London
ORGANIZATION	Information Bank
ORGANIZATION	IBM
PERSON	Schneider
PERSON	Reid Watts
PERSON	Schneider
ORGANIZATION	Information Bank
ORGANIZATION	Lawrence University Archives
ORGANIZATION	Index
PERSON	Schneider
ORGANIZATION	Information Bank
PERSON	Lawrence
ORGANIZATION	NEH
PERSON	Lawrence
PERSON	Schneider
ORGANIZATION	Information Bank
ORGANIZATION	Harvard Theatre Collection
ORGANIZATION	John Church
ORGANIZATION	Institute for Paper Chemistry
PERSON	Schneider
ORGANIZATION	Institute
ORGANIZATION	Information Bank
ORGANIZATION	Lawrence University
ORGANIZATION	Institute
ORGANIZATION	Lawrence University Archives
LOCATION	London
ORGANIZATION	Harvard Theatre Collection
ORGANIZATION	London Stage Information Bank
ORGANIZATION	Information Bank
LOCATION	London
ORGANIZATION	Information Bank
PERSON	Schneider
ORGANIZATION	Lawrence University Archives Taken
ORGANIZATION	Information Bank
ORGANIZATION	London Stage Project
ORGANIZATION	Computerland Schneider
ORGANIZATION	Information Bank
PERSON	Schneider
ORGANIZATION	Information Bank
ORGANIZATION	Computerland
ORGANIZATION	Data Bases
ORGANIZATION	Humanities and Social Sciences
ORGANIZATION	Information Bank
PERSON	Schneider
PERSON	Schneider
PERSON	Schneider
LOCATION	Venice
PERSON	Schneider
PERSON	Schneider
PERSON	Schneider
PERSON	Schneider
PERSON	Schneider
ORGANIZATION	Information Bank
ORGANIZATION	Information Bank
ORGANIZATION	Information Bank
PERSON	Schneider
ORGANIZATION	Information Bank
ORGANIZATION	Computerland
PERSON	Leonard Leff
PERSON	Muriel Friedman
LOCATION	Chicago
PERSON	Schneider
LOCATION	Atlantic
ORGANIZATION	MLA
PERSON	Schneider
ORGANIZATION	Modern Language Association Well
PERSON	Muriel
PERSON	Leonard
PERSON	Leff
PERSON	Richard Brinsley Sheridan
LOCATION	London
PERSON	Schneider
ORGANIZATION	Information Bank
PERSON	Schneider
PERSON	Schneider
PERSON	Robin Camille Davis
ORGANIZATION	Digital Humanities
PERSON	Davis
ORGANIZATION	Mellon
ORGANIZATION	NEH s Office of Digital Humanities
PERSON	Schneider
PERSON	Schneider
PERSON	Schneider
ORGANIZATION	Digital Equipment Corporation
ORGANIZATION	IBM
PERSON	Lawrence
ORGANIZATION	Digital
ORGANIZATION	Congress
PERSON	Schneider
ORGANIZATION	Recovery Efforts and Directions Forward
PERSON	Schneider
PERSON	Erin Dix Archivist
ORGANIZATION	Lawrence University
ORGANIZATION	ASCII
ORGANIZATION	Information Control Incorporated
ORGANIZATION	EBCDIC
ORGANIZATION	ASCII
PERSON	Derek Miller
ORGANIZATION	Lawrence University Archives
LOCATION	London
PERSON	Daland
ORGANIZATION	Harvard
PERSON	Daland
ORGANIZATION	TIF
ORGANIZATION	University of Wisconsin Madison
PERSON	Todd Hugie
ORGANIZATION	Library Information Technology Utah State University
LOCATION	Daland
ORGANIZATION	London Stage Information Bank
LOCATION	London
PERSON	Elaine McGirr
PERSON	Colley Cibber McGirr
PERSON	Ben Jonson
PERSON	Jonson
PERSON	Adam Matthew
ORGANIZATION	Eighteenth Century Drama Censorship Society
ORGANIZATION	Huntington Library
LOCATION	London
ORGANIZATION	London Stage Information Bank
LOCATION	London
LOCATION	London
ORGANIZATION	Information Bank
PERSON	Schneider
PERSON	Bonnie Mak
PERSON	Ian Gadd
PERSON	Mak
ORGANIZATION	London Stage Information Bank
LOCATION	London
ORGANIZATION	Index
LOCATION	London
PERSON	Aphra Behn
LOCATION	London
PERSON	Vareschi
ORGANIZATION	Information Bank Instead Schneider
ORGANIZATION	Information Bank
LOCATION	London
PERSON	Milhous
PERSON	Schneider
PERSON	McGirr
ORGANIZATION	Information Bank
PERSON	Caplan
PERSON	Caplan
LOCATION	Australia
PERSON	Miller
PERSON	Miller
PERSON	Jonathan Bollen
PERSON	Bollen
ORGANIZATION	London Stage Information Bank
ORGANIZATION	London Stage
