type	entity
PERSON	Ignacio Criado
ORGANIZATION	Universidad Aut noma de Madrid Spain Associate
ORGANIZATION	Department of Political Science and International Relations Universidad Aut noma de Madrid Spain
ORGANIZATION	Center for Technology in Government State University of New York SUNY
LOCATION	Albany Juli
ORGANIZATION	Department of Political Science and International Relations Universidad Aut noma de Madrid Spain Home
PERSON	J Ignacio Criado
PERSON	Julian Villodre
LOCATION	Spain
LOCATION	Latin America
PERSON	Bannister
PERSON	Connolly
PERSON	Chun
PERSON	Gil Garc
PERSON	Harrison
PERSON	Mergel
PERSON	Zheng
PERSON	GovLoop Sadeghi
ORGANIZATION	SNA
LOCATION	Spain
PERSON	NovaGob
PERSON	Hennig
ORGANIZATION	NovaGob
PERSON	Liu
PERSON	Zheng
PERSON	Liu
PERSON	Mergel
PERSON	Mergel
PERSON	Lampe
LOCATION	Hudson
LOCATION	Kapucu
PERSON	Demiroz
PERSON	Chun
PERSON	Mergel
PERSON	GovLoop Sadeghi
PERSON	Oliveira
PERSON	Welch
PERSON	Zheng
PERSON	Zheng
PERSON	Cumbie
PERSON	Sadeghi
PERSON	Levine
PERSON	Forte
PERSON	Lampe
PERSON	Brabham
PERSON	Mergel
PERSON	Desouza
PERSON	Forte
PERSON	Lampe
PERSON	Forte
PERSON	Lampe
PERSON	Mergel
PERSON	Mergel
PERSON	Desouza
PERSON	Mergel
PERSON	Desouza
PERSON	Gil Garc
PERSON	Lathrop
PERSON	Ruma
PERSON	Mergel
PERSON	Clark
PERSON	Luna Reyes
PERSON	Gil Garc
PERSON	Chun
PERSON	Mergel
PERSON	GovLoop Sadeghi
PERSON	McGuire
PERSON	Hamel
PERSON	Liu
PERSON	Zheng
PERSON	Levine
LOCATION	Prietula
PERSON	Andrews
PERSON	Ashworth
PERSON	Gil Garc
PERSON	Arvidsson
PERSON	Foka
LOCATION	Criado
PERSON	Barrero
ORGANIZATION	SNA
ORGANIZATION	SNA
PERSON	Hennig
PERSON	Hennig
PERSON	Provan
LOCATION	Kapucu
PERSON	Demiroz
PERSON	Hennig
PERSON	Schneider
PERSON	Bauer
PERSON	Schneider
PERSON	Bauer
PERSON	Hennig
PERSON	Hennig
LOCATION	Canada
PERSON	Levine
ORGANIZATION	Organisation for Economic Co
ORGANIZATION	NovaGob
ORGANIZATION	LinkedIn
ORGANIZATION	NovaGob
PERSON	Pink
ORGANIZATION	Group
ORGANIZATION	Digital Social Networks
ORGANIZATION	Public Administration 166 Public Innovation Theory and Practice 139 Group
ORGANIZATION	Latin American Center for Developing Administration Centro Latinoamericano de Administraci
ORGANIZATION	Smart Cities and Smart Public Administration 112 Training Civil Servants 111 Communication
ORGANIZATION	Digital Social Networks
PERSON	Green
ORGANIZATION	SNA
PERSON	McGuire
ORGANIZATION	Facebook
PERSON	Levine
PERSON	Levine
PERSON	Criado
PERSON	Barrero
ORGANIZATION	SNA
PERSON	Ignacio Criado
ORGANIZATION	Department of Political Science and International Relations Universidad Aut noma de Madrid Spain
ORGANIZATION	Center for Technology in Government State University of New York SUNY
LOCATION	Albany
PERSON	Juli
ORGANIZATION	Department of Political Science and International Relations Universidad Aut noma de Madrid
LOCATION	Spain
ORGANIZATION	BBVA Foundation
ORGANIZATION	Smart Governance of Digital Social Media
ORGANIZATION	European Union Implementation Strategies Success Factors and Public Service Models
LOCATION	Netherlands Spain Sweden
LOCATION	United Kingdom
ORGANIZATION	CM Comunidad de Madrid
ORGANIZATION	Rodr guez Bolivar
PERSON	Liu
PERSON	Zheng
PERSON	McGuire
ORGANIZATION	Journal of Public Administration Research and Theory
PERSON	Andrews
ORGANIZATION	U K civil service Public Administration Review
PERSON	Arvidsson
PERSON	Bannister
ORGANIZATION	Government Information Quarterly
ORGANIZATION	Informatica Economica
PERSON	Jaeger
PERSON	J Grimes
ORGANIZATION	New York Oxford University Press
ORGANIZATION	International Journal of Electronic Government Research
PERSON	Chun R Sandoval
ORGANIZATION	Information Polity
PERSON	Chun S Shulman R Sandoval
PERSON	Clark J Brudney
ORGANIZATION	Public Administration Review
ORGANIZATION	Madrid Instituto Nacional
PERSON	J Criado
ORGANIZATION	Rodr guez Bolivar
ORGANIZATION	New York Springer
PERSON	Gil Garc
ORGANIZATION	International Journal of Public Sector Management
PERSON	Cumbie
ORGANIZATION	International Journal of Electronic Government Research
PERSON	Gil Garc
PERSON	J Zhang
PERSON	Hamel
PERSON	Harrison
ORGANIZATION	Guerrero G Burke M Cook A Cresswell N Helbig
PERSON	Hennig U Brandes J Pfeffer
LOCATION	Frankfurt
PERSON	Henwood
ORGANIZATION	Public Management
ORGANIZATION	Public Performance amp Management Review
PERSON	Lathrop
PERSON	Ruma
ORGANIZATION	Cambridge Mass O Reilly Media
PERSON	Levine
PERSON	Liu
LOCATION	China
PERSON	Luna Reyes
PERSON	Gil Garc
ORGANIZATION	Government Information Quarterly
ORGANIZATION	Government Information Quarterly
ORGANIZATION	GitHub Government Information Quarterly
ORGANIZATION	Government Information Quarterly
PERSON	Mergel
ORGANIZATION	Challenge gov Public Administration Review
ORGANIZATION	Cambridge Mass Harvard University Press Organisation for Economic Co
ORGANIZATION	OECD
PERSON	Oliveira
PERSON	Provan
ORGANIZATION	Journal of Public Administration Research and Theory
