type	entity
ORGANIZATION	Providence College
PERSON	Alison Caplan
ORGANIZATION	Providence College Brad Mering
ORGANIZATION	GALGO
PERSON	Raymond Williams
ORGANIZATION	Society
PERSON	Halliday
ORGANIZATION	Providence College
PERSON	Bowen
PERSON	Schreibman
PERSON	Hanlon
ORGANIZATION	Digital Humanities
PERSON	Johanna Drucker
PERSON	Drucker
PERSON	Drucker
ORGANIZATION	Digital Humanities
PERSON	Clement
PERSON	Inman Berens
PERSON	Franco Moretti
PERSON	Moretti
PERSON	Ramsey
PERSON	Olsen
PERSON	Jenkins
PERSON	Kelley
PERSON	Drucker
PERSON	Jenkins
PERSON	Kelley
ORGANIZATION	Social Semiotic Model for Digital Literary Analysis
PERSON	Raymond Williams
PERSON	Alonso Garc
PERSON	Caplan
PERSON	Williams
PERSON	Williams
PERSON	Hart
PERSON	Halliday
PERSON	Williams
LOCATION	Spain
PERSON	William
PERSON	Halliday
PERSON	Yuri Lotman
PERSON	Lotman
PERSON	Cervantes
PERSON	Cervantes
ORGANIZATION	GALGO
PERSON	Olsen
PERSON	Halliday
ORGANIZATION	Digital Tool Navigating GALGO
ORGANIZATION	GALGO
ORGANIZATION	La Celestina
LOCATION	La Celestina
ORGANIZATION	Providence College
PERSON	Alonso Garc
PERSON	Caplan
ORGANIZATION	Providence College
LOCATION	Rhode Island
ORGANIZATION	GALGO
ORGANIZATION	Google Generation
PERSON	Calandra
PERSON	Lee 2005 Giglio
PERSON	Jenkins
PERSON	Kelley
PERSON	Bowen
PERSON	Kress
PERSON	Leeuwen
PERSON	Kress
PERSON	Harpham
PERSON	Hayles
PERSON	Nicholas Carr
PERSON	Nicholas
PERSON	Clark
PERSON	Carr
PERSON	Jenkins
PERSON	Kelley
PERSON	Halloran
PERSON	Lim
PERSON	Halloran
PERSON	Jewitt
PERSON	Hayles
PERSON	Lotman
PERSON	Lotman
ORGANIZATION	GALGO
ORGANIZATION	GALGO
ORGANIZATION	GALGO
PERSON	Jarifa La Celestina El Lazarillo
ORGANIZATION	La Numancia
ORGANIZATION	GALGO
PERSON	Sebasti n de Covarrubias
ORGANIZATION	Royal Spanish Academy
ORGANIZATION	Rhode Island Latino Public Radio
PERSON	Rubenstein
PERSON	Alonso Garc
PERSON	Caplan
PERSON	Alonso Garc
PERSON	Caplan
PERSON	Bowen
LOCATION	Jossey Bass San Francisco
PERSON	Bowen
PERSON	Bowen
ORGANIZATION	Witthaus C Multimodal Literacies and Emerging Genres University of Pittsburgh Press Pittsburgh
ORGANIZATION	Digital Humanities In M K Gold ed Debates
PERSON	Calandra
PERSON	Calandra
PERSON	Lee J K
PERSON	Carr
ORGANIZATION	Brains W W Norton amp Co New York 2010 Carrington 2005 Carrington
ORGANIZATION	Digital Literacy
LOCATION	Early Childhood Routledge New York
