type	entity
ORGANIZATION	Two Internships Developing Digital Skills
PERSON	Patricia Hswe
ORGANIZATION	Andrew W Mellon Foundation
PERSON	Tara LaLonde
ORGANIZATION	Pennsylvania State University
PERSON	Kate Miffitt
ORGANIZATION	Pennsylvania State University James O Sullivan lt james_dot_osullivan_at_ucc_dot_ie gt University College Cork Sarah Pickle
ORGANIZATION	Claremont Colleges Library
PERSON	Nathan Piekielek
ORGANIZATION	Pennsylvania State University
PERSON	Heather Ross
ORGANIZATION	Pennsylvania State University
PERSON	Albert Rozo
LOCATION	Pennsylvania
LOCATION	Pennsylvania
ORGANIZATION	Arts and Humanities
ORGANIZATION	Bjork
ORGANIZATION	Arts and Humanities
ORGANIZATION	Social Sciences
PERSON	Tanya Clement
ORGANIZATION	Pennsylvania State University Libraries
ORGANIZATION	Liberal Arts
ORGANIZATION	Penn State
ORGANIZATION	Digital Humanities
ORGANIZATION	University Libraries
ORGANIZATION	Digital Humanities
ORGANIZATION	Digital Humanities Research Designer
ORGANIZATION	University Libraries Publishing and Curation Services
ORGANIZATION	Office of Digital Pedagogy
ORGANIZATION	Liberal Arts In
PERSON	Donald W Hamer
ORGANIZATION	Sanborn Fire Insurance
ORGANIZATION	Digital Projects
PERSON	David Thornton Moore
PERSON	Moore
PERSON	Moore
PERSON	Moore
PERSON	Moore
PERSON	Moore
PERSON	Moore
ORGANIZATION	Penn State
ORGANIZATION	Research Data Management Specialist
PERSON	Sanborn
ORGANIZATION	Digital Humanities Research Designer
ORGANIZATION	Social Sciences Data Curation Fellow
ORGANIZATION	Sanborn Fire Insurance
PERSON	Sullivan
PERSON	Moore
PERSON	Moore
PERSON	Moore
PERSON	Moore
ORGANIZATION	Digital Humanities
ORGANIZATION	Digital Humanities
ORGANIZATION	Digitization and Preservation
PERSON	Moore
ORGANIZATION	Humanities and Social Sciences
PERSON	Moore
ORGANIZATION	Bucknell University
LOCATION	Susquehanna Valley
PERSON	Katherine M Faull
PERSON	Diane Jakacki
PERSON	Faull
ORGANIZATION	Penn State
PERSON	Moore
PERSON	Moore
ORGANIZATION	Penn State
ORGANIZATION	Bucknell
ORGANIZATION	Penn State
PERSON	Di Pressi
ORGANIZATION	Penn State
PERSON	Bednar
PERSON	Nicki Hendrix Joe Fennewald Barbara Dewey
PERSON	Donald W Hamer
PERSON	Marie Bednar
ORGANIZATION	Digital Humanities
ORGANIZATION	Penn State
ORGANIZATION	Penn State
ORGANIZATION	University Libraries
ORGANIZATION	College of the Liberal Arts
ORGANIZATION	Pennsylvania State University Libraries
PERSON	Donald W Hamer
PERSON	Marie Bednar
ORGANIZATION	University Libraries
PERSON	Bednar
LOCATION	Susquehanna Valley
ORGANIZATION	Bjork O 2012 Digital Humanities
PERSON	Brett D Hirsch
ORGANIZATION	Digital Humanities Pedagogy Practices Principles
PERSON	Clement
ORGANIZATION	Undergraduate Digital Humanities Curriculum Skills Principles
PERSON	Brett D Hirsch
ORGANIZATION	Digital Humanities Pedagogy Practices Principles
PERSON	Di Pressi H Gorman
PERSON	Posner
PERSON	Sasayama
ORGANIZATION	UCLA Digital Humanities Online Available
PERSON	Faull
PERSON	Faull
PERSON	Jakacki
ORGANIZATION	Moore 1983 Moore D T 1983 Perspectives on Learning in Internships Journal
PERSON	Sullivan
PERSON	Sullivan
ORGANIZATION	Jagiellonian University amp Pedagogical University Krak
ORGANIZATION	Alliance of Digital Humanities Organizations Affiliated
