type	entity
ORGANIZATION	Digital Pedagogy
PERSON	Shannon Kelley
ORGANIZATION	Fairfield University
ORGANIZATION	Fairfield University
LOCATION	London
ORGANIZATION	University of Victoria
ORGANIZATION	Fairfield University
ORGANIZATION	University of Victoria The Map of Early Modern London
ORGANIZATION	Folger Shakespeare Library
ORGANIZATION	Shakespeare His Contemporaries Martin Mueller Northwestern University
LOCATION	Texas
PERSON	Rebecca Frost Davis
PERSON	Davis
PERSON	Alexander
PERSON	Bryan Alexander
PERSON	Rebecca Frost Davis
PERSON	Alexander
PERSON	Kathleen Fitzpatrick
ORGANIZATION	Wheaton College
ORGANIZATION	Digital Humanities
PERSON	Jean E Howard
ORGANIZATION	Howard 2016 A11 Maps
ORGANIZATION	St Paul
PERSON	Rhonda Lemke Sanford
LOCATION	Early Modern England
PERSON	Sonya Huber
ORGANIZATION	Google
PERSON	Sanford
PERSON	John Jentz
ORGANIZATION	Marquette University
PERSON	Kathryn Crowther
ORGANIZATION	Georgia Perimeter College
ORGANIZATION	Google
PERSON	Crowther
PERSON	Crowther
PERSON	Bethany Nowviskie
ORGANIZATION	University of Nebraska s Center for Digital Research
ORGANIZATION	III Digital Pedagogy
ORGANIZATION	Map of Early Modern London
ORGANIZATION	Fairfield University
LOCATION	Fairfield
ORGANIZATION	Map of Early Modern London
ORGANIZATION	University of Victoria
LOCATION	London
ORGANIZATION	Civitas Londinum
LOCATION	London
PERSON	Ralph Agas
PERSON	John Stow
LOCATION	London
LOCATION	Fairfield
LOCATION	Bear Garden Pike Garden Paris Garden Ely Place Garden
LOCATION	Covent Garden
LOCATION	Spring Garden
LOCATION	London
LOCATION	Pike Garden
LOCATION	Fairfield
PERSON	Curtis Ferree
PERSON	Ferree
ORGANIZATION	Shakespeare
PERSON	Brett D Hirsch
PERSON	Hirsch
PERSON	David Lewin
PERSON	David Lundie
PERSON	Lewin
PERSON	Lundie
PERSON	David Ciccoricco
PERSON	Bill O Steen
PERSON	Steen
PERSON	Shari Stenberg
PERSON	Hirsch
PERSON	Ciccoricco
PERSON	Steen
PERSON	Troy Hicks
PERSON	Hicks
PERSON	Hicks
PERSON	Hicks
PERSON	Ciccoricco
PERSON	Steen
PERSON	Steen
ORGANIZATION	New London Group
PERSON	Ciccoricco
PERSON	Steen
PERSON	Steen
ORGANIZATION	New London Group
ORGANIZATION	New London Group
ORGANIZATION	New London Group
ORGANIZATION	New London Group
ORGANIZATION	New London Group
PERSON	Bethany Nowviskie
PERSON	Shakespeare
PERSON	Richard III
PERSON	Richard
ORGANIZATION	Shakespeare
LOCATION	London
LOCATION	Paris Garden
LOCATION	Pike Garden
PERSON	Blatherwick
PERSON	Bennett Karl Maton
PERSON	Lisa Kervin
PERSON	Bennett
LOCATION	London
LOCATION	London
LOCATION	Covent Garden Ely Place Garden Paris Garden
PERSON	Norman G Brett James
LOCATION	London
PERSON	Brett James
PERSON	John Gerard
PERSON	Herball
PERSON	Brett James
LOCATION	London
PERSON	Brett James
LOCATION	Fairfield
LOCATION	Fairfield
