type	entity
PERSON	Ioanna Kyvernitou
ORGANIZATION	National University of Ireland Galway NUIG
PERSON	Antonis Bikakis
ORGANIZATION	University College London UCL
PERSON	Pandora
PERSON	Pandora
ORGANIZATION	GenderRoles GenderIdentity GenderedTraits
PERSON	Anderson
PERSON	Kirkup
LOCATION	Europe
PERSON	Pandora
PERSON	Wajcman
PERSON	Faulkner Faulker
ORGANIZATION	Bj
PERSON	Lorber
ORGANIZATION	Content Entity Person Animal Object Demigod Deity
PERSON	Pandora
PERSON	Rossetti
PERSON	Pandora
PERSON	Pandora
PERSON	Panofsky
PERSON	Panofsky
PERSON	Rossetti
PERSON	Pandora
ORGANIZATION	RDF
PERSON	Olson
PERSON	Olson
PERSON	Olson
PERSON	Berners Lee
ORGANIZATION	RDF
ORGANIZATION	ReDD Observatory
ORGANIZATION	Linked Jazz
ORGANIZATION	BBC
ORGANIZATION	Cultural Heritage
PERSON	Doerr
PERSON	Doerr
PERSON	Brien
PERSON	Mulvey
PERSON	Mulvey
PERSON	Brien O Brien
ORGANIZATION	International Council of Museums CIDOC
ORGANIZATION	RDF
ORGANIZATION	Dublin Core
PERSON	Doerr
PERSON	Damiano
PERSON	Lieto
PERSON	Damiano
PERSON	Damiano
PERSON	Lieto
PERSON	Damiano
ORGANIZATION	BBC s News Storyline Ontology
ORGANIZATION	BBC
PERSON	Damiano
PERSON	Damiano
LOCATION	Lieto
ORGANIZATION	GenderedCHContents Ontology Scope
ORGANIZATION	Dublin Core
PERSON	Antoniou
PERSON	Pandora
PERSON	Brien
PERSON	Pandora
PERSON	Pandora
PERSON	Pieter Serwouter
PERSON	Rossetti
PERSON	Pandora
ORGANIZATION	Pandora
PERSON	Serwouter
ORGANIZATION	Pandora
PERSON	Rossetti
PERSON	Pandora
PERSON	Pandora
PERSON	Pieter Serwouter
PERSON	Rossetti
ORGANIZATION	British Museum s Collection
PERSON	Serwouter
PERSON	Pandora
PERSON	Pandora
PERSON	Panofsky
PERSON	Panofsky
PERSON	Rossetti
PERSON	Pandora Panofsky
PERSON	Panofsky
ORGANIZATION	Rossetti Archive
PERSON	Pandora
PERSON	Pandora
LOCATION	CIDOC
ORGANIZATION	CIDOC CRM
ORGANIZATION	InformationResource
PERSON	Baldick
PERSON	Pandora
ORGANIZATION	Hesiod
PERSON	Pandora
PERSON	RealPerson
PERSON	Brien
PERSON	Brien
PERSON	Brien
PERSON	Brien
PERSON	Anderson
PERSON	Antoniou
ORGANIZATION	RDF
PERSON	James
PERSON	Dillon
PERSON	James
PERSON	Dillon
PERSON	Cohen
PERSON	Tasca
PERSON	Gilman
PERSON	Odih
ORGANIZATION	UnrealPerson Ontology Verification
ORGANIZATION	RDF
PERSON	Pandora
PERSON	Pandora
ORGANIZATION	RDF
PERSON	Niobid
ORGANIZATION	Pandora Property Assertions Metaphors
PERSON	Rossetti
ORGANIZATION	Pandora
PERSON	Theogony
PERSON	Pandora
ORGANIZATION	Hesiod
ORGANIZATION	Hesiod s Works
ORGANIZATION	Hesiod
ORGANIZATION	Hesiod s Works
PERSON	Pandora
PERSON	Rossetti
PERSON	Pandora
LOCATION	Serwouter
LOCATION	Jupiter
PERSON	Pandora
PERSON	Panofsky
PERSON	Panofsky
PERSON	Serwouter
ORGANIZATION	Pandora Property Assertions
PERSON	Pandora
PERSON	Rossetti
PERSON	Pandora
PERSON	Pandora
PERSON	Rossetti
ORGANIZATION	Pandora Property Assertions
PERSON	Pandora
PERSON	Epimetheus
PERSON	Pandora
PERSON	Virtues
PERSON	Niobid
PERSON	Pandora
PERSON	Pandora
PERSON	Niobid
PERSON	Pandora
ORGANIZATION	Niobid
PERSON	Pandora
ORGANIZATION	GenderedCHContents Ontology
PERSON	Pandora
PERSON	Niobid
PERSON	Pandora
PERSON	Rossetti
PERSON	Pandora
PERSON	Panofsky
PERSON	Panofsky
ORGANIZATION	Atalanta
PERSON	Helen
