type	entity
ORGANIZATION	Association for Information Science and Technology Bulletin
ORGANIZATION	Information amp Technology in the Arts amp Humanities
ORGANIZATION	ASIS amp T Special Interest Groups Arts and Humanities SIG
PERSON	Jeremy McLaughlin
ORGANIZATION	In Association
PERSON	Diane Sonnenwald
PERSON	Lauren Harrison
PERSON	Judit Bar Ilan Harry Bruce Toni Carbo Lynn Silipigni Connaway Ixchel Faniel Sandra Hirsch Fidelia Ibekwe SanJuan
PERSON	Adam Worrall
ORGANIZATION	Annual Meeting
ORGANIZATION	ASIS
PERSON	Lynn Silipigni Connaway
ORGANIZATION	ASIS amp T
PERSON	Lydia Middleton
ORGANIZATION	Association
ORGANIZATION	University of Hong Kong
PERSON	Nadia Caidi
ORGANIZATION	Council for Scientific Society Presidents
PERSON	Irene L Travis
