type	entity
ORGANIZATION	ASIS amp T Hires New Executive
ORGANIZATION	ASIS amp T Board of Directorsannounces
ORGANIZATION	Lydia Middleton MBA CAE
PERSON	Middleton
ORGANIZATION	ASIS amp T Board
PERSON	Lydia Middleton
PERSON	Lynn Silipigni
ORGANIZATION	Connaway ASIS amp T
PERSON	Lydia
ORGANIZATION	Board
PERSON	Lydia
PERSON	Lydia
ORGANIZATION	American Academy of Orthotists and Prosthetists the Association for University Programs in Health Administration
PERSON	David
ORGANIZATION	George Washington University
ORGANIZATION	ASIS amp T
ORGANIZATION	Middleton ASIS amp T
PERSON	Lydia
PERSON	Dick Hill
ORGANIZATION	ASIS amp T
ORGANIZATION	American Documentation Institute ADI
PERSON	Watson Davis
ORGANIZATION	Association for Information Science and Technology ASIS amp T
ORGANIZATION	ASIS
LOCATION	Washington DC
ORGANIZATION	ASIS amp T
ORGANIZATION	ASIS
LOCATION	Hyatt Regency Hotel
LOCATION	Arlington Virginia
PERSON	Richard Marks
ORGANIZATION	Magic Lab
ORGANIZATION	Sony Interactive Entertainment
PERSON	William Powers
PERSON	Hamlet
ORGANIZATION	Sony
ORGANIZATION	MIT
ORGANIZATION	Stanford University
ORGANIZATION	Monterey Bay Aquarium Research Institute
ORGANIZATION	Teleos Research
ORGANIZATION	Autodesk Inspired
ORGANIZATION	Harvard University
LOCATION	Spain
ORGANIZATION	U S Senate
ORGANIZATION	Washington Post
LOCATION	Atlantic
ORGANIZATION	New York Times
PERSON	Hamlet
ORGANIZATION	Harvard
LOCATION	Shorenstein Center
ORGANIZATION	MIT Media Lab
PERSON	James
PERSON	Bob Williams
ORGANIZATION	Bob Williams History Fund Research
PERSON	Timothy
PERSON	Alex Olivia Kinnaman Deren Kudeki
PERSON	Marcel Proust
ORGANIZATION	RDF
ORGANIZATION	University of Illinois
ORGANIZATION	Andrew W Mellon Foundation
PERSON	Timothy W Cole
ORGANIZATION	Center for Informatics Research
ORGANIZATION	University of Illinois at Urbana Champaign He
PERSON	Alex Olivia Kinnaman
ORGANIZATION	University of Illinois
LOCATION	Urbana Champaign
PERSON	Deren Kudeki
ORGANIZATION	Library of Congress Name Authority File DBpedia
ORGANIZATION	RDF
PERSON	Dave Clarke
PERSON	Dave Clarke
PERSON	Synaptica
PERSON	Tom Reamy Free
ORGANIZATION	Social Media
ORGANIZATION	Big Data
