type	entity
PERSON	Emily Christina Murphy
PERSON	Shannon R Smith
ORGANIZATION	Herstmonceux Castle Queen s University
ORGANIZATION	DH Co
PERSON	Emily Christina Murphy
PERSON	Shannon R Smith
ORGANIZATION	Digital Humanities Pedagogy Practices Principles
PERSON	Brett D Hirsch
PERSON	Hirsch
PERSON	Hirsch
PERSON	Paulo Freire
PERSON	Freire
PERSON	Hirsch Ann Burdick
PERSON	Burdick
PERSON	Burdick
PERSON	Hirsch
ORGANIZATION	Digital Pedagogy Lab
ORGANIZATION	Hybrid Pedagogy Digital Pedagogy Lab
ORGANIZATION	Humanities Arts Sciences and Technology Alliance
ORGANIZATION	UCLA
PERSON	Katherine M Faull
PERSON	Diane Jakacki
PERSON	Faull
PERSON	Claire Bishop
PERSON	Bishop
PERSON	Bishop
PERSON	Bishop
PERSON	Hirsch Freire
PERSON	Bishop
PERSON	Caitlin Christian Lamb
PERSON	Anelise Shrout
PERSON	Janelle Jenstad Kim McLean Fiander
PERSON	Kathryn McPherson
PERSON	Andrew Bretz
PERSON	Freire
PERSON	Hirsch
PERSON	Marc Prensky
PERSON	Prensky
PERSON	Kara Kennedy
PERSON	Janelle Jenstad
PERSON	Laura Estill
PERSON	Alexandra Saum Pascual
PERSON	James O Sullivan
PERSON	Adriana
PERSON	Brandon Locke Kara Kennedy Shannon E Kelley Laura Estill
PERSON	Danica Savonick
PERSON	Lisa Tagliaferri Alexander Christie Aaron Mauro
PERSON	Hirsch Freire
PERSON	Melanie Kill
ORGANIZATION	Wikipedia
PERSON	Caitlin Christian Lamb
PERSON	Anelise Shrout
ORGANIZATION	Digital Humanities
LOCATION	Sydney Australia
PERSON	Brandon Locke
PERSON	Janelle Jenstad Kim McLean Fiander
PERSON	Kathryn R McPherson
PERSON	Shrout
LOCATION	London
PERSON	Shannon Kelley
PERSON	James O Sullivan
PERSON	Jakacki
PERSON	Aaron Mauro
PERSON	Kara Kennedy
PERSON	Kennedy
PERSON	Kennedy
PERSON	Kennedy Alexandra Saum Pascual
PERSON	Saum Pascual
PERSON	Adriana
PERSON	Miriam
ORGANIZATION	Pimentel
PERSON	Alexander Christie
PERSON	Christie
PERSON	Danica Savonick
PERSON	Lisa Tagliaferri
ORGANIZATION	City University of New York Savonick
PERSON	Tagliaferri
PERSON	Laura Estill
ORGANIZATION	Wikipedia
PERSON	Andrew Bretz
PERSON	Bretz
PERSON	Bretz
LOCATION	London
PERSON	Burdick
PERSON	Burdick
ORGANIZATION	Digital Journal
PERSON	Faull
PERSON	Faull
ORGANIZATION	Jakacki D Digital Learning
PERSON	Ramos Bloomsbury
LOCATION	New York
PERSON	Hirsch
PERSON	Hirsch
ORGANIZATION	Digital Humanities
PERSON	Hirsch
ORGANIZATION	Digital Humanities Pedagogy Practices Principles and Politics Cambridge
ORGANIZATION	Teaching Digital Rhetoric Wikipedia Collaboration
PERSON	Hirsch
ORGANIZATION	Digital Humanities Pedagogy Practices Principles and Politics Cambridge
PERSON	Prensky
ORGANIZATION	Digital Natives Digital
ORGANIZATION	UCLA Digital Humanities
ORGANIZATION	Alliance of Digital Humanities Organizations Affiliated
