type	entity
PERSON	Janelle Jenstad
ORGANIZATION	University of Victoria
PERSON	Kim McLean Fiander
ORGANIZATION	University of Victoria
PERSON	Kathryn R McPherson
ORGANIZATION	Utah Valley University
ORGANIZATION	The Map of Early Modern London MoEML
ORGANIZATION	RBL
ORGANIZATION	RBL
LOCATION	London
PERSON	Grusin
ORGANIZATION	RBL
ORGANIZATION	RBL
LOCATION	London
ORGANIZATION	Google
ORGANIZATION	Jenstad
ORGANIZATION	University of Windsor
PERSON	Michael Davis
PERSON	Tara Drouillard
PERSON	Jenstad
ORGANIZATION	SSHRC Social Sciences and Humanities Research Council
LOCATION	Canada
ORGANIZATION	NEH National Endowment for the Humanities
LOCATION	US
ORGANIZATION	Boyer Commission
ORGANIZATION	RBL
PERSON	Jenstad
ORGANIZATION	Pedagogical Partnership
PERSON	McLean Fiander
ORGANIZATION	Facebook
PERSON	Peter Herman
ORGANIZATION	San Diego State University SDSU
PERSON	Jenstad
ORGANIZATION	University of Victoria UVic
PERSON	Herman
PERSON	Herman
PERSON	Jenstad
PERSON	McLean Fiander
PERSON	Jenstad
PERSON	Herman
PERSON	Herman
PERSON	Herman
PERSON	Wallace
ORGANIZATION	RBL
ORGANIZATION	America s Research Universities the Boyer Commission
ORGANIZATION	Research University
ORGANIZATION	RBL
ORGANIZATION	RBL
PERSON	Smith
ORGANIZATION	RBL
ORGANIZATION	RBL
ORGANIZATION	Sciences and Social Sciences
ORGANIZATION	RBL
ORGANIZATION	RBL
ORGANIZATION	RBL
ORGANIZATION	RBL
ORGANIZATION	RBL
ORGANIZATION	RBL
ORGANIZATION	RBL
ORGANIZATION	RBL
PERSON	Jamie Cassels
ORGANIZATION	Humanities Computing and Media Centre HCMC
ORGANIZATION	RBL
ORGANIZATION	RBL
ORGANIZATION	RBL
PERSON	Di Pressi
ORGANIZATION	RBL
PERSON	Herman
ORGANIZATION	SDSU
PERSON	Kathryn R McPherson
ORGANIZATION	Utah Valley University Both
PERSON	Herman
PERSON	McPherson
PERSON	Jenstad
ORGANIZATION	Skype
PERSON	Herman
PERSON	Di Pressi
ORGANIZATION	Shakespeare Association of America SAA Digital Salon
ORGANIZATION	Facebook Twitter
PERSON	McLean Fiander
LOCATION	California
PERSON	Herman
ORGANIZATION	Modern Language Association MLA
ORGANIZATION	Pedagogical Partners
PERSON	Amy Tigner
ORGANIZATION	University of Texas Arlington
PERSON	Meg Roland
ORGANIZATION	Marylhurst University
PERSON	London Wall
PERSON	Shannon Kelley
ORGANIZATION	Fairfield University
PERSON	Shakespeare
