type	entity
ORGANIZATION	Large Sign Up Features Digital Humanities
ORGANIZATION	Registry Readings Library Research Guides TEI
ORGANIZATION	Features Digital Humanities
ORGANIZATION	Digital Humanities
PERSON	Donald Beagle
ORGANIZATION	Library Services
ORGANIZATION	Belmont Abbey College
ORGANIZATION	Information Commons Beagle
ORGANIZATION	Beagle
ORGANIZATION	Beagle
ORGANIZATION	Beagle
ORGANIZATION	Charleston Multimedia Project
PERSON	Michael Joyce
PERSON	Jay David Bolter He
PERSON	Trevor Mu
PERSON	Elizabeth Milewicz
PERSON	Sarah Potvin
PERSON	Trevor Mu
ORGANIZATION	Digital Humanities Research
PERSON	Sherman
ORGANIZATION	North Carolina State University Fuller
ORGANIZATION	University of Connecticut
LOCATION	IC
ORGANIZATION	University of North Carolina Charlotte UNCC
ORGANIZATION	UNCC
ORGANIZATION	UNCC
ORGANIZATION	UNCC
PERSON	Michael Joyce
PERSON	Jay David Bolter
PERSON	Joyce
PERSON	Bolter
ORGANIZATION	Charleston Multimedia Project A DH Public Library Case Study Part
ORGANIZATION	Research Commons
ORGANIZATION	Seal Robert A Review
ORGANIZATION	Academy Vol
PERSON	Milewicz Elizabeth J Origin
ORGANIZATION	Information Commons in Academic Libraries
PERSON	Charles Forrest
PERSON	Martin Halbert Lanham
PERSON	Stephen
ORGANIZATION	North Carolina State University Libraries Learning Commons Master
ORGANIZATION	Southern Connecticut State University
PERSON	Harvey
PERSON	Lindstrom
ORGANIZATION	Information Commons Initiative
ORGANIZATION	Buffalo State College
ORGANIZATION	Information Practice Vol
PERSON	Donald Beagle
ORGANIZATION	Oakland University English amp Linguistics 1975 University of Michigan Library amp Information Science 1977 Formerly Head of Main Library Charleston County Public Library SC
ORGANIZATION	Information Commons University of North Carolina Charlotte NC
ORGANIZATION	Library Services Belmont Abbey College NC
ORGANIZATION	Black South African Press POST Launching the Boston Research Center RESOURCE Mashups
ORGANIZATION	Digital Library Pedagogy Cookbook Archives Archives Select Month
ORGANIZATION	Large Corner Instructions Log
ORGANIZATION	Registry Middlebury College Bucknell University Case Western Reserve University Vanderbilt University Northeastern University Virginia Commonwealth University University of Virginia University of California Irvine Whittier College Southwestern University Washington State University Columbia University Georgetown University Northwestern University Bryn Mawr College Kansas State University University of Minnesota Ghent University University of Kansas Florida State University Contact Us Contribute Submission Guidelines Rights Permissions
ORGANIZATION	ACRL Digital Humanities Interest Group
