type	entity
PERSON	Seth Grimes
PERSON	Justin Langseth
PERSON	Anant Jhingran
ORGANIZATION	IBM Research
ORGANIZATION	Merrill Lynch
PERSON	Christopher C Shilakes
PERSON	Julie Tylman
ORGANIZATION	Content Management Business Intelligence
ORGANIZATION	Merrill Lynch
ORGANIZATION	Gartner Butler Group Yankee Group Outsell
ORGANIZATION	IDC
PERSON	Sue Feldman
ORGANIZATION	IBM
PERSON	Joseph Weizenbaum
PERSON	Andy Rehn
PERSON	Brett Newbold
ORGANIZATION	Oracle s ConText Group
ORGANIZATION	IBM
PERSON	Hans Peter Luhn
PERSON	Luhn
PERSON	Prabhakar Raghavan
ORGANIZATION	Yahoo Research
PERSON	Rehn
PERSON	Newbold
ORGANIZATION	IBM
PERSON	Philip Russom
ORGANIZATION	Data Warehousing Institute
ORGANIZATION	BI Technology Stack
PERSON	Philip
PERSON	Seth Grimes
PERSON	Luhn Prabhakar
ORGANIZATION	Power of Web Data An Interview
PERSON	Shion Deysarkar
ORGANIZATION	Pingback Understanding the Power of Web Data An Interview
PERSON	Shion Deysarkar
PERSON	Eder
ORGANIZATION	Google
ORGANIZATION	Google
ORGANIZATION	Facebook
ORGANIZATION	Facebook
LOCATION	Alta Plana
ORGANIZATION	ECM
ORGANIZATION	Europe
ORGANIZATION	NPS
ORGANIZATION	Uncategorized
ORGANIZATION	Post
