type	entity
PERSON	Aaron Mauro
ORGANIZATION	Penn State
PERSON	Behrend Daniel Powell
ORGANIZATION	University of Victoria
PERSON	Sarah Potvin
LOCATION	Texas
ORGANIZATION	University Jacob Heil lt jheil_at_wooster_dot_edu
LOCATION	Ohio
PERSON	Eric Dye
ORGANIZATION	Penn State
PERSON	Behrend Bridget Jenkins
ORGANIZATION	Penn State
PERSON	Behrend Dene Grigar
ORGANIZATION	Washington State University Abstract Collaboration
ORGANIZATION	Research Triangle of North Carolina
PERSON	Spencer D C Keralis
PERSON	Matt Ratto
ORGANIZATION	DHSI
PERSON	Marc Prensky
PERSON	Paul Fyfe
PERSON	Jerome McGann
PERSON	Rossetti
PERSON	Fyfe
PERSON	Bethany Nowviskie
PERSON	Nowviskie
ORGANIZATION	The Map of Early Modern London
ORGANIZATION	Orlando Project
ORGANIZATION	Center for Studies
PERSON	Harley
PERSON	Harley
PERSON	Peter Suber
PERSON	Suber
PERSON	Harley
PERSON	David Berry
PERSON	Berry
PERSON	Berry
PERSON	Berry
PERSON	Berry
PERSON	Berry
PERSON	Sheila Cavanagh
PERSON	Amy E Earhart
ORGANIZATION	UCLA
PERSON	Di Pressi
ORGANIZATION	Modern Language Association MLA
ORGANIZATION	MLA
PERSON	Brett Hirsch
ORGANIZATION	Digital Humanities Pedagogy
PERSON	Hirsch
PERSON	Paulo Freire
PERSON	Freire
ORGANIZATION	UCLA
ORGANIZATION	UCLA Bill of Rights
PERSON	Di Pressi
PERSON	Jaron Lanier
PERSON	Lanier
PERSON	Lanier
ORGANIZATION	Digital
ORGANIZATION	Digital Research Infrastructure for Arts and Humanities DARIAH
ORGANIZATION	Digital Research Tools
ORGANIZATION	Mellon
ORGANIZATION	Scholarly Communication Institute SCI
ORGANIZATION	Research Triangle of North Carolina
ORGANIZATION	Google Docs
PERSON	Eric Dye
ORGANIZATION	Penn State
PERSON	Behrend
ORGANIZATION	Penn State Digital Humanities Lab
LOCATION	Erie
LOCATION	Omeka
PERSON	Eric Dye
PERSON	Erie
ORGANIZATION	Masonic Temple
PERSON	Bridget Jenkins
PERSON	Jenkins
ORGANIZATION	Temple
ORGANIZATION	Masonic
ORGANIZATION	Temple
PERSON	Eric
PERSON	Jenkins
PERSON	Dye
PERSON	Jenkins
PERSON	Aaron Mauro
ORGANIZATION	Behrend Digital Scud
ORGANIZATION	Digital Scud
LOCATION	Wooster
PERSON	Madelaine de Scud
ORGANIZATION	XML
PERSON	Laura Burch
PERSON	Jacob Heil
LOCATION	Ohio
