type	entity
ORGANIZATION	MLA
ORGANIZATION	MLA Online Publications
ORGANIZATION	HC Societies HC AJS ASEEES CAA
ORGANIZATION	MLA Online Publications
ORGANIZATION	CAA
ORGANIZATION	MLA
ORGANIZATION	American Academy of Arts and Sciences MLA
ORGANIZATION	MLA
PERSON	Geraldine Heng
LOCATION	Laura Green Hall of Mirrors Radclyffe Hall
ORGANIZATION	American Mind Opinion
ORGANIZATION	Marisa Verna
ORGANIZATION	Cristina Le n Alfar Blood
PERSON	Lady Macbeth
ORGANIZATION	Suzanne England Driving Miss Daisy
PERSON	Carl Gelderloos
PERSON	Brecht Benjamin
PERSON	Renger Patzsch
PERSON	Roger Whitson
ORGANIZATION	James Gifford Introduction to Pied Piper
ORGANIZATION	Members Groups Scholarship Group
PERSON	DORIS LESSING
ORGANIZATION	Lincoln Humanities Journal Prose Studies
ORGANIZATION	MLA Style Center Contact Us Modern Language Association
LOCATION	Broad Street
LOCATION	New York NY
