type	entity
ORGANIZATION	Facultad de Filosof
ORGANIZATION	Letras National Autonomous University of Mexico Adriana
ORGANIZATION	National Autonomous University of Mexico Miriam Pe
ORGANIZATION	National Autonomous University of Mexico Abstract Digital Humanities DH
ORGANIZATION	National Autonomous University of Mexico UNAM
ORGANIZATION	Facultad de Filosof
ORGANIZATION	Letras
ORGANIZATION	UNAM
ORGANIZATION	Plan de Estudios de la Licenciatura en Historia
ORGANIZATION	Seminario Taller Especializado Specialized Seminar Workshop
ORGANIZATION	History Course Section
ORGANIZATION	UNAM
LOCATION	Latin America
ORGANIZATION	Plan de Estudios
ORGANIZATION	Seminario Taller Especializado
ORGANIZATION	Programa de la Licenciatura
ORGANIZATION	Facultad de Filosof
ORGANIZATION	Heritage Studies
ORGANIZATION	Colegio de Historia History Department
PERSON	Lucrecia Infante Vargas
ORGANIZATION	Plan de Estudios
ORGANIZATION	Digital Humanities
ORGANIZATION	Programa de la Licenciatura
ORGANIZATION	Digital Humanities
PERSON	Burdick
PERSON	Burdick
LOCATION	Mexico
PERSON	Svensson
ORGANIZATION	UNAM
ORGANIZATION	Digital Humanities
ORGANIZATION	Information and Communication Technologies ICTs
PERSON	Fyfe
ORGANIZATION	Specialized Seminar Workshop
PERSON	Iorio
PERSON	Barbera D Iorio
PERSON	Barbera
LOCATION	Mexico City
PERSON	Koh
LOCATION	Japan
LOCATION	Japan
LOCATION	Mexico
LOCATION	Mexico City
ORGANIZATION	Rockwell
PERSON	Sinclair
ORGANIZATION	Rockwell
LOCATION	Facultad
ORGANIZATION	Geography Department
ORGANIZATION	Pedagogy Department
ORGANIZATION	Facultad
PERSON	Giordano Bruno
ORGANIZATION	Facultad de Filosof
ORGANIZATION	Letras
ORGANIZATION	Social Sciences
ORGANIZATION	Facultad
ORGANIZATION	UNAM
ORGANIZATION	Digital Humanities
ORGANIZATION	Facultad de Filosof
ORGANIZATION	UNAM
ORGANIZATION	Facultad s IT Department
ORGANIZATION	Facultad
ORGANIZATION	Facultad
ORGANIZATION	Facultad
ORGANIZATION	Colegio de Historia
LOCATION	Facultad
ORGANIZATION	UNAM
ORGANIZATION	UNAM
ORGANIZATION	UNAM
LOCATION	Mexico
PERSON	Ernesto Priani Sais
ORGANIZATION	Comunidades Digitales
ORGANIZATION	Educaci
ORGANIZATION	University of Veracruz
ORGANIZATION	UNAM
LOCATION	South America
ORGANIZATION	Congress Lima Peru
ORGANIZATION	Digital Humanities
ORGANIZATION	University of Illinois at Urbana Champaign
LOCATION	Mexico Peru
LOCATION	Argentina
LOCATION	Primeras Jornadas Nacionales de Humanidades Digitales Buenos Aires Argentina
LOCATION	Central America
ORGANIZATION	University of San Carlos de Guatemala
ORGANIZATION	National Autonomous University of Honduras
ORGANIZATION	Latin American Social Sciences Institute of Honduras Dom
ORGANIZATION	Facultad de Filosof
PERSON	Isabel Galina
PERSON	Galina
PERSON	Galina
PERSON	Galina
ORGANIZATION	Digital Humanities
ORGANIZATION	Facultad de Filosof
ORGANIZATION	Faculty of Arts amp Humanities
ORGANIZATION	Plan de Estudios
ORGANIZATION	Ministry of Education
PERSON	Cristina Ratto
PERSON	Claudia Mu
PERSON	Diego Salgado
PERSON	Bryan G mez
ORGANIZATION	Teaching Updating and Improvement Program
ORGANIZATION	General Administration of Academic Staff Affairs Works
PERSON	Blackwell
PERSON	Martin
PERSON	Blackwell Christopher
PERSON	Thomas
ORGANIZATION	Martin Technology Collaboration
PERSON	Burdick
PERSON	Burdick Anne
ORGANIZATION	Pragmatics Digital Humanities Massachucetts London The MIT Press Cambridge
PERSON	Iorio
PERSON	Iorio Paolo
PERSON	Michele Barbera
ORGANIZATION	Digital Infrastructure
PERSON	Thomas Bartscherer
ORGANIZATION	Digital Technology
ORGANIZATION	Arts Michigan University of Chicago Press
PERSON	de Bibliotecas Direcci
PERSON	David RedHD
ORGANIZATION	Letras Facultad de Filosof
ORGANIZATION	Letras UNAM
ORGANIZATION	Fyfe Paul Digital
PERSON	Galina
PERSON	Galina Isabel Formulario
ORGANIZATION	Humanidades Digitales Red de Humanidades Digitales
PERSON	Galina
PERSON	Galina Isabel Las Humanidades
PERSON	Galina
PERSON	Galina Isabel La
PERSON	Galina Isabel Las Humanidades Digitales
PERSON	Gonz
PERSON	Luis Miguel La
ORGANIZATION	Koh Adeline Introducing Digital Humanities Work
PERSON	Claudia
ORGANIZATION	Pimentel Miriam I Jornadas de Humanidades Digitales Culturas Tecnolog
PERSON	Saberes Asociaci
LOCATION	Argentina
ORGANIZATION	Programa de la Licenciatura en Historia Facultad de Filosof
ORGANIZATION	Letras UNAM
ORGANIZATION	Red de Humanidades Digitales 2011 Red de Humanidades Digitales
PERSON	Geoffrey
ORGANIZATION	St
ORGANIZATION	Digital Humanities Community Brett D Hirsch ed Digital Humanities Pedagogy Practices Principles
PERSON	Salgado
PERSON	Salgado Mu
PERSON	Eduardo Dorantes Historia de Jap
PERSON	Svensson
PERSON	Svensson Anna El
ORGANIZATION	Estudios Latinoamericanos
ORGANIZATION	Tenure Promotion and Review Deborah Lines Andersen ed Digital Scholarship
ORGANIZATION	Tenure Promotion and Review Process USA ME Sharp Inc
PERSON	Adriana
PERSON	Miriam
ORGANIZATION	Alliance of Digital Humanities Organizations Affiliated
