type	entity
ORGANIZATION	About Us Services People Events Newsletter
ORGANIZATION	Pinsent Masons
ORGANIZATION	Property Litigation amp International Arbitration Pensions EU amp Competition Regulatory Intellectual Property Tax Construction Advisory amp Disputes Banking amp Restructuring Employment Corporate Insurance TMT
ORGANIZATION	Infrastructure Core Industries amp Markets Retail Sport Hotels Gambling Real estate Housing Public
ORGANIZATION	Life sciences Universities
ORGANIZATION	Financial Services Advanced Manufacturing amp Technology Services Sign
LOCATION	UK
LOCATION	UK
ORGANIZATION	Sourcing Intellectual Property Media
ORGANIZATION	Core Industries
LOCATION	UK
LOCATION	UK
PERSON	Emily Swithenbank
ORGANIZATION	Pinsent Masons
LOCATION	UK
LOCATION	UK
PERSON	Younger
LOCATION	UK
LOCATION	UK
ORGANIZATION	Rights in Performances Research Education Libraries
LOCATION	UK
LOCATION	UK
LOCATION	UK
LOCATION	UK
ORGANIZATION	Core Industries amp Markets All
ORGANIZATION	CJEU
ORGANIZATION	Newzbin
ORGANIZATION	Google
PERSON	Catrin Turner Catrin Turner
PERSON	Cerys Wyn Davies Cerys Wyn Davies
ORGANIZATION	Pinsent Masons
