type	entity
ORGANIZATION	Search for Postcolonial Digital Humanities Facebook Twitter Main
ORGANIZATION	Global Women Wikipedia
ORGANIZATION	Create Wikipedia Entries
ORGANIZATION	Will Stick New Pages Patrol
ORGANIZATION	Create New Wikipedia
ORGANIZATION	Digital Humanities
PERSON	Adeline Koh
PERSON	David Golumbia
ORGANIZATION	Digital
PERSON	Martha Nell Smith
PERSON	Martha Nell Smith
PERSON	Smith
ORGANIZATION	Tumblr Twitter Facebook Google
ORGANIZATION	Digital Humanities
ORGANIZATION	Digital Humanities
PERSON	William Cummings
PERSON	Martha Nell Smith
PERSON	Bowker
PERSON	George Lakoff
PERSON	Tagore
LOCATION	India
PERSON	David Golumbia
PERSON	Martha
LOCATION	US
PERSON	Tara McPherson
PERSON	Salvador Barajas
PERSON	David
LOCATION	US
LOCATION	Mexico
LOCATION	US Southwest
PERSON	David Golumbia
LOCATION	US
LOCATION	Spain
PERSON	David
ORGANIZATION	Google
PERSON	Ted Underwood
PERSON	Mike Black
PERSON	Brian Lennon
PERSON	Maria Fern
PERSON	Kavita Philip
PERSON	Terry Harpold
PERSON	Kavita Philip
PERSON	Harpold
PERSON	Sandra Harding
PERSON	Stephen Ramsay
PERSON	Martha Nell
ORGANIZATION	Digital Humanities
PERSON	Laura Mandell
PERSON	Susan Brown
PERSON	Cecilia
PERSON	Josh Honn
PERSON	Nell Smith
PERSON	Sanford Berman
ORGANIZATION	Congress
PERSON	Berman
PERSON	Nell Smith
PERSON	Amy Earhart
PERSON	Sanford Berman
ORGANIZATION	LOC
PERSON	Berman
PERSON	Ian Bogost
PERSON	Ian Bogost
PERSON	Nick Montfort
PERSON	David Golumbia
PERSON	Martha
PERSON	Tara McPherson
ORGANIZATION	SCALAR
PERSON	Matthew Kirschenbaum
PERSON	David
PERSON	Ian Bogost
PERSON	Matt
PERSON	Tara McPherson
PERSON	Ted Underwood
PERSON	Neal Caren
ORGANIZATION	Matt Jockers Macroanalysis
ORGANIZATION	HathiTrust Research Center
PERSON	David Golumbia
PERSON	Matt
PERSON	Paul Edwards Phil Agre Wendy Chun
PERSON	Tara McPherson
PERSON	Lisa Nakamura
ORGANIZATION	Speclab
ORGANIZATION	University
PERSON	David Golumbia
PERSON	Alan Liu
PERSON	Manuel Castells
ORGANIZATION	TSA
PERSON	Natalia Cecire
ORGANIZATION	Digital Humanities Discussing
PERSON	Stephen Ramsay
PERSON	Daniel Allington
PERSON	Steve
ORGANIZATION	associated DH
ORGANIZATION	Google Inc
PERSON	Todd Presner
ORGANIZATION	Shoah Foundation Visual History Archive
PERSON	Alan Liu
PERSON	Todd Presner
PERSON	Ted Underwood
PERSON	Alan
