type	entity
ORGANIZATION	University of Manchester
ORGANIZATION	University of Manchester
ORGANIZATION	Manchester
ORGANIZATION	Postgraduate
ORGANIZATION	Manchester
LOCATION	Manchester
ORGANIZATION	Research Research
ORGANIZATION	Energy
ORGANIZATION	Manchester Inspiring
ORGANIZATION	Manchester
ORGANIZATION	University of Manchester Magazine Events Key
ORGANIZATION	Manchester University
ORGANIZATION	People Conference
ORGANIZATION	University of Manchester
LOCATION	Trafford Centre
ORGANIZATION	Postgraduate research Programme
ORGANIZATION	Manchester
ORGANIZATION	Manchester
ORGANIZATION	Manchester
LOCATION	South Africa
LOCATION	South Africa
LOCATION	South Africa
LOCATION	Manchester
ORGANIZATION	Witwatersrand
LOCATION	South Africa
ORGANIZATION	Manchester
ORGANIZATION	University
ORGANIZATION	University
ORGANIZATION	University
LOCATION	Manchester
PERSON	Silke Gillessen
PERSON	Silke Gillessen
ORGANIZATION	Manchester
PERSON	Silke Gillessen
ORGANIZATION	University
ORGANIZATION	Christie NHS Foundation Trust
ORGANIZATION	University
ORGANIZATION	BBC
ORGANIZATION	International Manchester
ORGANIZATION	International Manchester University
LOCATION	Manchester
ORGANIZATION	Times Higher Education World University Rankings Manchester
ORGANIZATION	University of Manchester
ORGANIZATION	University of Manchester
ORGANIZATION	University of Manchester
ORGANIZATION	University of Manchester Global
LOCATION	UK
ORGANIZATION	Chemical
PERSON	James Chadwick
ORGANIZATION	Chemical
PERSON	James Chadwick
ORGANIZATION	University Heritage Explore
ORGANIZATION	Life Sciences
LOCATION	UK
LOCATION	Manchester
ORGANIZATION	Jodrell Bank
ORGANIZATION	Jodrell Bank Jodrell Bank
ORGANIZATION	Lovell Telescope
ORGANIZATION	Jodrell Bank
ORGANIZATION	John Rylands Library
LOCATION	Manchester Museum
LOCATION	Manchester Museum Manchester Museum From Darwin
LOCATION	Manchester
LOCATION	Manchester
LOCATION	Manchester
PERSON	Alison Wilding
PERSON	Whitworth
PERSON	Alison Wilding
PERSON	Whitworth Alison Wilding
LOCATION	Whitworth
ORGANIZATION	Turner Prize
PERSON	Alison Wilding
PERSON	Whitworth
ORGANIZATION	University Gift Shop Conference
ORGANIZATION	University of Manchester Library Key
ORGANIZATION	Jodrell Bank
ORGANIZATION	John Rylands Library Manchester Museum The Whitworth StaffNet My Manchester
ORGANIZATION	Manchester
ORGANIZATION	University Gift Shop Conference
ORGANIZATION	University of Manchester Library Key
ORGANIZATION	Jodrell Bank
ORGANIZATION	John Rylands Library Manchester Museum The Whitworth StaffNet My Manchester
ORGANIZATION	Manchester
ORGANIZATION	University of Manchester Oxford Rd Manchester
LOCATION	UK
ORGANIZATION	University of Manchester
ORGANIZATION	University of Manchester
ORGANIZATION	University of Manchester
ORGANIZATION	University of Manchester
ORGANIZATION	University of Manchester
ORGANIZATION	University of Manchester
ORGANIZATION	Google
ORGANIZATION	University of Manchester
ORGANIZATION	Google
ORGANIZATION	University of Manchester
ORGANIZATION	University of Manchester
ORGANIZATION	University of Manchester Social
PERSON	Lovie
