type	entity
ORGANIZATION	NCBI
ORGANIZATION	NCBI
ORGANIZATION	Resources Chemicals amp Bioassays BioSystems
ORGANIZATION	PubChem Substance All Chemicals
ORGANIZATION	E Utilities GenBank GenBank BankIt GenBank Sequin GenBank
ORGANIZATION	GenBank BankIt GenBank Sequin GenBank
ORGANIZATION	All Data amp Software Resources Domains amp Structures BioSystems
ORGANIZATION	Domains amp Structures Resources Genes amp Expression BioSystems Database of Genotypes
ORGANIZATION	UniGene All Genes amp Expression Resources Genetics amp Medicine Bookshelf Database of Genotypes
ORGANIZATION	RefSeqGene All Genetics amp Medicine Resources Genomes amp Maps Database of Genomic Structural Variation dbVar GenBank tbl2asn Genome Genome Project Genome ProtMap Genome Workbench Influenza Virus Nucleotide Database
ORGANIZATION	NCBI Databases MeSH Database NCBI Handbook NCBI Help Manual NCBI News
ORGANIZATION	NCBI Education Page NCBI Handbook NCBI Help Manual NCBI News amp Blog All Training amp Tutorials Resources Variation Database of Genomic Structural Variation dbVar Database of Genotypes
ORGANIZATION	RNA Data amp Software Domains amp Structures Genes amp Expression Genetics amp Medicine Genomes amp Maps Homology Literature Proteins Sequence Analysis Taxonomy Training amp
ORGANIZATION	US National Library of Medicine National Institutes of Health Search databaseAll Databases Assembly Biocollections BioProject BioSample BioSystems Books
ORGANIZATION	UniGene
ORGANIZATION	MEDLINE
ORGANIZATION	Lansdall Welfare
PERSON	Thompson J2 Lewis
PERSON	Atkin Wright
PERSON	Dobson
ORGANIZATION	Callison R Author
ORGANIZATION	Intelligent Systems Laboratory University of Bristol Bristol BS8 1UB United Kingdom
ORGANIZATION	Department of History University of Bristol Bristol BS8 1TB United Kingdom
ORGANIZATION	School of Journalism Media and Cultural Studies University of Cardiff Cardiff CF10 3NB United Kingdom
ORGANIZATION	Intelligent Systems Laboratory University of Bristol Bristol
LOCATION	United Kingdom
LOCATION	United Kingdom
ORGANIZATION	Google
LOCATION	United Kingdom
LOCATION	United Kingdom
PERSON	Gibbs
PERSON	Cohen
PERSON	Gladstone
PERSON	Disraeli
ORGANIZATION	Wikipedia
LOCATION	United Kingdom
ORGANIZATION	Liberal Party
ORGANIZATION	Labour Party
ORGANIZATION	NCBI Education NCBI Help Manual NCBI Handbook Training amp Tutorials Submit Data Resources Chemicals amp Bioassays Data amp Software DNA amp RNA Domains amp Structures Genes amp Expression Genetics amp Medicine Genomes amp Maps Homology Literature Proteins Sequence Analysis Taxonomy Variation Popular PubMed Bookshelf PubMed Central PubMed Health
ORGANIZATION	SNP Gene Protein PubChem Featured Genetic Testing Registry PubMed Health GenBank Reference Sequences Gene Expression Omnibus Genome Data Viewer Human Genome Mouse Genome Influenza Virus Primer
ORGANIZATION	NCBI Research
ORGANIZATION	NCBI NCBI News
ORGANIZATION	Facebook NCBI
ORGANIZATION	NLM NIH DHHS USA gov National Center for Biotechnology Information U S National Library of Medicine 8600 Rockville Pike Bethesda MD
