type	entity
ORGANIZATION	Library Items Search for Lists Search for Contacts Search
LOCATION	Washington
LOCATION	Washington
ORGANIZATION	Subjects Education Higher United States Periodicals Education Demographic
LOCATION	United States
ORGANIZATION	Google Google Google Google Google HathiTrust Digital Library Limited
ORGANIZATION	Digital
ORGANIZATION	Benchmark for Faithful Digital Reproductions
ORGANIZATION	Digital Library Federation
ORGANIZATION	Education Higher United States Periodicals Education Demographic
LOCATION	United States
ORGANIZATION	Education Demographic aspects Education Higher United States Confirm
ORGANIZATION	Linked Data Primary Entity
LOCATION	Washington
LOCATION	United States
LOCATION	United States
LOCATION	United States
ORGANIZATION	Chronicle
ORGANIZATION	Chronicle
ORGANIZATION	Chronicle
LOCATION	Washington
LOCATION	Washington
LOCATION	United States
LOCATION	United States
LOCATION	United States
LOCATION	United States
LOCATION	United States
LOCATION	United States
LOCATION	Washington
ORGANIZATION	Chronicle
ORGANIZATION	Chronicle
LOCATION	Washington
LOCATION	Italiano Nederlands Portugu
