type	entity
PERSON	Andrea L Kavanaugh
ORGANIZATION	Virginia Tech United States Senior Research Scientist
ORGANIZATION	Center for Human Computer Interaction Ziqian Song Virginia Tech
LOCATION	United States
ORGANIZATION	Computer Science Department Home
PERSON	Kavanaugh
PERSON	Andrea L Kavanaugh
ORGANIZATION	Twitter
ORGANIZATION	Twitter
ORGANIZATION	Twitter
PERSON	Ahuja
PERSON	Cohill
PERSON	Kavanaugh
PERSON	Kavanaugh
PERSON	Tauro
ORGANIZATION	Facebook
LOCATION	Virtual Town Square
PERSON	Kavanaugh
PERSON	Kavanaugh Ahuja
PERSON	Kavanaugh Krishnan
LOCATION	New River Valley
LOCATION	Virginia Local
LOCATION	New River Valley
ORGANIZATION	Twitter
ORGANIZATION	Twitter
PERSON	Kim
LOCATION	Rothenbuhler
ORGANIZATION	CI Community
PERSON	Cohill
PERSON	Kavanaugh
PERSON	Kavanaugh
PERSON	Kavanaugh
PERSON	Cohill
PERSON	Kavanaugh
PERSON	Hanrahan
PERSON	Kavanaugh
PERSON	Kavanaugh Krishnan
PERSON	Kavanaugh
PERSON	Cranshaw
LOCATION	Pittsburgh
ORGANIZATION	Facebook
ORGANIZATION	Twitter
PERSON	Ahuja
PERSON	Tauro
ORGANIZATION	Pew Internet amp American Life
ORGANIZATION	Broadcast Network and Support Network Smith
PERSON	Hanrahan
PERSON	Kavanaugh
PERSON	Kavanaugh Ahuja
PERSON	Kavanaugh Krishnan
ORGANIZATION	National Science Foundation
ORGANIZATION	Facebook
ORGANIZATION	Twitter
ORGANIZATION	Facebook
ORGANIZATION	Twitter
LOCATION	Virtual Town Square
ORGANIZATION	Facebook
LOCATION	Virtual Town Square
LOCATION	New River Valley
LOCATION	Virginia Christiansburg Blacksburg
LOCATION	Radford
LOCATION	Montgomery Floyd Pulaski
PERSON	Giles
ORGANIZATION	MSA
LOCATION	Virginia
ORGANIZATION	U S Census
LOCATION	Montgomery County
LOCATION	Blacksburg
ORGANIZATION	Virginia Polytechnic Institute and State University Virginia Tech
LOCATION	Blacksburg
LOCATION	Montgomery County Blacksburg
LOCATION	US
LOCATION	Blacksburg
LOCATION	Montgomery County
LOCATION	US
ORGANIZATION	Facebook
ORGANIZATION	Virginia Tech
LOCATION	Blacksburg
LOCATION	Montgomery County
ORGANIZATION	Citizens First for Blacksburg Literacy Volunteers of the NRV
ORGANIZATION	Christiansburg Civic League Twitter
LOCATION	New River Valley
LOCATION	New River Valley
ORGANIZATION	Twitter
PERSON	Hansen
PERSON	Hansen
PERSON	Lafferty
PERSON	Bhattacharya
ORGANIZATION	LDA
PERSON	Blei
ORGANIZATION	LDA
ORGANIZATION	LDA
LOCATION	Pulaski
LOCATION	Blacksburg Stuff
ORGANIZATION	Radford University
ORGANIZATION	Twitter
LOCATION	Blacksburg
ORGANIZATION	Twitter
ORGANIZATION	Twitter
PERSON	Michael Moore
LOCATION	Flint Michigan
LOCATION	Oklahoma City
LOCATION	Virginia Tech
LOCATION	Bay of Pigs Boston Marathon
LOCATION	Waco
PERSON	Michael Moore
ORGANIZATION	LDA
ORGANIZATION	Twitter
ORGANIZATION	Virginia Tech
ORGANIZATION	Virginia Tech
LOCATION	Blacksburg
LOCATION	Pulaski County
ORGANIZATION	Virginia Tech Blacksburg
LOCATION	Pulaski
ORGANIZATION	LDA
ORGANIZATION	Virginia Tech
LOCATION	Blacksburg
LOCATION	Blacksburg
LOCATION	New River Valley
ORGANIZATION	Town Council
ORGANIZATION	GardnerCampbell VT
LOCATION	New River Valley
ORGANIZATION	Blacksburg Roanoke Group
LOCATION	Blacksburg
LOCATION	Radford
ORGANIZATION	Virginia Tech
LOCATION	Blacksburg
ORGANIZATION	Pulaski County Pulaski High School
ORGANIZATION	BlacksburgStuff Everything Blacksburg 1News2News World
LOCATION	Virginia
ORGANIZATION	Town council VT
LOCATION	Pulaski
LOCATION	Blacksburg
ORGANIZATION	Pulaski Football Pulaski
ORGANIZATION	River Valley Church Church
LOCATION	Blacksburg
LOCATION	Roanoke
LOCATION	Pulaski County
LOCATION	New River Valley
ORGANIZATION	Hokies
ORGANIZATION	Blacksburg
ORGANIZATION	Christansburg
ORGANIZATION	NRA
LOCATION	Newtown
ORGANIZATION	Virginia Tech
LOCATION	Blacksburg
LOCATION	Blacksburg
ORGANIZATION	James Madison University
LOCATION	Virginia
ORGANIZATION	JMU
ORGANIZATION	Virginia Tech
ORGANIZATION	JMU
ORGANIZATION	Virginia Tech
LOCATION	Virtual Town Square
LOCATION	New River Valley
LOCATION	Virginia
ORGANIZATION	Virginia Tech
LOCATION	Pulaski County
ORGANIZATION	LDA
ORGANIZATION	Twitter
ORGANIZATION	Twitter
PERSON	Andrea L Kavanaugh
ORGANIZATION	Center for Human Computer Interaction at Virginia Tech
ORGANIZATION	Department of Computer Science at Virginia Tech
ORGANIZATION	U S National Science Foundation NSF
ORGANIZATION	NSF
PERSON	Manuel
PERSON	John Tedesco Naren Ramakrishnan
PERSON	Siddharth Krishnan
PERSON	Ahuja
PERSON	Davies
ORGANIZATION	Stanford Calif Center for the Study of Language and Information
PERSON	Bhattacharya
PERSON	Ghosh
PERSON	Zafar N Ganguly
ORGANIZATION	CSCW
ORGANIZATION	Computer Supported Cooperative Work amp Social Computing
PERSON	Classificaton
PERSON	London Chapman
ORGANIZATION	Journal of Machine Learning Research
PERSON	Golder
ORGANIZATION	Hawaii International Conference on System Sciences
PERSON	Cohill
PERSON	Kavanaugh
ORGANIZATION	Blacksburg Virginia Boston Mass Artech House
PERSON	Cranshaw R Schwartz J Hong
PERSON	Sadeh
ORGANIZATION	Social Media
ORGANIZATION	CSCW
ORGANIZATION	American Journal of Sociology
ORGANIZATION	Hershey Pa Idea Group
PERSON	Hanrahan
PERSON	Ahuja
PERSON	Hansen
PERSON	Rotman
PERSON	Bonsignore
PERSON	Milic Frayling
PERSON	Smith B Shneiderman
ORGANIZATION	Social Informatics
PERSON	Hansen B Shneiderman
ORGANIZATION	Burlington Mass Morgan Kaufmann
ORGANIZATION	Social Network Analysis
PERSON	Kavanaugh
PERSON	Reese J M Carroll
PERSON	Rosson
PERSON	Huysman
PERSON	Wenger
PERSON	Wulf
ORGANIZATION	First International Conference on Communities and Technologies C amp T 2003 Boston Mass Kluwer Academic
PERSON	Kavanaugh
PERSON	Carroll
PERSON	Rosson T T Zin
ORGANIZATION	Journal of Computer Mediated Communication
PERSON	Tedesco
PERSON	Hunsinger L Klastrup
PERSON	Allen
ORGANIZATION	Internet Research New York Springer
PERSON	Ahuja
PERSON	Gad
PERSON	Neidig
PERSON	Ramakrishnan
PERSON	J Tedesco
PERSON	Kavanaugh
PERSON	Krishnan
PERSON	J Tedesco K Madondo
ORGANIZATION	Information Polity
PERSON	Kim
PERSON	Wyatt
PERSON	Katz
PERSON	Purcell
LOCATION	London
ORGANIZATION	New York Simon
PERSON	Roble J Cheng
ORGANIZATION	Multimedia Capstone Course Report Computer Science Virginia Tech
PERSON	Addison Wesley
PERSON	Rainie B Shneiderman
ORGANIZATION	Pew Research Center
PERSON	Ahuja
PERSON	Kavanaugh
ORGANIZATION	Digital Government Research
ORGANIZATION	U S Census Bureau
PERSON	Andrea L Kavanaugh
PERSON	Andrea L Kavanaugh
ORGANIZATION	University of Illinois at Chicago University Library First
