type	entity
PERSON	Rodrigo Sandoval Almazan
LOCATION	Mexico
PERSON	Rodrigo Sandoval Almazan
ORGANIZATION	Political Sciences and Social Sciences Department
ORGANIZATION	Autonomous State University of Mexico
LOCATION	Toluca City
PERSON	Sandoval Almazan
ORGANIZATION	Government Information Quarterly Information Polity Electronic Journal of Electronic Government Journal of Information Technology for Development Journal of Organizational Computing and Electronic Commerce International Journal of E Politics
PERSON	Proffesor Sandoval Almazan
ORGANIZATION	Political Science and Public Administration
PERSON	Andrea L Kavanaugh
ORGANIZATION	Center for Human Computer Interaction Virginia Polytechnic Institute amp State University Virginia Tech United States Senior Research Scientist
ORGANIZATION	Center for Human Computer Interaction at Virginia Polytechnic Institute and State University Virginia Tech
LOCATION	Blacksburg Virginia USA
PERSON	Sandoval Almazan
PERSON	Rodrigo Sandoval Almazan
PERSON	Andrea L Kavanaugh
ORGANIZATION	Facebook Twitter
ORGANIZATION	Facebook Twitter YouTube
ORGANIZATION	Facebook
ORGANIZATION	Weibo Authors
PERSON	Andrea Kavanaugh
LOCATION	New River Valley
LOCATION	Virginia
LOCATION	Virtual Town Square
ORGANIZATION	Twitter
PERSON	Ignacio Criado
PERSON	Juli
PERSON	Villodre
ORGANIZATION	Facebook
LOCATION	Shanghai Qianli Yuan
PERSON	Mila Gasco
PERSON	Weibo
LOCATION	Huangpu River
LOCATION	Shanghai
PERSON	Mahdi Najafabadi
PERSON	Robert Domanski
LOCATION	Iran
ORGANIZATION	EU
PERSON	Paula
PERSON	Ersin Dincelli
ORGANIZATION	Facebook
ORGANIZATION	YouTube
PERSON	Rodrigo Sandoval Almaz
PERSON	David Valle Cruz
LOCATION	Mexico
PERSON	Eruviel Avila
PERSON	Rodrigo Sandoval Almaz
ORGANIZATION	Autonomous University of the State
LOCATION	Mexico
LOCATION	Toluca Mexico
PERSON	Andrea L Kavanaugh
ORGANIZATION	Center for Human Computer Interaction at Virginia Polytechnic Institute and State University
LOCATION	Blacksburg Virginia
PERSON	Rodrigo Sandoval Almaz
PERSON	Andrea L Kavanaugh
PERSON	Rodrigo Sandoval Almaz
PERSON	Andrea L Kavanaugh
ORGANIZATION	University of Illinois at Chicago University Library First
