type	entity
PERSON	Nathaniel Hawthorne
ORGANIZATION	Great Stone Face
PERSON	Ernest Mother
PERSON	Ernest Pray
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
ORGANIZATION	Great Stone Face
LOCATION	Ernest
LOCATION	Providence
ORGANIZATION	Arctic Circle
LOCATION	Africa
PERSON	Gathergold
LOCATION	Midas
PERSON	Gathergold
PERSON	Gathergold
PERSON	Gathergold
PERSON	Gathergold
PERSON	Gathergold
PERSON	Gathergold
PERSON	Ernest
PERSON	Gathergold
PERSON	Ernest
PERSON	Ernest
PERSON	Gathergold
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
ORGANIZATION	Great Stone Face
PERSON	Ernest
PERSON	Gathergold
PERSON	Gathergold
PERSON	Thunder
PERSON	Ernest
PERSON	Battleblast
LOCATION	Washington
PERSON	Ernest
PERSON	Ernest
PERSON	Thunder
PERSON	Thunder
ORGANIZATION	Great Stone Face
PERSON	Ernest
LOCATION	Providence
PERSON	Thunder
PERSON	Ernest
PERSON	Ernest
LOCATION	Great Stone Face
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Thunder
PERSON	Gathergold
PERSON	Thunder
PERSON	Old Stony Phiz
PERSON	Ernest Though
PERSON	Ernest
ORGANIZATION	Congress
PERSON	Ernest
PERSON	Huzza
PERSON	Huzza
LOCATION	Old Stony Phiz
PERSON	Ernest
ORGANIZATION	Great Stone Face
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
ORGANIZATION	Great Stone Face
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
ORGANIZATION	Time
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
LOCATION	Providence
PERSON	Ernest He
PERSON	Ernest
PERSON	Ernest
PERSON	Gathergold
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Gathergold
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest He
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
PERSON	Ernest
