type	entity
PERSON	Nathaniel Hawthorne
ORGANIZATION	Custom House
ORGANIZATION	Custom House
LOCATION	Salem
LOCATION	Nova Scotia
PERSON	Sam
ORGANIZATION	Custom House
LOCATION	England
PERSON	Salem
LOCATION	New York
LOCATION	Boston
LOCATION	Africa
LOCATION	South America
ORGANIZATION	Yankee
ORGANIZATION	Custom House
PERSON	Matthew
ORGANIZATION	Custom House
ORGANIZATION	Congress
LOCATION	Salem
LOCATION	Gallows Hill
LOCATION	New Guinea
LOCATION	Salem
PERSON	Salem
LOCATION	Old Manse
PERSON	Sam
LOCATION	Salem
ORGANIZATION	Custom House
LOCATION	United States
ORGANIZATION	Salem Custom House
LOCATION	New England
PERSON	Miller
ORGANIZATION	Custom House
ORGANIZATION	Custom House
ORGANIZATION	Custom House
ORGANIZATION	Whig Collector
ORGANIZATION	Custom House
ORGANIZATION	Custom House
ORGANIZATION	Custom House
ORGANIZATION	Custom House
LOCATION	United States
ORGANIZATION	Custom House
ORGANIZATION	Custom House
PERSON	Adams
ORGANIZATION	Custom House
ORGANIZATION	Custom House
ORGANIZATION	Custom House
LOCATION	Old Ticonderoga
LOCATION	Chippewa
LOCATION	Fort Erie
ORGANIZATION	Custom House
LOCATION	Niagara
LOCATION	New England
ORGANIZATION	Custom House
ORGANIZATION	Custom House
LOCATION	Providence
ORGANIZATION	Brook Farm
PERSON	Emerson
PERSON	Ellery Channing
PERSON	Thoreau
LOCATION	Walden
PERSON	Hillard
LOCATION	Longfellow
PERSON	Alcott
PERSON	Burns
ORGANIZATION	Custom House
PERSON	Napoleon
PERSON	Sam
ORGANIZATION	Custom House
ORGANIZATION	Custom House
ORGANIZATION	Custom House
LOCATION	Salem
PERSON	Billy Gray
PERSON	Simon Forrester
LOCATION	Salem
ORGANIZATION	Custom House
LOCATION	Halifax
LOCATION	Boston
LOCATION	India
PERSON	Salem
PERSON	Shirley
PERSON	Jonathan Pue
ORGANIZATION	Customs
LOCATION	Salem
LOCATION	Massachusetts Bay
PERSON	Surveyor Pue
ORGANIZATION	St Peter s Church
PERSON	Pue
ORGANIZATION	Custom House
PERSON	Pue
LOCATION	Halifax
LOCATION	Salem
ORGANIZATION	Essex Historical Society
PERSON	Hester Prynne
LOCATION	Massachusetts
PERSON	Surveyor Pue
ORGANIZATION	Custom House
PERSON	Surveyor Pue
PERSON	Hester Prynne
ORGANIZATION	Custom House
ORGANIZATION	Custom House
ORGANIZATION	Scarlet Letter
PERSON	Uncle Sam
ORGANIZATION	Custom House
ORGANIZATION	Customs
ORGANIZATION	Custom House
LOCATION	California
PERSON	Sam
ORGANIZATION	Custom House
LOCATION	Providence
PERSON	Taylor
ORGANIZATION	Custom House
ORGANIZATION	Irving
PERSON	Surveyor Pue
PERSON	Rusty
ORGANIZATION	Custom House
ORGANIZATION	Pingree Phillips Shepard Upton Kimball Bertram Hunt
LOCATION	Boston
PERSON	Isaac Johnson
PERSON	Ann Hutchinson
LOCATION	Prison Lane
LOCATION	Boston
LOCATION	New England
PERSON	Elizabeth
LOCATION	New England
ORGANIZATION	Goodwives
PERSON	Dimmesdale
PERSON	Hester Prynne
PERSON	Madam Hester
PERSON	Hester Prynne
PERSON	Hester Prynne
PERSON	Madam Hester
LOCATION	Massachusetts
PERSON	Madam Hester
PERSON	Hester Prynne
PERSON	Hester Prynne
LOCATION	Boston
LOCATION	France
PERSON	Hester Prynne
PERSON	Hester Prynne
PERSON	Hester Prynne
PERSON	Hester Prynne
LOCATION	England
PERSON	Hester Prynne
ORGANIZATION	Continental
PERSON	Hester Prynne
PERSON	Hester Prynne
PERSON	Hester Prynne
PERSON	Hester Prynne
PERSON	Hester Prynne
PERSON	Dimmesdale
PERSON	Hester Prynne
LOCATION	Amsterdam
LOCATION	Massachusetts
LOCATION	Boston
PERSON	Master Prynne
PERSON	Daniel
PERSON	Madam Hester
LOCATION	Massachusetts
PERSON	Hester Prynne
PERSON	Hester Prynne
PERSON	Hester Prynne
LOCATION	Bellingham
PERSON	Hester Prynne
PERSON	John Wilson
LOCATION	Boston
PERSON	Hester
PERSON	Hester Prynne
PERSON	Wilson
PERSON	Dimmesdale
LOCATION	Bellingham
PERSON	Dimmesdale
PERSON	Dimmesdale
PERSON	Mr Wilson
PERSON	Wilson
PERSON	Dimmesdale
PERSON	Hester Prynne
PERSON	Hester
PERSON	Hester
PERSON	Dimmesdale
PERSON	Hester Prynne
PERSON	Hester
PERSON	Wilson
PERSON	Hester Prynne
PERSON	Wilson
PERSON	Ye
PERSON	Hester
PERSON	Dimmesdale
PERSON	Hester Prynne
PERSON	Hester Prynne
PERSON	Hester
PERSON	Hester Prynne
PERSON	Roger Chillingworth
PERSON	Hester Prynne
PERSON	Brackett
PERSON	Hester
LOCATION	Lethe
ORGANIZATION	Nepenthe
ORGANIZATION	Paracelsus
PERSON	Hester
PERSON	Hester
PERSON	Hester Prynne
PERSON	Hester
PERSON	Hester Prynne
PERSON	Hester
PERSON	Hester
PERSON	Hester
PERSON	Hester
PERSON	Hester Prynne
PERSON	Hester
PERSON	Hester Prynne
PERSON	Thou
PERSON	Hester
PERSON	Hester
PERSON	Hester Swear
PERSON	Prynne
PERSON	Roger Chillingworth
PERSON	Hester
PERSON	HESTER
PERSON	Hester Prynne
LOCATION	England
PERSON	Hester
LOCATION	New England
PERSON	Hester Prynne
PERSON	Hester
PERSON	Hester
PERSON	Hester Prynne
PERSON	Hester
PERSON	Hester
PERSON	Hester
PERSON	Hester Prynne
PERSON	Hester Prynne
PERSON	Dames
PERSON	Hester
PERSON	Hester
PERSON	Hester Prynne
PERSON	Hester
PERSON	Hester
PERSON	Hester Prynne
PERSON	Hester
PERSON	Hester Prynne
PERSON	Hester
PERSON	Hester Prynne
PERSON	Hester Prynne
PERSON	Hester
ORGANIZATION	VI PEARL
LOCATION	Providence
PERSON	Hester
PERSON	Pearl
PERSON	Hester Prynne
