type	entity
PERSON	DICK
PERSON	Herman Melville
PERSON	Dan
PERSON	Dut
PERSON	Ger Wallen
PERSON	RICHARDSON
ORGANIZATION	CETUS
PERSON	Saxon
LOCATION	Hampton Court
PERSON	Gabriel Michael
PERSON	Raphael
PERSON	Jonah JONAH
PERSON	Leviathan
LOCATION	Whirlpooles
PERSON	Balaene
LOCATION	Old Nick
PERSON	Leviathan
PERSON	Moses
PERSON	dart Dinting
PERSON	WILLIAM DAVENANT
PERSON	Hosmannus
PERSON	BROWNE
PERSON	Spencer
LOCATION	Latin Civitas
PERSON	Leviathan
PERSON	DRYDEN
LOCATION	SPITZBERGEN
LOCATION	PURCHAS
LOCATION	ASIA
LOCATION	AFRICA
PERSON	SCHOUTEN
LOCATION	Elbe
LOCATION	Shetland
LOCATION	Spitzbergen
LOCATION	GREENLAND
LOCATION	Pitferren SIBBALD
ORGANIZATION	KINROSS
PERSON	COWLEY
ORGANIZATION	Oft
PERSON	GOLDSMITH
PERSON	GOLDSMITH
LOCATION	JOHNSON
LOCATION	ICELAND
PERSON	THOMAS JEFFERSON
ORGANIZATION	NANTUCKET WHALE
LOCATION	Spain
LOCATION	Europe
ORGANIZATION	BLACKSTONE
LOCATION	LONDON
PERSON	JOHN HUNTER
LOCATION	London Bridge
LOCATION	Spermacetti Whales
LOCATION	Atlantic
LOCATION	NANTUCKET
PERSON	Susan
LOCATION	Pacific
PERSON	Tom
LOCATION	Berlin Gazette
PERSON	Chace
LOCATION	NANTUCKET
LOCATION	PACIFIC
PERSON	OWEN CHACE
LOCATION	NANTUCKET
PERSON	ELIZABETH OAKES
ORGANIZATION	Sperm Whale
PERSON	BEALE
LOCATION	Greenland
PERSON	FREDERICK DEBELL BENNETT
PERSON	J ROSS BROWNE
LOCATION	Nantucket
PERSON	TYERMAN
LOCATION	BENNETT Nantucket
PERSON	Webster
PERSON	DANIEL WEBSTER
LOCATION	NANTUCKET
PERSON	HENRY T CHEEVER
PERSON	Samuel
PERSON	SAMUEL COMSTOCK
PERSON	WILLIAM COMSTOCK
LOCATION	Northern Ocean
LOCATION	India
LOCATION	London
PERSON	MIRIAM
ORGANIZATION	Terra Del Fuego
PERSON	Stern
PERSON	Stern
ORGANIZATION	NANTUCKET
PERSON	Cato
ORGANIZATION	Whitehall
LOCATION	China
LOCATION	Prairies
LOCATION	Tennessee
LOCATION	Rockaway Beach
PERSON	Van Rensselaers
LOCATION	Seneca
PERSON	Gabriel
LOCATION	Providence
LOCATION	United States
PERSON	Cape Horn
LOCATION	New Bedford
LOCATION	Nantucket
LOCATION	New Bedford
LOCATION	Nantucket
ORGANIZATION	New Bedford
LOCATION	Nantucket
PERSON	Nantucket
LOCATION	Carthage
LOCATION	Nantucket
LOCATION	Nantucket
LOCATION	New Bedford
PERSON	Ishmael
PERSON	Ishmael
PERSON	Ishmael
ORGANIZATION	Black Parliament
LOCATION	Tophet
PERSON	Ha Ishmael
LOCATION	Nantucket
PERSON	Peter
PERSON	Euroclydon
PERSON	Paul
PERSON	Euroclydon
PERSON	Lazarus
PERSON	Euroclydon Euroclydon
ORGANIZATION	Orion
PERSON	Lazarus
PERSON	Lazarus
LOCATION	Sumatra
PERSON	Lazarus
ORGANIZATION	Moluccas
LOCATION	New England
LOCATION	Black Sea
PERSON	Cape Horner
PERSON	Nathan Swain
LOCATION	Javan
LOCATION	Cape
PERSON	Blanco
PERSON	Jonah
LOCATION	Iceland
PERSON	Jonah
PERSON	Jonah
LOCATION	Labrador
LOCATION	Alleghanian Ridge
LOCATION	Virginia
LOCATION	Bulkington Bulkington
PERSON	Bulkington
PERSON	Sartain
ORGANIZATION	Hecla
PERSON	Wall
LOCATION	New Zealand
PERSON	Sal
PERSON	Sal
PERSON	Sam
PERSON	Johnny
PERSON	Sam
PERSON	Arter
PERSON	Sal
LOCATION	New Zealand
LOCATION	South Seas
LOCATION	New Zealand
LOCATION	Congo
LOCATION	Congo
PERSON	Peter Coffin
PERSON	Don
LOCATION	Queequeg
LOCATION	Queequeg
LOCATION	Queequeg
ORGANIZATION	Christian Landlord
LOCATION	Queequeg
LOCATION	Queequeg
LOCATION	Queequeg
LOCATION	Queequeg
LOCATION	Queequeg
LOCATION	Queequeg
LOCATION	Queequeg
LOCATION	Newfoundland
LOCATION	Queequeg
LOCATION	Queequeg
LOCATION	Queequeg
LOCATION	Queequeg
LOCATION	Queequeg
LOCATION	Queequeg
LOCATION	Queequeg
ORGANIZATION	Rogers
LOCATION	Queequeg
LOCATION	Andes
LOCATION	Ledyard
LOCATION	New England
LOCATION	Mungo Park
LOCATION	Siberia
LOCATION	Ledyard
LOCATION	Africa
PERSON	Mungo
LOCATION	Green Mountains
LOCATION	Queequeg
LOCATION	Queequeg
LOCATION	Queequeg
LOCATION	Queequeg
LOCATION	New Bedford
LOCATION	Broadway
LOCATION	Chestnut
LOCATION	Mediterranean
LOCATION	Bombay
ORGANIZATION	Yankees
ORGANIZATION	New Bedford
LOCATION	New Bedford
LOCATION	New Hampshire
LOCATION	Green Mountains
LOCATION	New Bedford
LOCATION	Labrador
LOCATION	New England
LOCATION	Canaan
LOCATION	America
ORGANIZATION	New Bedford
LOCATION	Atlantic Pacific
PERSON	Herr Alexander
LOCATION	New Bedford
LOCATION	New Bedford
ORGANIZATION	New Bedford
ORGANIZATION	New Bedford
LOCATION	Salem
LOCATION	New Bedford
LOCATION	Indian Ocean
LOCATION	Pacific
LOCATION	Patagonia
PERSON	ROBERT LONG WILLIS ELLERY NATHAN COLEMAN WALTER CANNY SETH MACY
LOCATION	PACIFIC
PERSON	EZEKIEL HARDY
LOCATION	Japan
LOCATION	Queequeg
