type	entity
ORGANIZATION	Project Gutenberg EBook of Northanger Abbey
PERSON	Jane Austen
ORGANIZATION	Project Gutenberg License
PERSON	Jane Austen
ORGANIZATION	ABBEY
PERSON	Jane Austen
ORGANIZATION	ABBEY
PERSON	Catherine Morland
PERSON	Richard
PERSON	Catherine
LOCATION	Morlands
PERSON	Catherine
PERSON	Sally
PERSON	Catherine
LOCATION	England
PERSON	Catherine
PERSON	Mrs Morland
PERSON	Catherine
PERSON	Catherine Morland
PERSON	Catherine
PERSON	Mrs Morland
PERSON	Catherine
PERSON	Pope
PERSON	Thompson
PERSON	Shakespeare
PERSON	Allen
ORGANIZATION	Fullerton
LOCATION	Wiltshire
LOCATION	Morlands
PERSON	Morland
PERSON	Mrs Morland
PERSON	Catherine
PERSON	Catherine Morland
PERSON	Catherine
PERSON	Mrs Morland
PERSON	Catherine
PERSON	Sally
PERSON	Sarah
PERSON	Catherine
PERSON	Mrs Allen
PERSON	Catherine
LOCATION	Pulteney Street
PERSON	Mrs Allen
PERSON	Catherine
PERSON	Mrs Allen
PERSON	Allen
PERSON	Catherine
PERSON	Mrs Allen
PERSON	Catherine
PERSON	Mrs Allen
PERSON	Allen
PERSON	Mrs Allen
PERSON	Catherine
PERSON	Morland
PERSON	Mrs Allen
PERSON	Catherine
PERSON	Catherine
PERSON	Allen
PERSON	Mrs Allen
PERSON	Catherine
PERSON	Mrs Allen
PERSON	Aye
PERSON	Allen
PERSON	Allen
PERSON	Morland
ORGANIZATION	Parrys
PERSON	George Parry
PERSON	Allen
PERSON	Catherine
PERSON	Mrs Allen
PERSON	Catherine
PERSON	Catherine
PERSON	Catherine
PERSON	Catherine
PERSON	Mrs Allen My dear Catherine
PERSON	Tilney
PERSON	Allen
PERSON	Allen
PERSON	Morland
PERSON	Catherine
PERSON	Mrs Allen
PERSON	Miss Morland
PERSON	Morland
LOCATION	Salisbury
PERSON	Allen
PERSON	Tilney
PERSON	Catherine
PERSON	Catherine
PERSON	Tilney
PERSON	Allen
PERSON	Tilney
LOCATION	Gloucestershire
PERSON	Catherine
PERSON	Tilney
PERSON	Tilney
PERSON	Mrs Allen
PERSON	Mrs Allen
PERSON	Allen
PERSON	Thorpe
PERSON	Mrs Allen
PERSON	Mrs Thorpe
PERSON	Mrs Allen
PERSON	John
ORGANIZATION	Oxford Edward
ORGANIZATION	Merchant Taylors
