type	entity
PERSON	Jane Austen
ORGANIZATION	Project Gutenberg License
PERSON	Jane Austen
PERSON	Austin Dobson Illustrator Hugh Thomson
PERSON	Fritz Ohrenschall
PERSON	Sankar Viswanathan
PERSON	Dashwood
PERSON	JANE AUSTEN
PERSON	DOBSON
PERSON	HUGH THOMSON LONDON MACMILLAN
PERSON	Hugh Thomson
PERSON	Cecilia
PERSON	Madame D Arblay
PERSON	Austen
PERSON	Austen
PERSON	Lyster
PERSON	Cecilia
PERSON	Austen
PERSON	Madame D Arblay
PERSON	Austen
PERSON	Cecilia
PERSON	Richardson
PERSON	Elinor
PERSON	Marianne
PERSON	Cecilia
PERSON	Austen
PERSON	Elinor
PERSON	Marianne
PERSON	Cecilia
PERSON	Austen
PERSON	Elinor
PERSON	Marianne
PERSON	Austen
PERSON	Emma
LOCATION	Mansfield Park
PERSON	Elinor
PERSON	Marianne
PERSON	Austen
PERSON	Elinor
PERSON	Marianne
ORGANIZATION	Northanger Abbey
PERSON	Willoughby
LOCATION	Southampton
PERSON	Cassandra Austen
PERSON	Aunt Jane
LOCATION	London
PERSON	T Egerton
ORGANIZATION	Military Library Whitehall
PERSON	Austen
LOCATION	Chawton Cottage
PERSON	Egerton
PERSON	Austen
LOCATION	Sloane Street
PERSON	Austen Leigh
PERSON	Austen Leigh
LOCATION	Mansfield Park
PERSON	Emma
PERSON	Austen Leigh
PERSON	Austen
PERSON	Bayes
PERSON	Edgeworth
PERSON	Brunton
PERSON	Austen
PERSON	Austen
PERSON	Emma
LOCATION	Mansfield Park
PERSON	Elinor
PERSON	Marianne
PERSON	Elizabeth
PERSON	Jane
PERSON	Jane Bennet
PERSON	Marianne Dashwood Darcy
PERSON	Bingley
PERSON	Edward Ferrars
PERSON	Thomas Hardy
PERSON	Austen
PERSON	Elinor
PERSON	Edward Ferrars
PERSON	Marianne
PERSON	George Eliot
PERSON	Elinor
PERSON	Marianne
PERSON	Jane
PERSON	Eliza Bennet
PERSON	Bennet
PERSON	Catherine de Bourgh
PERSON	Collins
ORGANIZATION	Constantia
PERSON	John Middleton
LOCATION	London
PERSON	Palmer
PERSON	Robert Ferrars
PERSON	John Dashwood Miss Austen
PERSON	Mrs Dashwood
LOCATION	Norland
PERSON	Roger de Coverley
LOCATION	Worcester
LOCATION	Steventon
LOCATION	Norland
LOCATION	Barton Place
LOCATION	Exeter
PERSON	Iddesleigh
LOCATION	Upton Pynes
PERSON	Jennings
LOCATION	Delaford
PERSON	Austen
LOCATION	Hampshire
LOCATION	Devonshire
ORGANIZATION	Canterbury
PERSON	Charlotte Palmer
PERSON	Joseph Andrews
PERSON	Dashwood
PERSON	Mrs Jennings
PERSON	Mrs Jennings Mrs Jennings
PERSON	Mrs Ferrars
PERSON	Ferrars
PERSON	Edward Everything
PERSON	Dashwood
ORGANIZATION	Sussex
LOCATION	Norland Park
PERSON	Henry Dashwood
LOCATION	Norland
PERSON	Mrs Henry Dashwood
PERSON	Henry Dashwood
LOCATION	Norland
PERSON	Dashwood
LOCATION	Norland
PERSON	Dashwood
PERSON	Dashwood
PERSON	John Dashwood
PERSON	John Dashwood
PERSON	John Dashwood
PERSON	John Dashwood
PERSON	Mrs Dashwood
PERSON	John Dashwood
PERSON	Mrs Dashwood
PERSON	Elinor
PERSON	Marianne
PERSON	Elinor
PERSON	Elinor
PERSON	Mrs Dashwood
PERSON	Elinor
PERSON	Margaret
PERSON	Marianne
PERSON	John Dashwood
LOCATION	Norland
ORGANIZATION	Norland
PERSON	Mrs Dashwood
PERSON	John Dashwood
PERSON	Harry
LOCATION	Norland
PERSON	Harry
PERSON	Mrs Dashwood
PERSON	Dashwood
PERSON	Dashwood
PERSON	Dashwood
PERSON	John Dashwood
LOCATION	Norland
PERSON	Stanhill
PERSON	Mrs Dashwood
LOCATION	Norland
LOCATION	Norland
PERSON	Dashwood
PERSON	Mrs Dashwood
ORGANIZATION	Norland
PERSON	John Dashwood
LOCATION	Norland
PERSON	Edward Ferrars
PERSON	Mrs Dashwood
PERSON	Elinor
PERSON	Elinor
PERSON	Edward Ferrars
PERSON	John Dashwood
PERSON	Edward
PERSON	Edward
PERSON	Mrs Dashwood
PERSON	Elinor
PERSON	Fanny
PERSON	Elinor
PERSON	Mrs Dashwood
PERSON	Elinor
PERSON	Elinor
PERSON	Marianne
PERSON	Elinor
PERSON	Mamma
PERSON	Edward
PERSON	Marianne
PERSON	Marianne
PERSON	Edward
PERSON	Elinor
PERSON	Edward
PERSON	Cowper Nay Mamma
PERSON	Cowper
PERSON	Elinor
PERSON	Edward
PERSON	Elinor
PERSON	Marianne
PERSON	Edward
PERSON	Elinor
PERSON	Marianne
PERSON	Elinor
PERSON	Edward
PERSON	Marianne
PERSON	Elinor
PERSON	Marianne
PERSON	Elinor
PERSON	Elinor
PERSON	Marianne
PERSON	Elinor
PERSON	Marianne
PERSON	Elinor
PERSON	Elinor
PERSON	Edward
PERSON	Marianne
PERSON	Marianne
PERSON	Marianne
PERSON	Elinor
PERSON	Fanny
PERSON	Edward
PERSON	Marianne
PERSON	Edward
PERSON	Elinor
PERSON	Edward
PERSON	Marianne
PERSON	Elinor
PERSON	Mrs Ferrars
PERSON	Mrs Dashwood
PERSON	Elinor
LOCATION	Devonshire
PERSON	Barton Park
LOCATION	Barton Cottage
PERSON	Barton
ORGANIZATION	Sussex
