POS	lemma	word
DT	the	The
NN	project	Project
NNP	Gutenberg	Gutenberg
NNP	EBook	EBook
IN	of	of
NNP	Shirley	Shirley
IN	by	by
NNP	Charlotte	Charlotte
NNP	Bront	Bront
DT	this	This
NN	ebook	eBook
VBZ	be	is
IN	for	for
DT	the	the
NN	use	use
IN	of	of
NN	anyone	anyone
RB	anywhere	anywhere
IN	at	at
DT	no	no
NN	cost	cost
CC	and	and
IN	with	with
RB	almost	almost
DT	no	no
NNS	restriction	restrictions
RB	whatsoever	whatsoever
PRP	you	You
MD	may	may
VB	copy	copy
PRP	it	it
VB	give	give
PRP	it	it
RB	away	away
CC	or	or
NNP	re	re
VBP	use	use
PRP	it	it
IN	under	under
DT	the	the
NNS	term	terms
IN	of	of
DT	the	the
NN	project	Project
NNP	Gutenberg	Gutenberg
NN	license	License
VBD	include	included
IN	with	with
DT	this	this
NN	ebook	eBook
CC	or	or
NN	online	online
IN	at	at
NNP	www	www
NNP	gutenberg	gutenberg
JJ	net	net
NN	title	Title
NNP	Shirley	Shirley
NN	author	Author
NNP	Charlotte	Charlotte
NNP	Bront	Bront
NNP	Release	Release
NN	date	Date
NNP	November	November
CD	16	16
CD	2009	2009
NNP	EBook	EBook
CD	30486	30486
JJ	last	Last
VBN	update	updated
NNP	July	July
CD	16	16
CD	2011	2011
NN	language	Language
JJ	english	English
NN	character	Character
NN	set	set
VBG	encode	encoding
NN	utf	UTF
CD	8	8
NN	start	START
IN	of	OF
DT	this	THIS
NN	project	PROJECT
NNP	GUTENBERG	GUTENBERG
NNP	EBOOK	EBOOK
NNP	SHIRLEY	SHIRLEY
VBN	produce	Produced
IN	by	by
NNP	Brenda	Brenda
NNP	Lewis	Lewis
NNP	Fox	Fox
IN	in	in
DT	the	the
NNS	star	Stars
CC	and	and
DT	the	the
NN	online	Online
VBN	distribute	Distributed
VBG	proofread	Proofreading
NNP	Canada	Canada
NN	team	Team
IN	at	at
NNP	http	http
NNP	www	www
NNP	pgdpcanada	pgdpcanada
JJ	net	net
NN	illustration	Illustration
NNP	Moore	Moore
VBD	place	placed
PRP$	he	his
NN	hand	hand
IN	on	on
PRP$	he	his
NN	cousin	cousin
NNS	s	s
VBP	shoulder	shoulder
JJ	stooped	stooped
CC	and	and
VBD	leave	left
DT	a	a
NN	kiss	kiss
IN	on	on
PRP$	she	her
NN	forehead	forehead
NNP	SHIRLEY	SHIRLEY
IN	by	BY
NNP	CHARLOTTE	CHARLOTTE
NNP	BRONT	BRONT
NN	t	T
NNP	Nelson	Nelson
NN	amp	amp
NNS	son	Sons
NNS	contents	CONTENTS
PRP	I	I
JJ	levitical	LEVITICAL
CD	3	3
CD	ii	II
DT	the	THE
NNS	wagon	WAGONS
CD	16	16
CD	iii	III
NN	mr	MR
NNP	YORKE	YORKE
CD	31	31
CD	iv	IV
NN	mr	MR
NNP	YORKE	YORKE
VBD	continue	CONTINUED
CD	40	40
NN	v	V
JJ	hollow	HOLLOW
NNS	s	S
NN	cottage	COTTAGE
CD	51	51
NNP	VI	VI
NNP	CORIOLANUS	CORIOLANUS
CD	66	66
NNP	VII	VII
DT	the	THE
NNS	curate	CURATES
IN	at	AT
NN	tea	TEA
CD	85	85
NNP	VIII	VIII
NNP	NOAH	NOAH
CC	and	AND
NNP	MOSES	MOSES
CD	110	110
