type	entity
PERSON	Nathaniel Hawthorne
PERSON	Owen Warland
PERSON	Peter Hovenden
PERSON	Annie
PERSON	Owen
PERSON	Owen Warland
PERSON	Annie
PERSON	Peter Hovenden
PERSON	Annie
PERSON	Annie Pray don
PERSON	Annie Robert Danforth
PERSON	Peter Hovenden
PERSON	Owen Warland
PERSON	Hovenden
PERSON	Robert Danforth
PERSON	Annie
PERSON	Annie
PERSON	Owen Warland
PERSON	Peter Hovenden
PERSON	Annie
PERSON	Owen
PERSON	Robert Danforth
PERSON	Owen
PERSON	Owen
PERSON	Owen Warland
PERSON	Peter Hovenden
PERSON	Owen
PERSON	Owen
PERSON	Peter Hovenden
PERSON	Owen Warland
PERSON	Owen Warland
PERSON	Owen Warland
PERSON	Annie
PERSON	Annie
PERSON	Annie
PERSON	Peter Hovenden
PERSON	Robert Danforth
PERSON	Owen
PERSON	Robert Danforth
PERSON	Owen Strength
PERSON	Owen
PERSON	Owen Warland
PERSON	Owen
PERSON	Owen
PERSON	Owen Warland
PERSON	Robert Danforth
PERSON	Owen Warland
PERSON	Peter Hovenden
PERSON	Owen
PERSON	Owen Warland
PERSON	Owen
PERSON	Peter Hovenden
PERSON	Owen
PERSON	Annie
PERSON	Owen
PERSON	Owen
PERSON	Owen
PERSON	Peter Hovenden
PERSON	Owen Owen
PERSON	Owen Warland
PERSON	Owen
PERSON	Owen
PERSON	Peter Hovenden
PERSON	Owen
PERSON	Father Time
PERSON	Owen Warland
PERSON	Owen Warland
PERSON	Annie Hovenden
PERSON	Owen
PERSON	Annie
PERSON	Owen
PERSON	Annie
PERSON	Owen Warland
PERSON	Robert Danforth
PERSON	Annie
PERSON	Owen
PERSON	Owen Warland
PERSON	Annie
PERSON	Annie Hovenden
PERSON	Owen
PERSON	Annie
PERSON	Go Annie
PERSON	Annie
PERSON	Annie
PERSON	Owen Warland
PERSON	Annie Hovenden
LOCATION	Providence
PERSON	Owen Warland
PERSON	Owen Warland
PERSON	Owen
PERSON	Owen
PERSON	Owen Warland
PERSON	Owen Warland
PERSON	Paul
PERSON	Owen Warland
PERSON	Peter Hovenden Owen
PERSON	Owen
PERSON	Peter Hovenden
PERSON	Annie
PERSON	Robert Danforth
PERSON	Owen
PERSON	Peter Hovenden
PERSON	Owen Warland
PERSON	Annie
PERSON	Owen
PERSON	Annie
PERSON	Annie Hovenden
PERSON	Annie
PERSON	Annie
PERSON	Owen Warland
PERSON	Owen Warland
PERSON	Albertus Magnus
PERSON	Friar Bacon
LOCATION	Dauphin
LOCATION	France
PERSON	Owen Warland
PERSON	Owen Warland
PERSON	Owen Warland
LOCATION	Providence
LOCATION	Allston
PERSON	Milton
PERSON	Owen Warland
PERSON	Robert Danforth
PERSON	Annie
PERSON	Owen Warland
PERSON	Peter Hovenden
PERSON	Owen
PERSON	Robert Danforth
PERSON	Annie
PERSON	Owen
PERSON	Robert Danforth
LOCATION	Owen
PERSON	Peter Hovenden
PERSON	Annie
PERSON	Owen Warland
PERSON	Annie
PERSON	Annie
PERSON	Annie
PERSON	Annie
PERSON	Annie
PERSON	Owen
PERSON	Annie
PERSON	Owen Warland
PERSON	Annie
PERSON	Annie
PERSON	Owen Warland
PERSON	Annie
PERSON	Annie
PERSON	Robert Danforth
PERSON	Owen
PERSON	Owen Warland
PERSON	Annie
PERSON	Owen
PERSON	Annie
PERSON	Annie
PERSON	Peter Hovenden
PERSON	Owen Warland
PERSON	Father
PERSON	Annie
PERSON	Peter Hovenden
PERSON	Annie
PERSON	Annie
PERSON	Annie
PERSON	Robert Danforth
PERSON	Owen Warland
PERSON	Peter Hovenden
PERSON	Robert Danforth
PERSON	Annie
PERSON	Owen Warland
PERSON	Annie
PERSON	Peter Hovenden
PERSON	Owen Warland
