type	entity
PERSON	Mark Twain
LOCATION	Missouri
LOCATION	Pike County
PERSON	Tom Sawyer
PERSON	Mark Twain
PERSON	Mary Aunt Polly Tom
PERSON	Aunt Polly
PERSON	Mary
PERSON	Douglas
PERSON	Tom
PERSON	Thatcher
PERSON	Douglas
PERSON	Tom Sawyer
PERSON	Moses
PERSON	Moses
PERSON	Watson
PERSON	Watson
PERSON	Don
PERSON	Huckleberry
PERSON	Huckleberry
PERSON	Don
PERSON	Huckleberry
PERSON	Tom Sawyer
PERSON	Watson
PERSON	Tom Sawyer
PERSON	Watson
PERSON	Jim
PERSON	Jim
PERSON	Tom He
PERSON	Jim
PERSON	Tom
PERSON	Tom
PERSON	Jim
PERSON	Tom
PERSON	Jim
PERSON	Tom
PERSON	Tom
PERSON	Tom
PERSON	Jim
PERSON	Tom
PERSON	Tom
PERSON	Jim
PERSON	Jim
PERSON	Jim
PERSON	Jim
LOCATION	New Orleans
PERSON	Jim
PERSON	Jim
PERSON	Jim
PERSON	Jim
PERSON	Jim
PERSON	Jim
PERSON	Tom
PERSON	Jo Harper
PERSON	Ben Rogers
PERSON	Tom
PERSON	Tom
PERSON	Tom
PERSON	Tom Sawyer
PERSON	Tom
PERSON	Tom
PERSON	Tom
PERSON	Ben Rogers
PERSON	Huck Finn
PERSON	Tom Sawyer
PERSON	Watson
PERSON	Huck
PERSON	Ben Rogers
PERSON	Tom
PERSON	Tom Sawyer
PERSON	Don
PERSON	Tom Sawyer
PERSON	Ben Rogers
PERSON	Ben Rogers
PERSON	Don
PERSON	Ben Rogers
PERSON	Tommy Barnes
PERSON	Tom
PERSON	Ben Rogers
PERSON	Tom Sawyer
PERSON	Jo Harper
PERSON	Watson
PERSON	Watson
PERSON	Watson
PERSON	Deacon Winn
PERSON	Watson
PERSON	Watson
LOCATION	Providence
PERSON	Watson
LOCATION	Providence
PERSON	Watson
PERSON	Tom Sawyer
PERSON	Tom
PERSON	Ben Rogers
PERSON	Jo Harper
PERSON	Tom Sawyer
PERSON	Tom Sawyer
PERSON	Jack Robinson
LOCATION	China
LOCATION	Jericho
PERSON	Tom Sawyer
PERSON	Watson
PERSON	Huckleberry
PERSON	Thatcher
PERSON	Don
PERSON	Watson
PERSON	Jim
PERSON	Jim
PERSON	Jim
PERSON	Jim
PERSON	Jim
PERSON	Jim
PERSON	Jim
PERSON	Jim
PERSON	Dey
PERSON	Dey
PERSON	Don
ORGANIZATION	General Washington
PERSON	Thatcher
PERSON	Thatcher
PERSON	Thatcher
PERSON	Thatcher
PERSON	Thatcher
PERSON	Thatcher
PERSON	Cain
PERSON	Cain
PERSON	Huck Finn
LOCATION	Illinois
PERSON	Watson
PERSON	Pap
ORGANIZATION	Pap
PERSON	Thatcher
PERSON	Adam
PERSON	Thatcher
PERSON	Thatcher
LOCATION	Ohio
ORGANIZATION	State
ORGANIZATION	State
ORGANIZATION	State
PERSON	Pap
PERSON	Sowberry Hagan
PERSON	Huck
PERSON	Don
PERSON	Tom Sawyer
PERSON	Tom Sawyer
PERSON	Jackson
PERSON	Jackson
PERSON	Jackson
LOCATION	Island
LOCATION	Illinois
LOCATION	Illinois
PERSON	Thatcher
PERSON	Bessie Thatcher
PERSON	Jo Harper
PERSON	Tom Sawyer
PERSON	Aunt Polly
PERSON	Sid
PERSON	Mary
LOCATION	Missouri
LOCATION	Missouri
LOCATION	Illinois
PERSON	Watson
PERSON	Jim
