type	entity
LOCATION	NEW YORK
ORGANIZATION	TIMESMAY
PERSON	Toni Morrison
PERSON	Philip Roth Cormac McCarthy John Updike
PERSON	Don DeLillo Credit From
PERSON	Sara Krulwich
PERSON	Derek Shapton
PERSON	Sara Krulwich
ORGANIZATION	Associated Press Don Hogan Charles The New York Times
ORGANIZATION	New York Times Site Index Navigation News World U S Politics N Y Business Tech Science Health Sports Education Obituaries Today
ORGANIZATION	C Events Guide Television Theater Video Arts Living Automobiles Crossword Food Education Fashion amp Style Health Jobs Magazine N Y C Events Guide Real Estate T Magazine Travel Weddings amp Celebrations Listings amp More Reader Center Classifieds Tools amp Services N Y C Events Guide Multimedia
ORGANIZATION	New York Times Company Home
