type	entity
ORGANIZATION	Library Items Search for Lists Search for Contacts Search
PERSON	Norton
PERSON	Ilan Stavans Edna Acosta Bele
ORGANIZATION	Publisher New York W W Norton amp Co
PERSON	Norton
PERSON	Norton
PERSON	Ilan Stavans Edna Acosta Bele
ORGANIZATION	Publisher New York W W Norton
PERSON	Ilan Stavans
PERSON	Jose Marti William Carlos Williams Julia Alvarez Oscar Hijuelos Cristina Garcia Piri Thomas Esmeralda Santiago
PERSON	Junot Diaz
ORGANIZATION	Norton Anthology of Latino Literature
LOCATION	America
PERSON	Ilan Stavans Edna Acosta Bele
PERSON	Ilan Stavans Edna Acosta Bele
LOCATION	Florida
PERSON	Alvar Nunez Cabeza de Vaca
PERSON	Narvaez
LOCATION	Spain
LOCATION	Xagua
LOCATION	Florida
ORGANIZATION	Indians
PERSON	Marcos de Niza
PERSON	Marcos de Niza Hernando de Soto
PERSON	Hernando de Soto
LOCATION	Tampa Bay
LOCATION	Santiago
LOCATION	Cuba
PERSON	Pedro Castaneda de Najera
ORGANIZATION	Coronado Of
LOCATION	Culiacan
LOCATION	Cibola
LOCATION	Senora
PERSON	Tiguex
ORGANIZATION	Borinquenos El Inca Garcilaso de La Vega
LOCATION	Florida
LOCATION	Cofachiqui
PERSON	Sebastian Vizcaino
PERSON	Sebastian Vizcaino
LOCATION	Port of San Diego
LOCATION	Port of San Diego
LOCATION	Santa Catalina Juan
PERSON	Don Juan de Onate
LOCATION	New Mexico
LOCATION	Monterey
LOCATION	Buffalo
PERSON	Juan Gutierrez Bocanegra Onate
PERSON	Gaspar Perez de Villagra
ORGANIZATION	New Mexico Canto
ORGANIZATION	Eusebio Francisco Kino
ORGANIZATION	Pimeria Alta Book
LOCATION	California
LOCATION	California Royal
LOCATION	Sonora
PERSON	Manuel Gonzales
LOCATION	San Ygnacio de Caborica San Joseph de Los Himiris
ORGANIZATION	Nuestra Senora de Los Remedios First
PERSON	Juan Maria Salvatierra
LOCATION	California
LOCATION	Rio Grande
PERSON	Franciso Xavier Saeta
LOCATION	San Pedro
ORGANIZATION	Tubutama Happy
PERSON	Francisco Xavier Saeta
PERSON	Garrison
LOCATION	Sonora
PERSON	Garrison
PERSON	Junipero Serra
PERSON	Juan Andres Letter
PERSON	Francisco Carlos
PERSON	Francisco Palou Juan Bautista
PERSON	de Anza
PERSON	Felix Varela
PERSON	Elpidio
LOCATION	United States
PERSON	Eulalia Perez
PERSON	Antonio Maria Osio
LOCATION	Alta California
PERSON	Gaspar Betancourt Cisneros
PERSON	Lugareno Jose Maria Heredia
ORGANIZATION	Niagara Frontier
PERSON	John N Seguin
PERSON	Jose Policarpo Rodriguez
PERSON	Andrew Garcia
PERSON	John Hays
ORGANIZATION	Jaro
PERSON	Jose Romulo Ribera
PERSON	Luis A Torres
PERSON	Luis Tafoya
LOCATION	New Mexico
PERSON	Maria Amparo Ruiz de Burton
PERSON	Don Squatter Darrell
PERSON	Don
ORGANIZATION	Guadalupe Hidalgo Eugenio Maria de Hostos
PERSON	Lola Rodriguez
LOCATION	Borinquen Cuba Cuba
LOCATION	Puerto Rico Sotero Figueroa
ORGANIZATION	Revolutionary Party
PERSON	Jose Marti
LOCATION	Coney Island Love
LOCATION	Charleston
PERSON	Manuel M Salazar
PERSON	Luis Munoz Rivera
ORGANIZATION	House of Representatives
PERSON	Miguel Antonio Otero
LOCATION	New Mexico
PERSON	Francisco Gonzalo Pachin Marin
LOCATION	New York
PERSON	Jose Escobar
LOCATION	New Mexico
PERSON	Julio G Arce
PERSON	Jorge Ulica
PERSON	Chacon
PERSON	Eusebio Chacon
PERSON	Felipe Maximiliano Chacon
PERSON	Senora Adelina Otero Warren Don Julio Berlanga Isidoro Armijo
PERSON	Leonor Villegas
PERSON	Cleofas
PERSON	Daniel Venegas
PERSON	Don Chipote
PERSON	Adelina Nina Otero Warren
LOCATION	Spain
PERSON	Hacienda William Carlos Williams
ORGANIZATION	Libertad Igualdad Fraternidad
PERSON	Bernardo Vega
LOCATION	United States
PERSON	Bernardo Vega
LOCATION	Cayey
LOCATION	San Juan
LOCATION	New York
PERSON	Vicente J Bernal
PERSON	Elvira
PERSON	Pedro Albizu Campos
PERSON	Maria Cristina Mena
PERSON	Fabiola Cabeza de Baca Gilbert
LOCATION	San Hilario Luis Munoz Marin
ORGANIZATION	Porto Rico Speech
LOCATION	New York
LOCATION	United States
PERSON	Felipe Alfau
PERSON	Jose Davila Semprit
LOCATION	United States
LOCATION	Manhattan
PERSON	Jovita Gonzalez de Mireles
PERSON	Luis Leal
LOCATION	New Mexico
PERSON	Hunchback Madonna Josefina Niggli
PERSON	Julia de Burgos
PERSON	Julia de Burgos
LOCATION	Pentachrome Rio Grande de Loiza Song
LOCATION	America
