type	entity
LOCATION	United States
LOCATION	United States
LOCATION	United States
LOCATION	United States
ORGANIZATION	Valencia
LOCATION	United States
LOCATION	United States
LOCATION	United States
LOCATION	Captivity
LOCATION	United States
PERSON	Francis Grierson
LOCATION	United States
ORGANIZATION	Du Bois Media
LOCATION	United States
ORGANIZATION	KB ATentInAgony Crane
PERSON	Stephen Crane
ORGANIZATION	Der Internationale Jude
ORGANIZATION	Der Internationale Jude
PERSON	Gerst
PERSON	Gerst
PERSON	GreatMistake Crane
PERSON	Henry Ford Der
ORGANIZATION	Jude Band
ORGANIZATION	Titel jpg Henry Ford Der internationale Jude Band
PERSON	John
PERSON	John
PERSON	John Sartain
PERSON	John Martin
PERSON	John Sartain
PERSON	John Martin The Island of the Fay
PERSON	Kerouac
PERSON	Kerouac
PERSON	Morgan Robertson
ORGANIZATION	Morgan Robertson
PERSON	Jan Clausen
PERSON	Jan Clausen
PERSON	Quill
LOCATION	US
PERSON	Quill
LOCATION	US
PERSON	Schiel
PERSON	Schiel
ORGANIZATION	KB
PERSON	Stover
ORGANIZATION	Yale
PERSON	Stover
ORGANIZATION	Yale
LOCATION	Sud Shannara
PERSON	Carl Van Doren
PERSON	Carl Van Doren
ORGANIZATION	Cambridge History of American Literature
ORGANIZATION	Cambridge History of American Literature
PERSON	Thomas Willis White
PERSON	Thomas Willis White
ORGANIZATION	Vanessa Place JPG Vanessa Place JPG
LOCATION	United States
ORGANIZATION	Wikipedia Alemannisch Aragon
ORGANIZATION	Cymraeg Dansk Deutsch English Esperanto Espa
ORGANIZATION	Hrvatski Magyar Interlingua Bahasa Indonesia Italiano Basa Jawa Latina
PERSON	Mirand
LOCATION	Nederlands Norsk
LOCATION	Norsk Occitan Polski Piemont
ORGANIZATION	Svenska Kiswahili
ORGANIZATION	Wikimedia Foundation
PERSON	MediaWiki
