type	entity
ORGANIZATION	Digital Humanities Concepts Methods
ORGANIZATION	Cultural Analytics 7A Network Analysis 8A GIS Analysis
ORGANIZATION	Omeka Managing Data Data Visualization Tableau Public Cytoscape Text Analysis ManyEyes Voyant
ORGANIZATION	CSS
ORGANIZATION	Abbot Kinney Blvd Case Study Baltimore
ORGANIZATION	Pitfalls of Data Visualization
ORGANIZATION	Introduction to Digital Humanities
ORGANIZATION	UCLA
PERSON	Johanna Drucker
PERSON	David Kim
PERSON	Johanna Drucker
ORGANIZATION	Concepts amp Readings 1A Introduction
ORGANIZATION	Cultural Analytics 7A Network Analysis 8A GIS Analysis
ORGANIZATION	CSS Managing Data Maps amp Timelines GeoCommons Neatline Text Analysis ManyEyes Voyant
PERSON	Abbot Kinney
ORGANIZATION	Pitfalls of Data Visualization
