type	entity
ORGANIZATION	Magazine Archive Subscribe Newsletter About Us Advertise Login Register Twitter Facebook YouTube Google
PERSON	Brian Hayes
ORGANIZATION	Communications Computer Technology Facebook Twitter LinkedIn Google
ORGANIZATION	Harvard
ORGANIZATION	Google
ORGANIZATION	Google
ORGANIZATION	Google
ORGANIZATION	Google Books
ORGANIZATION	Google
PERSON	Jean Baptiste Michel
PERSON	Erez Lieberman Aiden
ORGANIZATION	Harvard
ORGANIZATION	Google Books OCR
ORGANIZATION	Google
ORGANIZATION	Google Books
PERSON	Gutenberg Michel
PERSON	Aiden
PERSON	Peter Norvig
PERSON	Jon Orwant
ORGANIZATION	Google
ORGANIZATION	Harvard Google
ORGANIZATION	Google Books
ORGANIZATION	OCR
PERSON	Michel
PERSON	Aiden
PERSON	Michel Aiden
ORGANIZATION	Harvard Google
ORGANIZATION	Google Books Ngram Viewer
PERSON	Michel
PERSON	Aiden
PERSON	Michel
PERSON	Aiden
PERSON	Marc Chagall
LOCATION	China Russia
LOCATION	United States
ORGANIZATION	Hollywood
PERSON	Michel
PERSON	Aiden
ORGANIZATION	Nazi
PERSON	Hitler
ORGANIZATION	Google
PERSON	Brian Hayes
ORGANIZATION	Google Books Since the Google OCR
PERSON	Brian Hayes
ORGANIZATION	OCR
ORGANIZATION	OCR
ORGANIZATION	OCR
PERSON	Benford
PERSON	Benford
PERSON	Benford
PERSON	Benford
PERSON	Brian Hayes
PERSON	Benford
PERSON	Michel
PERSON	Aiden
ORGANIZATION	OCR
PERSON	Brian Hayes
ORGANIZATION	OCR
ORGANIZATION	OCR
ORGANIZATION	OCR
ORGANIZATION	OCR
ORGANIZATION	OCR
ORGANIZATION	OCR
ORGANIZATION	OCR
ORGANIZATION	OCR
ORGANIZATION	Harvard Google
ORGANIZATION	OCR
ORGANIZATION	Google
ORGANIZATION	Harvard Google
PERSON	Brian Hayes
PERSON	Abello James Panos M Pardalos
PERSON	Mauricio G C Resende
ORGANIZATION	Dordrecht Kluwer Academic Publishers Michel
PERSON	Jean Baptiste Yuan Kui Shen Aviva Presser Aiden Adrian Veres Matthew K Gray
ORGANIZATION	Google Books Team Joseph
PERSON	Pickett Dale Hoiberg Dan Clancy Peter Norvig Jon Orwant Steven Pinker Martin A Nowak
PERSON	Erez Lieberman Aiden
PERSON	Toby Segaran
PERSON	Jeff Hammerbacher
ORGANIZATION	Sebastopol Calif O Reilly Smith Ray
ORGANIZATION	Ninth International Conference on Document Analysis and Recognition ICDAR
LOCATION	New York
PERSON	Vitter Jeffrey Scott
ORGANIZATION	AMSCI ICON NAVIGATION Navigation Menu Search Help
ORGANIZATION	Twitter Facebook YouTube Google
