type	entity
ORGANIZATION	King s College London
PERSON	John Unsworth
PERSON	Aristotle
ORGANIZATION	Stanford Encyclopedia of Philosophy
ORGANIZATION	King s College
LOCATION	US UK
ORGANIZATION	National Endowment for the Humanities
ORGANIZATION	IATH
ORGANIZATION	Unicode
ORGANIZATION	Unicode
PERSON	Blake
ORGANIZATION	NEH
ORGANIZATION	Blake Archive
ORGANIZATION	IATH
ORGANIZATION	Blake Archive
ORGANIZATION	Rossetti Archive
LOCATION	Inote
ORGANIZATION	Blake Archive
ORGANIZATION	CD of America Copy A Plate
PERSON	Blake
PERSON	Blake
PERSON	Inote
PERSON	Blake
PERSON	Deborah Parker
PERSON	Dante
ORGANIZATION	TEI
ORGANIZATION	NEH
ORGANIZATION	Google
ORGANIZATION	Google
ORGANIZATION	Human Genome Project
ORGANIZATION	Google
ORGANIZATION	Google
ORGANIZATION	Google
ORGANIZATION	Department of Energy
ORGANIZATION	Human Genome Project My
ORGANIZATION	Humanities Genres Project for Human Genome Project
ORGANIZATION	Human Genome Project
ORGANIZATION	HGP
ORGANIZATION	ABI
ORGANIZATION	HGP
ORGANIZATION	NHGRI
PERSON	OBER
ORGANIZATION	Humanities Genres Project
ORGANIZATION	HGP
ORGANIZATION	Humanities Genres Project
ORGANIZATION	NHGRI
PERSON	OBER
