type	entity
PERSON	Lev Manovich
LOCATION	Japan Korea
LOCATION	China
PERSON	Naruto
ORGANIZATION	U S National Department of Energy Research Center
ORGANIZATION	Anatolia Story Detail See
PERSON	Jeremy Douglass William Huber Lev Manovich Tara Zepel
PERSON	Jeremy Douglass William Huber Lev Manovich
PERSON	Jeremy Douglass Lev Manovich Tara Zepel
PERSON	David Berry
ORGANIZATION	Understanding Digital Humanities
PERSON	Lookah
ORGANIZATION	EC
PERSON	Bruce Sterling
LOCATION	Japan
LOCATION	Singapore
LOCATION	Malaysia
ORGANIZATION	National Department of Energy Research Center NERSC
ORGANIZATION	NEH Digital Humanities Office
ORGANIZATION	Style Space Analysis and Visualization
ORGANIZATION	Software Studies Initiative Flickr Daniel H Pink Japan
