type	entity
PERSON	Alan Liu
ORGANIZATION	Digital Humanities Original
ORGANIZATION	Digital Humanities Modern Language Association
ORGANIZATION	Los Angeles
ORGANIZATION	Digital Humanities ed Matthew K Gold Minneapolis University of Minnesota Press
ORGANIZATION	International Digital Humanities Community
ORGANIZATION	U S Canada U K
LOCATION	Australia
LOCATION	United Kingdom
ORGANIZATION	Digital Humanities
PERSON	Lisa Samuels
PERSON	Jerome McGann
ORGANIZATION	Computer Professionals for Social Responsibility CPSR
PERSON	Franco Moretti
PERSON	Matthew Jockers
ORGANIZATION	Google
PERSON	Moretti
PERSON	Pascale Casanova
ORGANIZATION	Casanova
PERSON	Immanuel Wallerstein
PERSON	Moretti Casanova
ORGANIZATION	Google
ORGANIZATION	Google
PERSON	Jeremy Douglass
ORGANIZATION	UC San Diego Software Studies Program
PERSON	Obama
ORGANIZATION	National Academy of Engineering the Gates Foundation
ORGANIZATION	UC Santa Barbara
PERSON	Alan Liu
ORGANIZATION	Center for Information Technology amp Society Center for Information Technology amp Society
ORGANIZATION	Media Arts amp Technology MAT Media Arts amp Technology Categories Upcoming Talks
ORGANIZATION	Digital Humanities
ORGANIZATION	Goodies Early Digital Work
PERSON	Alan Liu
ORGANIZATION	WordPress Redbud
PERSON	Alan Liu
