type	entity
ORGANIZATION	LG
ORGANIZATION	Maryland Institute for Technology in the Humanities
LOCATION	Maryland
LOCATION	College Park Maryland
PERSON	Cynthia Selfe
PERSON	Willard McCarty
PERSON	John Unsworth
PERSON	Patrik Svensson
PERSON	Cynthia Selfe
ORGANIZATION	Digital humanities Organizations
ORGANIZATION	Digital
ORGANIZATION	Blackwell s Companion to Digital Humanities There
ORGANIZATION	Digital
ORGANIZATION	University of Illinois Press There
ORGANIZATION	Digital Humanities Quarterly
ORGANIZATION	Canadian Society for Digital humanities Soci
ORGANIZATION	Interactifs The University of Victoria
ORGANIZATION	Digital
ORGANIZATION	Digital
PERSON	Matthew G Kirschenbaum
ORGANIZATION	Association of Departments of En
ORGANIZATION	Modern Language Association
ORGANIZATION	Association of Departments of En
ORGANIZATION	LG
ORGANIZATION	Digital Humanities
PERSON	Matthew G Kirschenbaum
ORGANIZATION	Facebook
ORGANIZATION	Google
ORGANIZATION	Google
ORGANIZATION	Wikipe
ORGANIZATION	St
PERSON	Sinclair
ORGANIZATION	Digital
ORGANIZATION	University of Maryland
LOCATION	Maryland
PERSON	Shakespeare
LOCATION	United Kingdom
ORGANIZATION	NEh
ORGANIZATION	Library of Congress
LOCATION	Orlando
PERSON	John Unsworth
ORGANIZATION	Institute
ORGANIZATION	University of Virginia
ORGANIZATION	Graduate School of Library
ORGANIZATION	University of Illinois
PERSON	McNeillie
ORGANIZATION	Blackwell Companion to Digital Hu
ORGANIZATION	LG
ORGANIZATION	Digital Humanities
PERSON	Matthew G Kirschenbaum
PERSON	Ray Siemens
ORGANIZATION	Blackwell
ORGANIZATION	Companion to Digitized humanities
ORGANIZATION	Digital
PERSON	Blackwell
ORGANIZATION	Digital
PERSON	Unsworth
PERSON	Blackwell
ORGANIZATION	Digital humanities Organizations
ORGANIZATION	Digital
PERSON	Bruce Cole
PERSON	Brett Bobley
PERSON	Bobley
ORGANIZATION	NEh
ORGANIZATION	Digital
ORGANIZATION	Digital
PERSON	Julia Flanders
ORGANIZATION	Digital Humanities Quarterly
ORGANIZATION	Digital
ORGANIZATION	Office of Digital
PERSON	Burns
ORGANIZATION	LG
ORGANIZATION	Digital Humanities
PERSON	Matthew G Kirschenbaum
LOCATION	United States
LOCATION	Birmingham
ORGANIZATION	Yale
ORGANIZATION	Digital
ORGANIZATION	University of alberta
ORGANIZATION	Digital
ORGANIZATION	Digital
LOCATION	Philadelphia
PERSON	William Pannapacker
PERSON	Pannapacker
PERSON	Thomas Benton
PERSON	Jennifer
ORGANIZATION	Chronicle
ORGANIZATION	Twitter Twitter
ORGANIZATION	Twitter
ORGANIZATION	Facebook Twitter
ORGANIZATION	LG
ORGANIZATION	Digital Humanities
PERSON	Matthew G Kirschenbaum
ORGANIZATION	Digital
PERSON	Jennifer
ORGANIZATION	Chronicle
ORGANIZATION	Twitter
PERSON	Rosemary G Feal
ORGANIZATION	Dhers Feal
ORGANIZATION	Twitter
ORGANIZATION	Digital
PERSON	Brian Croxall
ORGANIZATION	Emory
PERSON	MLa Croxall
LOCATION	Philadelphia
PERSON	Croxall
ORGANIZATION	LG
ORGANIZATION	Digital Humanities
PERSON	Matthew G Kirschenbaum
PERSON	Jerome McGann
PERSON	Rossetti
PERSON	Stuart
ORGANIZATION	Sony Walkman
ORGANIZATION	Google Books
PERSON	Franco Moretti
ORGANIZATION	Digital
PERSON	Fitzpatrick
ORGANIZATION	LG
ORGANIZATION	Digital Humanities
PERSON	Matthew G Kirschenbaum
ORGANIZATION	Digital
ORGANIZATION	Digital
ORGANIZATION	Wikipedia Wikimedia
PERSON	Jennifer
ORGANIZATION	Chronicle of Higher Education Chronicle
ORGANIZATION	Educ
ORGANIZATION	McCarty Willard Humanities Computing New York Palgrave
ORGANIZATION	Digital humanities Chronicle of Higher Education Chron
ORGANIZATION	Educ
ORGANIZATION	Svensson Patrik humanities Computing as Digital humanities Digital Humanities Quarterly
ORGANIZATION	Digital humanities Digital Humanities Quarterly
PERSON	John Message
