type	entity
ORGANIZATION	Programs Long Programs Workshops Public Lectures Special Events and Conferences Student Research Programs
ORGANIZATION	Videos News News Research Articles Reports Interviews Press
ORGANIZATION	Advisory Board Board of Trustees Your Visit Child Care
ORGANIZATION	Programs Long Programs Workshops Public Lectures Special Events and Conferences Student Research Programs
ORGANIZATION	Videos News News Research Articles Reports Interviews Press
ORGANIZATION	Advisory Board Board of Trustees Your Visit Child Care
ORGANIZATION	UCLA Diversity NSF Grants Donate Frontiers Society Corporate Giving Donate Now Contact Us Long Programs Programs gt Long Programs gt Culture Analytics Culture Analytics
ORGANIZATION	Organizing Committee Tina Eliassi Rad Rutgers University Computer Science Mauro Maggioni Duke University Mathematics and Computer Science Lev Manovich The Graduate Center CUNY Computer Science Vwani Roychowdhury University of California Los Angeles UCLA Electrical Engineering Timothy Tangherlini University of California Los Angeles UCLA Germanic Languages and Literatures Scandinavian Section Programs Long Programs Workshops Public Lectures Summer Schools Special Events and Conferences Student Research Programs
ORGANIZATION	Program News amp Research News Interviews Research Articles
ORGANIZATION	Advisory Board Board of Trustees About IPAM Today
