type	entity
ORGANIZATION	National Endowment for the Humanities logo Secondary Menu Events Humanities Magazine Staff Directory Search
ORGANIZATION	YouTube Twitter Facebook
ORGANIZATION	Newsroom NEH
ORGANIZATION	National Endowment for the Humanities NEH
LOCATION	Canada
LOCATION	Netherlands
LOCATION	United Kingdom
LOCATION	United States
ORGANIZATION	NEH
LOCATION	Europe
LOCATION	North America
ORGANIZATION	the Arts amp Humanities Research Council United Kingdom the Economic amp Social Research Council United Kingdom the Institute of Museum and Library Services United States the Joint Information Systems Committee United Kingdom the National Endowment for the Humanities United States the National Science Foundation United States the Netherlands Organisation for Scientific Research Netherlands
ORGANIZATION	Social Sciences and Humanities Research Council of Canada Canada
ORGANIZATION	National Endowment for the Humanities
ORGANIZATION	Social Science Research Principal Investigators Cassidy R
PERSON	Sugimoto Ying Ding Sta
ORGANIZATION	Milojevi Indiana University Bloomington NSF Mike Thelwall University of Wolverhampton AHRC
PERSON	Vincent Larivi
ORGANIZATION	ChartEx Principal Investigators Robert C Stacey University of Washington IMLS Arno Knobbe Leiden University NWO Sarah Rees Jones University of York AHRC ESRC JISC Michael Gervers University of Toronto
ORGANIZATION	University of Brighton Columbia University This project
ORGANIZATION	European Library Office NWO
ORGANIZATION	Open University AHRC
PERSON	Colin Allen
PERSON	Katy
ORGANIZATION	Indiana University Bloomington NEH Andrew Ravenscroft University of East London Chris Reed University of Dundee
ORGANIZATION	David Bourget University of London AHRC
PERSON	Ben Miller
ORGANIZATION	Georgia State University NSF Lu Xiao University of Western Ontario
ORGANIZATION	University of North Florida
ORGANIZATION	Metadata Enhancing Social Science and Humanities Research Principal Investigators Mick Khoo Drexel University IMLS Diana Massam University of Manchester AHRC
ORGANIZATION	University of Glamorgan
PERSON	Michael Scott Cuthbert
ORGANIZATION	Massachusetts Institute of Technology NEH Frauke J rgensen University of Aberdeen
ORGANIZATION	McGill University
ORGANIZATION	Yale University
PERSON	Edward T Ewing Bernice L Hausman Bruce Pencek
ORGANIZATION	Narendran Ramakrishnan Virginia Polytechnic Institute amp State University NEH Gunther Eysenbach University of Toronto SSHRC
LOCATION	America
LOCATION	United States
ORGANIZATION	Library of Congress
ORGANIZATION	University of Alberta Library
ORGANIZATION	Corpora Principal Investigators Katharine Coles University of Utah NEH Min Chen University of Oxford AHRC
ORGANIZATION	IMPACT Radiological Mummy Database Principal Investigators Randall Thompson Saint Luke s Mid America Heart Institute NEH Andrew Nelson University of Western Ontario
ORGANIZATION	Al Azhar Medical School Cairo Quinnipiac University Canadian Museum of Civilization University of Southern California University of California San Diego Mount Sinai School of Medicine South Coast Radiological Medical Group Newport Diagnostic Center University of California Irvine Wisconsin Heart Hospital
LOCATION	US
ORGANIZATION	IMPACT Ancient Health Research Group
ORGANIZATION	Integrated Social History Environment for Research ISHER
ORGANIZATION	Social Unrest Principal Investigators Dan Roth University of Illinois Urbana Champaign NSF Antal van den Bosch Tilburg University NWO Sophia Ananiadou The University of Manchester AHRC
ORGANIZATION	International Institute of Social History This project
ORGANIZATION	Integrating Data Mining and Data Management Technologies for Scholarly Inquiry Principal Investigators Ray R Larson University of California Berkeley
ORGANIZATION	Richard Marciano University of North Carolina
ORGANIZATION	Chapel Hill IMLS Paul B Watry University of Liverpool AHRC
ORGANIZATION	Microdata Economic Opportunity
LOCATION	Britain Canada
LOCATION	United States
