type	entity
ORGANIZATION	New York Times
ORGANIZATION	Books Humanities
ORGANIZATION	PATRICIA COHENDEC
ORGANIZATION	Google
PERSON	Mickey Mouse
PERSON	Marilyn Monroe
PERSON	Jimmy Carter
LOCATION	Tiananmen Square
PERSON	Erez Lieberman Aiden
ORGANIZATION	Harvard
PERSON	Lieberman Aiden
PERSON	Jean Baptiste Michel
ORGANIZATION	Harvard
ORGANIZATION	Google
PERSON	Lieberman Aiden
PERSON	Jean Baptiste Michel
PERSON	Erez Lieberman
ORGANIZATION	Credit Kris Snibbe Harvard University
PERSON	Steven Pinker
ORGANIZATION	Harvard
PERSON	Pinker
ORGANIZATION	New York Times
ORGANIZATION	New York Times
PERSON	Pinker
PERSON	Louis Menand
ORGANIZATION	Harvard
PERSON	Menand
PERSON	Alan Brinkley
ORGANIZATION	Columbia
ORGANIZATION	New York Times Aware
PERSON	Michel
PERSON	Lieberman Aiden
PERSON	Lieberman Aiden
PERSON	Michel
PERSON	Lieberman Aiden
ORGANIZATION	Google Books
ORGANIZATION	Anglo Saxon
PERSON	Lieberman Aiden
PERSON	Mary
ORGANIZATION	Google
PERSON	Peter Norvig
ORGANIZATION	Google
ORGANIZATION	Google
PERSON	Michel
ORGANIZATION	Google
ORGANIZATION	Google
ORGANIZATION	Google
PERSON	Michel
LOCATION	New York
ORGANIZATION	DEC
ORGANIZATION	New York Times Site Index Navigation News World U S Politics N Y Business Tech Science Health Sports Education Obituaries Today
ORGANIZATION	C Events Guide Television Theater Video Arts Living Automobiles Crossword Food Education Fashion amp Style Health Jobs Magazine N Y C Events Guide Real Estate T Magazine Travel Weddings amp Celebrations Listings amp More Reader Center Classifieds Tools amp Services N Y C Events Guide Multimedia
ORGANIZATION	New York Times Company Home
