type	entity
ORGANIZATION	University of Utah
PERSON	Poemage
PERSON	McCurdy J Lein K Coles
ORGANIZATION	Wester Humanities Review
PERSON	Lein
ORGANIZATION	Wester Humanities Review
PERSON	McCurdy V Srikumar
PERSON	McCurdy
LOCATION	New York
PERSON	McCurdy
ORGANIZATION	Digital Humanities Utah Valley University Orem UT
PERSON	Coles
PERSON	McCurdy
ORGANIZATION	Sustaining Collaborative Research
PERSON	Coles
ORGANIZATION	Care About Data Data Driven Research
ORGANIZATION	Social Sciences and Humanities Increasing Research Potential
LOCATION	Glasgow UK
ORGANIZATION	Machine Melbourne
ORGANIZATION	Machine Canberra
PERSON	McCurdy J Gonnering Lein
LOCATION	Chicago
PERSON	McCurdy
LOCATION	Chicago
LOCATION	Minneapolis
PERSON	McCurdy
LOCATION	San Francisco
ORGANIZATION	J Lein Digital Humanities
PERSON	Dickinson
ORGANIZATION	Dickinson Flash Talks Modern Language Association Vancouver BC
PERSON	Coles
PERSON	J Lein
LOCATION	Chicago
ORGANIZATION	The Team Nina McCurdy Doctoral Student School of Computing University of Utah Julie Gonnering Lein Postdoctoral Fellow Department of English University of Utah Katharine Coles Professor
ORGANIZATION	Creative Writing Department of English University of Utah Miriah Meyer Assistant Professor School of Computing University of Utah This
ORGANIZATION	NSF
ORGANIZATION	NEH
