type	entity
ORGANIZATION	Library Items Search for Lists Search for Contacts Search
LOCATION	Washington
ORGANIZATION	Proceedings Author National Academy of Sciences U S Publisher Washington Edition Format
ORGANIZATION	Journal
ORGANIZATION	Details Document Type Journal Magazine Newspaper All Authors Contributors National Academy of Sciences U S ISSN
ORGANIZATION	National Academy of Sciences of the United States of America Description
ORGANIZATION	National Academy of Sciences of the United States of America Reviews User
ORGANIZATION	Science Societies etc Confirm
ORGANIZATION	Linked Data Primary Entity
LOCATION	Washington
ORGANIZATION	National Academy of Sciences
LOCATION	United States of America
ORGANIZATION	National Academy of Sciences U S
ORGANIZATION	National Academy of Sciences U S
ORGANIZATION	National Academy of Sciences U S
LOCATION	Washington
LOCATION	Washington
ORGANIZATION	National Academy of Sciences U S Washington
LOCATION	Italiano Nederlands Portugu
