type	entity
ORGANIZATION	Voice of Customers
PERSON	Kristof Coussement
PERSON	Dirk Van
ORGANIZATION	Faculty of Economics and Business Administration Ghent University
LOCATION	Belgium
ORGANIZATION	Ghent University Faculty of Economics and Business Administration
ORGANIZATION	Faculty of Economics and Business Administration Ghent University
LOCATION	Belgium
ORGANIZATION	Ghent University Faculty of Economics and Business Administration Contact
PERSON	Nathalie Verhaeghe
ORGANIZATION	University School of Business Page
