type	entity
ORGANIZATION	CMS
ORGANIZATION	Information Retrieval IR
PERSON	Clustezer Clustezer
PERSON	Andrea Torti
ORGANIZATION	Evaluation Michael Brinkhuis University of Twente
LOCATION	Netherlands Orizzonti
ORGANIZATION	Sorrentino Fortunato Pettenati M Chiara Firenze University Press
ORGANIZATION	Journal of the Association for Information Science and Technology
PERSON	Fons Wijnhoven Universiteit Twente Tutte
ORGANIZATION	Top Keywords National Centre for Text Mining UK Text Mining Visualization and Social Media
PERSON	Cavone
