type	entity
ORGANIZATION	Pinsent Masons
ORGANIZATION	Pinsent Masons
LOCATION	Development Town
ORGANIZATION	Litigation amp International Arbitration All Litigation amp International Arbitration Court
ORGANIZATION	Settlement Enforcement Negligence Economic
ORGANIZATION	Pensions All Pensions General
ORGANIZATION	EU
ORGANIZATION	EU
ORGANIZATION	EU
LOCATION	UK
ORGANIZATION	Public procurement State aid Regulatory All Regulatory Health
ORGANIZATION	Tax All Tax Corporate tax Share
ORGANIZATION	Property tax Tax Disputes and Investigations International
ORGANIZATION	Construction Advisory amp Disputes All Construction Advisory amp Disputes International
ORGANIZATION	Banking amp Restructuring All Banking amp Restructuring Banking Restructuring Financial
ORGANIZATION	Sickness Recruitment Immigration Employment
ORGANIZATION	Retail Distribution Review Reinsurance Insurance
LOCATION	EU
ORGANIZATION	Supply chain management Advertising
ORGANIZATION	Sector Energy All Energy Conventional
ORGANIZATION	Infrastructure All Infrastructure Transport Sport and leisure Education Waste Water
ORGANIZATION	Core Industries amp Markets All Core Industries amp Markets Retail Sport Hotels Gambling Housing Public
ORGANIZATION	Life sciences Universities
ORGANIZATION	Financial Services All Financial Services Banks Private
ORGANIZATION	Platforms Insurance
ORGANIZATION	Fintech Payments Advanced Manufacturing amp Technology All Advanced Manufacturing amp Technology TMT Life
ORGANIZATION	Health Real Estate All Real Estate Filter
LOCATION	Europe UK Germany France Turkey Middle East UAE Qatar Turkey Asia Pacific China Central Asia South east Asia Australia Africa Southern Africa Eastern Africa North Africa Western Africa
LOCATION	Europe UK
LOCATION	Turkey Asia Pacific China Central Asia South east Asia Australia Middle East UAE Qatar Turkey Africa Southern Africa Eastern Africa North Africa Western Africa View
ORGANIZATION	Brexit Investing
LOCATION	Europe UK
LOCATION	Turkey Asia Pacific China Central Asia South east Asia Australia Middle East UAE Qatar Turkey Africa Southern Africa Eastern Africa North Africa Western Africa View
LOCATION	UK
LOCATION	UK
ORGANIZATION	Sourcing Media law Intellectual Property Life sciences Universities
ORGANIZATION	Core Industries amp Markets UK Europe
LOCATION	UK
LOCATION	UK
PERSON	Emily Swithenbank
ORGANIZATION	Pinsent Masons
LOCATION	UK
LOCATION	UK
PERSON	Younger
LOCATION	UK
LOCATION	UK
ORGANIZATION	Rights in Performances Research Education Libraries
LOCATION	UK
LOCATION	UK
LOCATION	UK
LOCATION	UK
ORGANIZATION	Core Industries amp Markets All
LOCATION	EU Brexit
LOCATION	UK
PERSON	Iain Connor Iain Connor
ORGANIZATION	Pinsent Masons
ORGANIZATION	About Us Services People Events Newsletter Contact Us Media Feedback Pinsent Masons
