type	entity
PERSON	Alessandro Valitutti Carlo Strapparava Oliviero
ORGANIZATION	ITC
LOCATION	Trento Italy
ORGANIZATION	HCI
PERSON	Liu
PERSON	Alessandro Valitutti
ORGANIZATION	ITC
ORGANIZATION	Povo Trento Italy Phone
ORGANIZATION	NLP
PERSON	Magnini
PERSON	Picard
PERSON	Fussell
PERSON	Guerini Stock
PERSON	Zancanaro
ORGANIZATION	HCI
PERSON	Elliot
PERSON	Clark Elliot
PERSON	Andrew Ortony
PERSON	De Rosis
PERSON	Grasso
ORGANIZATION	HCI
PERSON	Liu
PERSON	Liu
PERSON	Urso
ORGANIZATION	Ortony
PERSON	Clore
PERSON	Watson
PERSON	Briscoe
PERSON	Calzolari
ORGANIZATION	Lexical Data Base
ORGANIZATION	Princeton University
PERSON	George Miller Miller
PERSON	Hyperonymy Hyponymy
ORGANIZATION	Hyperonymy Hyponymy
ORGANIZATION	ITC
PERSON	Magnini
ORGANIZATION	Gloss Domains
ORGANIZATION	ITC
ORGANIZATION	Word Sense Disambiguation
PERSON	Magnini
ORGANIZATION	POSR
PERSON	Elliot
PERSON	Ekman
PERSON	Magnini
PERSON	Cavaglia
PERSON	Liu
PERSON	Liu
ORGANIZATION	ITC
PERSON	Magnini
PERSON	Guerini Stock
PERSON	Zancanaro
PERSON	Humour
LOCATION	Trento
ORGANIZATION	National Council for Research
ORGANIZATION	European Commission
ORGANIZATION	EDONIC
PERSON	Briscoe
PERSON	Veltman
PERSON	Calzolari
PERSON	Pustejovsky
PERSON	Bergler
ORGANIZATION	Knowledge Representation Springer Verlag Berkeley De Rosis
PERSON	Grasso
PERSON	Grasso
ORGANIZATION	Proc of International Workshop of Affect
LOCATION	Siena Italy
PERSON	Urso
PERSON	Ed Laterza Ekman
PERSON	Ekman
ORGANIZATION	Northwestern University
ORGANIZATION	Evanston Illinois
PERSON	Fussell
ORGANIZATION	Mahwah NJ Lawrence Erlbaum Associates
PERSON	Moore
ORGANIZATION	MIT Working Papers in Linguistics
ORGANIZATION	MIT Press Guerini Stock
PERSON	Zancanaro
PERSON	Guerini
PERSON	Zancanaro
ORGANIZATION	Natural Argumentation Acapulco Mexico Liu
PERSON	Liu H Lieberman
PERSON	Selker
LOCATION	Miami Florida Magnini
PERSON	Cavaglia
PERSON	Magnini
ORGANIZATION	Cavaglia G 2000 Integrating Subject Field Codes
LOCATION	Gavrilidou
ORGANIZATION	Computer Software Athens Greece
PERSON	Magnini
ORGANIZATION	Congresso Internazionale di Studi della Societ di Linguistica Italiana Linguaggio
PERSON	Cognizione Roma Bulzoni Magnini
PERSON	Pezzulo
ORGANIZATION	SENSEVAL
PERSON	Miller
ORGANIZATION	International Journal of Lexicography
ORGANIZATION	New York Academy of Sciences
PERSON	Clore
ORGANIZATION	Cognitive Science Society Berkeley
PERSON	Foss
ORGANIZATION	Journal of Personality
ORGANIZATION	Cambridge University Press New York Picard
PERSON	Picard Rosalind
PERSON	Picard
ORGANIZATION	IBM Systems Journal
PERSON	Singh P Lin
ORGANIZATION	Mueller E T Lim G Perkins T
PERSON	Zhu
ORGANIZATION	First International Conference on Ontologies Databases and Applications of Semantics for Large Scale Information Systems Heidelberg Springer Verlag Stock
ORGANIZATION	International Joint Conference of Artificial Intelligence IJCAI
ORGANIZATION	Acapulco Mexico Young
PERSON	Hamer
ORGANIZATION	Multidimensional Scaling History Theory and Applications Erlbaum New York Watson
LOCATION	Tellegen
PERSON	Watson
PERSON	John Benjamin Publishing
