type	entity
ORGANIZATION	Montpellier Cedex
LOCATION	France
ORGANIZATION	Montpellier Cedex
LOCATION	France
ORGANIZATION	Information Retrieval IR
PERSON	Elena Arsevska Cirad CMAEE Renaud Lancelot Cirad CMAEE Thierry Lefran
PERSON	Sylvain Falala
PERSON	Mathieu Roche Cirad
PERSON	Barbara Dufour
PERSON	Elena Arsevska Mathieu Roche Pascal Hendrikx David Chavernac Sylvain Falala Renaud Lancelot Barbara Dufour
PERSON	Elena Arsevska Mathieu Roche Pascal Hendrikx David Chavernac Sylvain Falala Renaud Lancelot Barbara Dufour
ORGANIZATION	International Journal of Agricultural and Environmental Information Systems IGI
PERSON	Mathieu Roche Cirad TETIS Jacques Fize TETIS Sophie Fortuno Cirad TETIS Juan Antonio Lossio Ventura
ORGANIZATION	LIRMM Publications Juan Antonio Lossio Ventura Clement Jonquet Mathieu Roche Maguelonne Teisseire Biomedical
PERSON	Mathieu Roche Sophie Fortuno Juan Antonio Lossio Ventura Amira Akli Salim Belkebir Thinhinan Lounis Serigne Toure
ORGANIZATION	Cahiers Agricultures Volume
PERSON	Mathieu Roche Sophie Fortuno
ORGANIZATION	OTR
ORGANIZATION	OTR
ORGANIZATION	NLP
ORGANIZATION	OTR
PERSON	Patrice Buche
PERSON	Juliette Dibie Barth
ORGANIZATION	AgroParisTech Mathieu Roche Cirad TETIS Soumia Lilia Berrahou LIRMM Publications Soumia Lilia Berrahou Patrice Buche Juliette Dibie Mathieu Roche Xart Discovery
PERSON	Soumia Lilia Berrahou Patrice Buche Juliette Dibie Barth
ORGANIZATION	Mathieu Roche How
ORGANIZATION	KDIR
ORGANIZATION	International Conference on Knowledge Discovery
LOCATION	Vilamoura Portugal
LOCATION	Peru
LOCATION	Peru
PERSON	Juan Antonio Lossio Ventura LIRMM Pascal Poncelet
PERSON	LIRMM Mathieu Roche Cirad TETIS Sophia Ananiadou Univ Mancherster
PERSON	Armando Ferm
LOCATION	Peru
PERSON	Cesar Beltr
PERSON	Casta
ORGANIZATION	PUCP Peru Cayo Leon Univ San Marcos Peru
PERSON	Laura Cruz Jose Ochoa Mathieu Roche Pascal Poncelet
