POS	lemma	word
DT	the	The
NNP	Chicago_Reader	Chicago_Reader
VBZ	revisit	revisits
DT	the	the
JJ	ambient	ambient
NNS	dreamscape	dreamscapes
IN	of	of
NNP	Midori	Midori
NNP	Takada	Takada
DT	a	A
NN	handful	handful
IN	of	of
NNS	ticket	tickets
VBP	remain	remain
IN	for	for
NNP	Midori	Midori
NNP	Taka	Taka
NNP	https	https
NN	t	t
NNP	co	co
NNS	kpq8abofk	KpQ8ABofKS
DT	this	This
NNP	Monday	Monday
VB	join	Join
PRP	we	us
IN	for	for
DT	a	a
JJ	rare	rare
IN	after	after
NNS	hour	hours
NN	event	event
VBN	present	presented
IN	in	in
NN	collaboration	collaboration
IN	with	with
NN	chicagosymphony	chicagosymphony
VBP	celebrate	Celebrate
NNP	Musi	Musi
NNP	https	https
NN	t	t
NNP	co	co
NNP	T1pOzcGMjq	T1pOzcGMjq
NNP	THURSDAY	THURSDAY
NNP	Exhibition	Exhibition
VBG	open	Opening
NNP	Judy	Judy
NNP	Ledgerwood	Ledgerwood
NNP	Chromatic	Chromatic
NNS	pattern	Patterns
VB	join	Join
PRP	we	us
IN	for	for
DT	the	the
JJ	public	public
NN	opening	opening
IN	of	of
NNP	Judy	Judy
NNP	Ledgerwood	Ledgerwood
NNP	https	https
NN	t	t
NNP	co	co
NNP	VjqZYdFZlg	VjqZYdFZlg
NNP	Kay	Kay
NNP	Rosen	Rosen
VBZ	recognize	recognizes
DT	the	the
NN	potential	potential
IN	of	of
JJ	everyday	everyday
NN	language	language
TO	to	to
VB	reframe	reframe
NN	meaning	meaning
WDT	which	which
PRP	she	she
VBZ	explore	explores
IN	through	through
NNS	strategy	strategies
NN	o	o
VBZ	http	https
NN	t	t
NNP	co	co
NNP	ZiPa6GhXqG	ZiPa6GhXqG
DT	the	The
NNP	Art	Art
NNP	Institute	Institute
VBZ	be	is
JJ	proud	proud
TO	to	to
NN	partner	partner
IN	with	with
NN	lollapalooza	lollapalooza
RB	again	again
DT	this	this
NN	year	year
VBP	win	Win
DT	a	a
NN	pair	pair
IN	of	of
CD	one	one
NN	day	day
NNS	ticket	tickets
IN	for	for
NNP	Sunday	Sunday
NNPS	https	https
NN	t	t
NNP	co	co
NNP	6uj7BTXpuq	6uj7BTXpuq
RB	now	NOW
JJ	open	OPEN
NN	flesh	Flesh
NNP	Ivan	Ivan
NNP	Albright	Albright
IN	at	at
DT	the	the
NNP	Art	Art
NNP	Institute	Institute
IN	of	of
NNP	Chicago	Chicago
DT	a	A
JJ	retrospective	retrospective
IN	of	of
JJ	shocking	shocking
RB	obsessively	obsessively
JJ	detailed	detailed
NNS	http	https
NN	t	t
NNP	co	co
NNP	5zvz58GDcd	5zvz58GDcd
NNS	print	Prints
CC	and	and
NNS	drawing	drawings
VBP	be	are
JJ	sensitive	sensitive
TO	to	to
JJ	light	light
CC	and	and
MD	can	can
RB	only	only
VB	be	be
VBN	display	displayed
IN	for	for
JJ	short	short
NNS	period	periods
IN	of	of
NN	time	time
NN	article	ARTicle
VBZ	explore	explores
DT	a	a
NN	https	https
NN	t	t
NNP	co	co
NNP	X3qoueFGPw	X3qoueFGPw
VBG	open	OPENING
MD	may	MAY
CD	12	12
RB	never	Never
DT	a	a
JJ	lovely	Lovely
RB	so	So
JJ	real	Real
NNP	Photography	Photography
CC	and	and
NN	film	Film
IN	in	in
NNP	Chicago	Chicago
CD	1950	1950
CD	1980	1980
DT	a	A
JJ	poetic	poetic
NN	survey	survey
IN	of	of
NNP	photographe	photographe
NNP	https	https
NN	t	t
NNP	co	co
NNP	xuFjesvD8T	xuFjesvD8T
VB	join	Join
DT	a	a
NN	sketch	Sketch
NN	class	Class
IN	at	at
DT	the	the
NNP	Art	Art
NNP	Institute	Institute
CC	and	and
VB	draw	draw
IN	in	in
DT	the	the
NN	museum	museum
NNS	s	s
NNS	gallery	galleries
IN	under	under
DT	the	the
NN	guidance	guidance
IN	of	of
JJ	experienced	experienced
NN	instr	instr
NNS	http	https
NN	t	t
NNP	co	co
NNP	321V2y4vL3	321V2y4vL3
IN	in	In
NNP	Railroad	Railroad
NNP	Sunset	Sunset
NNP	Edward	Edward
NNP	Hopper	Hopper
VBZ	contrast	contrasts
DT	the	the
JJ	sharp	sharp
NNS	line	lines
IN	of	of
JJ	manmade	manmade
NNS	structure	structures
IN	with	with
JJ	undulating	undulating
NNP	green	green
NNP	hills	hills
UH	hi	Hi
NNPS	https	https
NN	t	t
NNP	co	co
NNP	L4iJzJGxUB	L4iJzJGxUB
MD	may	MAY
CD	14	14
NN	experience	Experience
DT	a	a
JJ	rare	rare
PRP	we	US
NN	concert	concert
VBN	perform	performed
IN	by	by
JJ	japanese	Japanese
NN	composer	composer
CC	and	and
NN	percussionist	percussionist
NNP	Midori	Midori
NNP	Takada	Takada
DT	this	This
NN	event	event
VBZ	have	has
VBN	http	https
NN	t	t
NNP	co	co
NNP	6xgV6DJiQo	6xgV6DJiQo
DT	this	This
NNP	Monday	Monday
VB	join	Join
PRP	we	us
IN	for	for
DT	a	a
JJ	rare	rare
IN	after	after
NNS	hour	hours
NN	event	event
VBN	present	presented
IN	in	in
NN	collaboration	collaboration
IN	with	with
NN	chicagosymphony	chicagosymphony
VBP	celebrate	Celebrate
NNP	Musi	Musi
NNP	https	https
NN	t	t
NNP	co	co
NNP	unnIyp6iUm	unnIyp6iUm
NNP	THURSDAY	THURSDAY
NNP	Artist	Artist
NNP	Talk	Talk
NNP	Ilit	Ilit
NNP	Azoulay	Azoulay
NNP	Ilit	Ilit
NNP	Azoulay	Azoulay
NNP	s	s
VBD	construct	constructed
NNS	photograph	photographs
VBN	charge	charged
IN	with	with
NN	history	history
VBP	remind	remind
PRP	we	us
IN	in	in
PRP$	she	her
NN	w	w
VBZ	http	https
NN	t	t
NNP	co	co
NNP	NtXdQmnUlW	NtXdQmnUlW
DT	the	The
NNS	suntime	Suntimes
VBZ	highlight	highlights
DT	the	the
NN	work	work
IN	of	of
CD	one	one
IN	of	of
NNP	Chicago	Chicago
NNS	s	s
RBS	most	most
JJ	uncompromising	uncompromising
NNS	artist	artists
IN	in	in
NN	flesh	Flesh
NNP	Ivan	Ivan
NNP	Albright	Albright
VBG	open	opening
NNS	http	https
NN	t	t
NNP	co	co
NNP	1LgGBHN6Ag	1LgGBHN6Ag
IN	en	En
NNP	garde	garde
VB	explore	Explore
DT	a	a
NN	variety	variety
IN	of	of
NNS	sword	swords
CC	and	and
JJ	other	other
VBZ	implement	implements
IN	of	of
NN	war	war
CC	and	and
NN	sport	sport
IN	on	on
NN	view	view
IN	in	in
JJ	medieval	Medieval
CC	and	and
NNP	Renaissance	Renaissance
NN	arm	Arm
VBZ	http	https
NN	t	t
NNP	co	co
NNP	wjYzFRINQw	wjYzFRINQw
MD	may	MAY
CD	20	20
NN	concert	Concert
JJ	spektral	Spektral
NN	quartet	Quartet
IN	in	In
NN	search	Search
IN	of	of
NNS	future	Futures
IN	past	Past
NNP	Schoenberg	Schoenberg
DT	the	the
JJ	visionary	Visionary
NNP	Discover	Discover
NNP	Schoenberg	Schoenberg
NNP	s	s
NNP	impact	impact
NNP	https	https
NN	t	t
NNP	co	co
NNP	cYmERF8QiK	cYmERF8QiK
VBG	close	CLOSING
RB	soon	SOON
NN	mirroring	Mirroring
NNP	China	China
NNS	s	s
IN	past	Past
NNS	emperor	Emperors
CC	and	and
PRP$	they	Their
NNS	bronze	Bronzes
IN	beneath	Beneath
DT	the	the
NNS	layer	layers
IN	of	of
NNS	century	centuries
DT	a	a
JJ	rich	rich
NN	history	history
NNS	http	https
NN	t	t
NNP	co	co
NNP	ppLjPZp6mC	ppLjPZp6mC
MD	may	MAY
CD	10	10
NN	exhibition	Exhibition
NN	opening	Opening
NNP	Judy	Judy
NNP	Ledgerwood	Ledgerwood
JJ	chromatic	Chromatic
NNS	pattern	Patterns
VBP	celebrate	Celebrate
DT	the	the
NN	opening	opening
IN	of	of
NNP	Judy	Judy
NNP	Ledgerwood	Ledgerwood
NNP	s	s
NNP	new	new
NN	site	site
VBZ	http	https
NN	t	t
NNP	co	co
NNP	zCYZBIB9Ea	zCYZBIB9Ea
NNP	THURSDAY	THURSDAY
NNP	Artist	Artist
NNP	Talk	Talk
NNP	Ilit	Ilit
NNP	Azoulay	Azoulay
NNP	Ilit	Ilit
NNP	Azoulay	Azoulay
NNP	s	s
VBD	construct	constructed
NNS	photograph	photographs
VBN	charge	charged
IN	with	with
NN	history	history
VBP	remind	remind
PRP	we	us
IN	in	in
PRP$	she	her
NN	w	w
VBZ	http	https
NN	t	t
NNP	co	co
NNP	46jMrRiqW4	46jMrRiqW4
JJ	associate	Associate
NN	curator	curator
IN	of	of
JJ	european	European
NN	painting	Painting
CC	and	and
NN	sculpture	Sculpture
NNP	Emerson	Emerson
NNP	Bowyer	Bowyer
VBZ	meet	meets
NNP	Sophie	Sophie
NNP	Renoir	Renoir
NNP	great	great
NN	granddaughter	granddaughter
IN	of	of
NN	pier	Pier
NNS	http	https
NN	t	t
NNP	co	co
NNP	kY9M8MAapL	kY9M8MAapL
NNP	SUNDAY	SUNDAY
NN	panel	Panel
NN	discussion	Discussion
VBG	live	Living
NNS	history	Histories
IN	from	from
DT	the	the
NNP	Middle	Middle
NNP	East	East
VB	experience	Experience
DT	the	the
JJ	personal	personal
NNS	story	stories
IN	of	of
NNS	people	people
VBD	affect	affected
NNP	https	https
NN	t	t
NNP	co	co
NN	pichbtmn3h	PicHBtmn3H
NN	opening	OPENING
MD	may	MAY
CD	4	4
NN	flesh	Flesh
NNP	Ivan	Ivan
NNP	Albright	Albright
IN	at	at
DT	the	the
NNP	Art	Art
NNP	Institute	Institute
IN	of	of
NNP	Chicago	Chicago
NNP	Albright	Albright
NNP	s	s
VBG	endure	enduring
NNS	masterpiece	masterpieces
VBP	retain	retain
DT	the	the
NN	p	p
VBZ	http	https
NN	t	t
NNP	co	co
NNP	BWPU3XbyPm	BWPU3XbyPm
VBG	close	CLOSING
NNP	SUNDAY	SUNDAY
PRP	I	I
RB	strongly	strongly
VBP	believe	believe
IN	in	in
PRP$	we	our
NN	right	right
TO	to	to
VB	be	be
JJ	frivolous	frivolous
NN	mounira	Mounira
NNP	Al	Al
NNP	Solh	Solh
VBZ	collect	collects
NNS	history	histories
CC	and	and
JJ	personal	personal
NN	e	e
NNS	http	https
NN	t	t
NNP	co	co
NNP	psfiFe0MsK	psfiFe0MsK
MD	may	MAY
CD	14	14
NN	experience	Experience
DT	a	a
JJ	rare	rare
PRP	we	US
NN	concert	concert
VBN	perform	performed
IN	by	by
JJ	japanese	Japanese
NN	composer	composer
CC	and	and
NN	percussionist	percussionist
NNP	Midori	Midori
NNP	Takada	Takada
DT	this	This
NN	event	event
VBZ	have	has
VBN	http	https
NN	t	t
NNP	co	co
NNP	nASc4XhFjB	nASc4XhFjB
NN	tomorrow	TOMORROW
IN	at	at
CD	3	3
CD	00	00
VB	hear	Hear
IN	from	from
NNP	Christopher	Christopher
NNP	de	de
NNP	Hamel	Hamel
CD	one	one
IN	of	of
DT	the	the
NN	world	world
NNS	s	s
VBG	lead	leading
NNS	expert	experts
IN	on	on
JJ	medieval	medieval
NNS	manuscript	manuscripts
IN	as	as
PRP	he	he
VBZ	http	https
NN	t	t
NNP	co	co
NNP	iQu7u2rrG1	iQu7u2rrG1
VB	stop	Stop
IN	by	by
IN	on	on
DT	the	the
JJ	double	double
TO	to	to
VB	explore	explore
NN	jewelry	jewelry
CC	and	and
JJ	other	other
JJ	ornate	ornate
NNS	object	objects
IN	in	in
NNS	pair	pairs
RB	now	now
IN	on	on
NN	view	view
IN	in	in
NN	art	Art
IN	of	of
DT	the	the
NNP	Americas	Americas
NNP	https	https
NN	t	t
NNP	co	co
NNP	XJtcDzgMag	XJtcDzgMag
NNP	Tomorrow	Tomorrow
NN	evening	evening
VB	enjoy	Enjoy
DT	a	a
NN	cash	cash
NN	bar	bar
JJ	complimentary	complimentary
NNS	snack	snacks
CC	and	and
JJ	west	West
JJ	african	African
NNS	record	records
VBN	spin	spun
IN	by	by
NNP	Florent	Florent
NNP	Mazzoleni	Mazzoleni
IN	at	at
DT	the	the
NNP	https	https
NN	t	t
NNP	co	co
NNP	ZkvJNTh555	ZkvJNTh555
NN	tomorrow	TOMORROW
IN	at	at
CD	6	6
CD	00	00
VB	explore	Explore
DT	the	the
NN	museum	museum
NNS	s	s
NN	collection	collection
IN	in	in
DT	a	a
NN	gallery	Gallery
NN	talk	Talk
VBN	present	presented
IN	in	in
IN	in	in
JJ	american	American
NN	sign	Sign
NN	language	Language
JJ	free	Free
TO	to	to
NNP	https	https
NN	t	t
NNP	co	co
NNP	QiJ8iiXqH9	QiJ8iiXqH9
PRP$	we	Our
JJ	north	North
NN	garden	Garden
VBZ	be	is
RB	partially	partially
VBN	close	closed
IN	through	through
DT	the	the
NN	end	end
IN	of	of
DT	the	the
NN	week	week
IN	as	as
PRP	we	we
VBP	install	install
NN	work	work
IN	for	for
DT	the	the
NN	society	Society
IN	of	of
JJ	contemporary	Contemporary
NNPS	https	https
NN	t	t
NNP	co	co
NNP	qxPiUJwjl7	qxPiUJwjl7
NN	rt	RT
NN	1book1chicago	1book1chicago
NN	reminder	REMINDER
DT	this	this
VBZ	be	is
NN	tomorrow	TOMORROW
NN	amp	amp
NN	gt	gt
PRP	we	We
NNP	re	re
VBG	partner	partnering
IN	with	with
NN	artinstitutechi	artinstitutechi
IN	for	for
DT	a	a
JJ	unique	unique
NN	program	program
VBG	feature	featuring
NN	art	art
CC	and	and
NNS	artist	artists
IN	de	de
NNP	THURSDAY	THURSDAY
NNP	Exhibition	Exhibition
VBG	open	Opening
NNP	Volta	Volta
NNP	Photo	Photo
VB	enjoy	Enjoy
DT	a	a
NN	cash	cash
NN	bar	bar
JJ	complimentary	complimentary
NNS	snack	snacks
CC	and	and
JJ	west	West
JJ	african	African
NNS	record	records
VBD	spin	spun
NN	b	b
NNS	http	https
NN	t	t
NNP	co	co
NNP	XIT5aIYxVl	XIT5aIYxVl
VBN	bear	Born
JJ	onthisday	OnThisDay
NNP	Willem	Willem
IN	de	de
NNP	Kooning	Kooning
VBD	be	was
DT	a	a
JJ	central	central
NN	figure	figure
IN	in	in
NN	abstract	Abstract
