POS	lemma	word
NN	nex	NEX
NN	t	T
NN	page	PAGE
NN	gt	gt
CD	2nex	2NEX
NN	t	T
DT	a	A
NN	rt	RT
PRP	I	I
NN	c	C
NN	l	L
NN	e	E
NN	gt	gt
NN	lt	lt
JJ	pre	PRE
NN	v	V
PRP	I	I
JJ	ous	OUS
NN	pagecontents	PAGECONTENTS
NN	irene	IRENE
NN	l	L
NNP	TRAVIS	TRAVIS
NNP	Editor	Editor
NNP	Bulletin	Bulletin
IN	of	of
DT	the	the
NN	association	Association
IN	for	for
NN	information	Information
NN	science	Science
CC	and	and
NN	technology	Technology
NN	bulletin	Bulletin
NN	lt	lt
IN	at	at
NN	gt	gt
NN	asis	asis
NN	org	org
NN	b	B
NNP	U	U
NNP	L	L
NNP	L	L
NNP	E	E
NN	t	T
IN	in	IN
NN	o	O
NN	f	F
NN	t	T
NN	h	H
NN	e	E
DT	a	A
NNS	s	S
NNS	s	S
NN	o	O
NN	c	C
NN	ia	IA
NN	t	T
NNP	IO	IO
NNP	N	N
NN	f	F
NN	o	O
NN	r	R
PRP	I	I
NN	n	N
NN	f	F
NN	o	O
NN	r	R
NN	m	M
DT	a	A
NN	t	T
NNP	IO	IO
NNP	N	N
NNP	S	S
NNP	C	C
FW	ie	IE
NNP	N	N
NNP	C	C
NNP	E	E
DT	a	A
NN	n	N
NN	d	D
NN	t	T
NN	e	E
NN	c	C
NN	h	H
NN	n	N
NN	o	O
NN	l	L
NN	o	O
NN	g	G
NN	y	Y
NN	ju	JU
NN	n	N
NN	e	E
NN	j	J
NNP	U	U
NNP	LY	LY
CD	2	2
CD	0	0
CD	1	1
CD	7	7
NN	v	V
NN	o	O
NN	l	L
NN	u	U
NN	m	M
NN	e	E
CD	4	4
CD	3	3
NN	n	N
NN	u	U
NN	m	M
NN	b	B
NN	e	E
NN	r	R
CD	5	5
NN	e	E
NN	d	D
PRP	I	I
NN	t	T
NN	o	O
NN	r	R
NNS	s	S
NNP	D	D
NNP	E	E
NNP	S	S
NNP	K	K
NN	t	T
NN	o	O
NN	p	P
NN	t	T
PRP	he	he
JJ	timely	timely
CC	and	and
JJ	important	important
NN	focus	focus
IN	of	of
DT	this	this
NN	issue	issue
VBZ	be	is
JJ	open	open
NN	sciencein	sciencein
DT	the	the
NNS	humanities	humanities
PRP$	we	Our
NN	coverage	coverage
VBZ	draw	draws
IN	from	from
DT	the	the
JJ	third	third
JJ	annual	annual
JJ	virtual	Virtual
NN	symposium	Symposium
IN	on	on
NN	information	Information
NN	amp	amp
NN	technology	Technology
IN	in	in
DT	the	the
NNS	art	Arts
NN	amp	amp
NNS	humanities	Humanities
VBN	present	presented
IN	on	on
NNP	April	April
CD	18	18
CC	and	and
CD	19	19
CD	2017	2017
IN	by	by
DT	the	the
NN	asis	ASIS
NN	amp	amp
NN	t	T
JJ	special	Special
NN	interest	Interest
NNS	group	Groups
NNS	art	Arts
CC	and	and
NNS	humanities	Humanities
NN	sig	SIG
NN	ah	AH
CC	and	and
NN	visualization	Visualization
NNS	image	Images
CC	and	and
JJ	sound	Sound
NN	sig	SIG
FW	vis	VIS
JJ	special	Special
NN	section	section
NN	editor	editor
NNP	Jeremy	Jeremy
NNP	McLaughlin	McLaughlin
VBZ	provide	provides
DT	a	an
JJ	extensive	extensive
NN	introduction	Introduction
VBG	include	including
DT	a	a
NN	synopsis	synopsis
