POS	lemma	word
CD	four	Four
NNS	claim	Claims
IN	on	on
NN	research	Research
NN	assessment	Assessment
CC	and	and
JJ	metric	Metric
NN	use	Use
IN	in	in
DT	the	the
NNS	humanities	Humanities
IN	by	by
NNP	Bj	Bj
NNP	rn	rn
NNP	Hammarfelt	Hammarfelt
NNP	E	E
NN	valuation	valuation
VBZ	be	is
DT	a	an
JJ	intrinsic	intrinsic
NN	feature	feature
IN	of	of
JJ	modern	modern
NNS	society	societies
IN	in	In
DT	a	a
JJ	recentkeynote	recentkeynote
JJ	political	political
NN	scientist	scientist
NNP	Peter	Peter
NNP	Dahler	Dahler
NNP	Larsen	Larsen
VBD	suggest	suggested
IN	that	that
PRP	we	we
VBP	find	find
PRP	it	it
JJR	easier	easier
TO	to	to
VB	imagine	imagine
NNS	alien	aliens
VBG	come	coming
TO	to	to
NNP	earth	earth
IN	than	than
TO	to	to
VB	imagine	imagine
DT	a	a
NN	society	society
IN	without	without
NN	evaluation	evaluation
NN	evaluation	Evaluation
IN	in	in
PRP$	its	its
JJ	many	many
NNS	form	forms
VBZ	be	is
DT	a	a
JJ	key	key
RB	perhaps	perhaps
RB	even	even
DT	a	a
VBG	define	defining
NN	aspect	aspect
IN	of	of
JJ	academic	academic
NN	knowledge	knowledge
NN	production	production
WDT	what	What
VBZ	make	makes
JJ	certain	certain
NNS	statement	statements
JJ	scientific	scientific
CC	or	or
JJ	scholarly	scholarly
VBZ	be	is
TO	to	to
DT	some	some
NN	degree	degree
JJ	dependent	dependent
IN	on	on
PRP$	they	their
NN	production	production
CC	and	and
NN	presentation	presentation
CC	but	but
WP	what	what
RB	really	really
VBZ	distinguish	distinguishes
JJ	academic	academic
NN	knowledge	knowledge
VBZ	be	is
DT	the	the
JJ	rigorous	rigorous
NN	assessment	assessment
RB	often	often
IN	through	through
JJ	various	various
NNS	form	forms
IN	of	of
NN	peer	peer
NN	review	review
TO	to	to
WDT	which	which
PRP	it	it
VBZ	be	is
VBN	subject	subjected
IN	in	In
DT	this	this
NN	essay	essay
PRP	I	I
VBP	focus	focus
IN	on	on
CD	one	one
RB	very	very
JJ	specific	specific
NN	form	form
IN	of	of
NN	evaluation	evaluation
DT	the	the
VBN	quantify	quantified
NN	assessment	assessment
IN	of	of
NN	research	research
IN	in	in
DT	the	the
NN	form	form
IN	of	of
NNS	metric	metrics
VBN	base	based
IN	on	on
NNS	publication	publications
NNS	citation	citations
CC	or	or
JJ	social	social
NNS	media	media
VBZ	mention	mentions
CC	and	and
WRB	how	how
DT	these	these
NNS	measure	measures
NN	impact	impact
CC	or	or
MD	may	may
VB	impact	impact
DT	the	the
NNS	humanities	humanities
JJ	diverse	Diverse
NN	publication	publication
NNS	pattern	patterns
CC	and	and
NN	dependence	dependence
IN	on	on
JJ	local	local
NNS	language	languages
CC	and	and
NNS	context	contexts
RB	as	as
RB	well	well
IN	as	as
JJ	specific	specific
VBG	reference	referencing
NNS	practice	practices
VBP	be	are
JJ	distinctive	distinctive
NNS	feature	features
WDT	that	that
VBP	have	have
VBN	render	rendered
JJ	bibliometric	bibliometric
NNS	indicator	indicators
RBR	less	less
JJ	applicable	applicable
IN	in	in
DT	the	the
NNS	humanities	humanities
CD	1	1
DT	the	The
NN	difficulty	difficulty
IN	of	of
VBG	use	using
JJ	bibliometric	bibliometric
NNS	measure	measures
TO	to	to
VB	evaluate	evaluate
NN	research	research
VBZ	have	has
VBN	result	resulted
IN	in	in
NNS	attempt	attempts
TO	to	to
VB	create	create
JJ	alternative	alternative
NNS	system	systems
IN	of	of
NN	evaluation	evaluation
WDT	that	that
VBP	look	look
IN	at	at
JJ	new	new
NNS	source	sources
IN	of	of
NN	attention	attention
NNS	datum	data
CC	or	or
IN	that	that
VBP	try	try
TO	to	to
VB	take	take
DT	the	the
NNS	characteristic	characteristics
CC	and	and
DT	the	the
NN	heterogeneity	heterogeneity
IN	of	of
NN	research	research
IN	into	into
NN	account	account
RB	still	Still
JJ	many	many
NNS	scholar	scholars
IN	in	in
DT	the	the
NNS	humanities	humanities
CC	and	and
DT	the	the
NNP	social	social
NNPS	sciences	sciences
VBP	remain	remain
JJ	skeptical	skeptical
IN	towards	towards
JJ	bibliometric	bibliometric
NNS	indicator	indicators
IN	in	In
DT	this	this
NN	paper	paper
PRP	I	I
VBP	discuss	discuss
DT	the	the
NN	potential	potential
IN	that	that
DT	these	these
NNS	measure	measures
VBP	have	have
IN	for	for
VBG	capture	capturing
NN	research	research
NN	performance	performance
IN	in	in
DT	the	the
NNS	humanities	humanities
DT	the	The
NNS	consequence	consequences
IN	of	of
JJ	further	further
NN	quantification	quantification
CC	both	both
IN	for	for
NN	knowledge	knowledge
NN	production	production
CC	and	and
JJ	academic	academic
NN	culture	culture
MD	will	will
RB	also	also
VB	be	be
VBN	emphasize	emphasized
DT	the	The
NN	essay	essay
VBZ	be	is
VBN	structure	structured
IN	around	around
CD	four	four
NNS	claim	claims
IN	on	on
DT	the	the
NN	use	use
IN	of	of
NNS	bibliometric	bibliometrics
IN	for	for
VBG	evaluate	evaluating
DT	the	the
NNS	humanities	humanities
DT	these	These
CD	four	four
NNS	claim	claims
VBP	serve	serve
IN	as	as
DT	a	a
NN	way	way
IN	of	of
VBG	summarize	summarizing
JJ	key	key
NNS	insight	insights
VBG	regard	regarding
DT	the	the
NN	use	use
IN	of	of
NNS	bibliometric	bibliometrics
IN	for	for
DT	the	the
NNS	humanities	humanities
CC	and	and
RB	also	also
JJ	special	Special
NN	section	Section
NN	nex	NEX
NN	t	T
NN	page	PAGE
NN	gt	gt
NN	n	N
FW	ex	EX
NN	t	T
DT	a	A
NN	rt	RT
PRP	I	I
NN	c	C
NN	l	L
NN	e	E
NN	gt	gt
NN	lt	lt
JJ	pre	PRE
NN	v	V
PRP	I	I
JJ	ous	OUS
NN	pagecontents	PAGECONTENTS
NN	b	B
NNP	U	U
NNP	L	L
NNP	L	L
NNP	E	E
NN	t	T
IN	in	IN
NN	o	O
NN	f	F
NN	t	T
NN	h	H
NN	e	E
DT	a	A
NNS	s	S
NNS	s	S
NN	o	O
NN	c	C
NN	ia	IA
NN	t	T
NNP	IO	IO
NNP	N	N
NN	f	F
NN	o	O
NN	r	R
PRP	I	I
NN	n	N
NN	f	F
NN	o	O
NN	r	R
NN	m	M
DT	a	A
NN	t	T
NNP	IO	IO
NNP	N	N
NNP	S	S
NNP	C	C
FW	ie	IE
NNP	N	N
NNP	C	C
NNP	E	E
DT	a	A
NN	n	N
NN	d	D
NN	t	T
NN	e	E
NN	c	C
NN	h	H
NN	n	N
NN	o	O
NN	l	L
NN	o	O
NN	g	G
NN	y	Y
NN	ju	JU
NN	n	N
NN	e	E
NN	j	J
NNP	U	U
NNP	LY	LY
CD	2	2
CD	0	0
CD	1	1
CD	7	7
NN	v	V
NN	o	O
NN	l	L
NN	u	U
NN	m	M
NN	e	E
CD	4	4
CD	3	3
NN	n	N
NN	u	U
NN	m	M
NN	b	B
NN	e	E
NN	r	R
CD	5	5
CD	33	33
NN	editor	EDITOR
NNS	s	S
NN	summary	SUMMARY
JJ	bibliometric	Bibliometric
NN	evaluation	evaluation
IN	for	for
NN	research	research
IN	in	in
DT	the	the
NN	field	field
IN	of	of
NNS	science	sciences
MD	can	can
VB	be	be
DT	a	a
JJ	good	good
NN	way	way
TO	to	to
VB	assess	assess
DT	the	the
NN	quality	quality
CC	and	and
JJ	factual	factual
NN	basis	basis
IN	of	of
NNS	claim	claims
CC	and	and
MD	can	can
VB	lead	lead
TO	to	to
JJR	more	more
NN	funding	funding
IN	for	for
NNS	author	authors
CC	and	and
IN	for	for
NN	research	research
NN	work	work
RB	however	However
JJ	due	due
TO	to	to
DT	the	the
RBR	more	more
JJ	diverse	diverse
NNS	field	fields
VBD	cover	covered
DT	this	this
NN	type	type
IN	of	of
NN	evaluation	evaluation
VBZ	be	is
RBR	less	less
JJ	effective	effective
IN	in	in
DT	the	the
NN	world	world
IN	of	of
NNS	humanities	humanities
JJ	many	Many
NNS	professional	professionals
CC	and	and
NNS	researcher	researchers
IN	in	in
NNS	humanities	humanities
NNS	field	fields
VBP	believe	believe
IN	that	that
JJ	bibliometric	bibliometric
NN	evaluation	evaluation
VBZ	be	is
VBN	mean	meant
RB	only	only
IN	for	for
NN	stem	STEM
NN	research	research
CC	and	and
MD	can	can
NN	t	t
RB	properly	properly
VB	assess	assess
DT	any	any
NNS	finding	findings
VBN	make	made
IN	in	in
NNS	humanities	humanities
CD	four	Four
JJ	common	common
NNS	claim	claims
VBN	make	made
IN	about	about
NNS	bibliometric	bibliometrics
IN	in	in
NNS	humanities	humanities
VBP	be	are
IN	that	that
NNS	bibliometric	bibliometrics
VBP	do	do
RB	not	not
RB	adequately	adequately
VB	cover	cover
DT	the	the
JJ	non	non
JJ	uniform	uniform
NN	nature	nature
IN	of	of
NNS	humanities	humanities
JJR	greater	greater
JJ	bibliometric	bibliometric
NN	coverage	coverage
MD	will	will
RB	not	not
VB	solve	solve
PDT	all	all
DT	the	the
NN	research	research
NNS	problem	problems
IN	in	in
NNS	humanities	humanities
NNS	subject	subjects
NNS	metric	metrics
VBP	use	use
RB	already	already
VBZ	have	has
DT	a	an
NN	impact	impact
IN	on	on
NNS	humanities	humanities
NN	research	research
NNS	practice	practices
CC	and	and
RB	finally	finally
JJ	other	other
NN	evaluation	evaluation
NNS	method	methods
IN	like	like
NNS	altmetric	altmetrics
VBP	be	are
JJ	conventional	conventional
NNS	keyword	KEYWORDS
NNS	humanities	humanities
NNS	bibliometric	bibliometrics
NN	evaluation	evaluation
NN	research	research
CC	and	and
NN	development	development
NN	citation	citation
NN	analysis	analysis
NNS	altmetric	altmetrics
NN	bj	Bj
NN	rn	rn
NN	hammarfelt	Hammarfelt
NN	ph	Ph
NN	d	D
VBZ	be	is
DT	a	a
JJ	senior	senior
NN	lecturer	lecturer
IN	at	at
DT	the	the
JJ	swedish	Swedish
NN	school	School
IN	of	of
NN	library	Library
CC	and	and
NN	information	Information
NN	science	Science
NNP	SSLIS	SSLIS
NNP	University	University
IN	of	of
NNP	Bor	Bor
NNP	s	s
NNP	Bor	Bor
NNP	s	s
NNP	Sweden	Sweden
CC	and	and
DT	a	a
VBG	visit	visiting
NN	scholar	scholar
IN	at	at
DT	the	the
NN	centre	Centre
IN	for	for
NN	science	Science
CC	and	and
NN	technology	Technology
NNS	study	Studies
NNS	cwt	CWTS
IN	at	at
NNP	Leiden	Leiden
NNP	University	University
IN	in	in
NNP	Germany	Germany
PRP$	he	His
NN	research	research
VBZ	be	is
VBN	situate	situated
IN	at	at
DT	the	the
NN	intersection	intersection
IN	between	between
NN	information	information
NN	science	science
CC	and	and
NN	sociology	sociology
IN	of	of
NN	science	science
IN	with	with
DT	a	a
NN	focus	focus
IN	on	on
DT	the	the
NN	organization	organization
NN	communication	communication
CC	and	and
NN	evaluation	evaluation
IN	of	of
NN	research	research
RBR	more	More
NN	information	information
CC	and	and
NN	contact	contact
NNS	detail	details
MD	can	can
VB	be	be
VBN	find	found
IN	at	at
NNP	www	www
FW	hb	hb
FW	se	se
FW	en	en
NN	research	Research
NNS	researcher	Researchers
NNP	Hammarfelt	Hammarfelt
NNP	Bjorn	Bjorn
DT	a	A
JJ	new	New
JJ	open	Open
NNS	humanities	Humanities
VBP	www	www
FW	hb	hb
FW	se	se
FW	en	en
NN	research	Research
NNS	researcher	Researchers
NNP	Hammarfelt	Hammarfelt
NNP	Bjorn	Bjorn
NN	point	point
TO	to	to
NNS	aspect	aspects
WDT	which	which
IN	at	at
