POS	lemma	word
DT	a	A
NNP	SIS	SIS
NN	amp	amp
NN	t	T
VBZ	have	has
DT	a	a
JJ	long	long
NN	history	history
IN	of	of
VBG	strive	striving
TO	to	to
VB	increase	increase
NN	diversity	diversity
CC	and	and
NN	enhanceinclusion	enhanceinclusion
IN	across	across
NNS	boundary	boundaries
IN	for	For
NN	example	example
CD	30	30
NNS	year	years
RB	ago	ago
IN	in	in
CD	1982	1982
DT	the	the
NN	asis	ASIS
NN	amp	amp
NN	t	T
JJ	special	Special
NN	interest	Interest
NN	group	Group
JJ	international	International
NN	information	Information
NNS	issue	Issues
NN	sig	SIG
CD	iii	III
VBD	be	was
VBN	form	formed
TO	to	to
VB	promote	promote
JJ	international	international
NN	cooperation	cooperation
CC	and	and
NN	communication	communication
NN	building	Building
IN	on	on
DT	this	this
NN	tradition	tradition
DT	a	a
NN	diversity	Diversity
CC	and	and
NN	inclusion	Inclusion
NN	luncheon	Luncheon
VBD	be	was
VBN	hold	held
IN	at	at
DT	the	the
CD	2016	2016
NNP	ASIS	ASIS
NN	amp	amp
NN	t	T
JJ	annual	Annual
NN	meeting	Meeting
VBP	be	AM
IN	for	for
DT	the	the
JJ	first	first
NN	time	time
DT	the	The
NN	purpose	purpose
IN	of	of
DT	the	the
NN	luncheon	luncheon
VBD	be	was
TO	to	to
VB	celebrate	celebrate
NN	diversity	diversity
CC	and	and
NN	inclusion	inclusion
CC	and	and
TO	to	to
VB	generate	generate
NNS	idea	ideas
VBG	regard	regarding
WRB	how	how
JJ	asis	ASIS
NN	amp	amp
NN	t	T
MD	could	could
VB	continue	continue
TO	to	to
VB	encourage	encourage
NN	diversity	diversity
CC	and	and
NN	support	support
NN	inclusion	inclusion
DT	the	The
NN	luncheon	luncheon
VBD	be	was
VBN	design	designed
CC	and	and
VBN	organize	organized
IN	by	by
JJ	annual	Annual
NN	meeting	Meeting
NNP	co	co
NNS	chair	chairs
NNP	Diane	Diane
NNP	Sonnenwald	Sonnenwald
CC	and	and
NNP	Lauren	Lauren
NNP	Harrison	Harrison
CD	eight	Eight
NNS	colleague	colleagues
NNP	Judit	Judit
NNP	Bar	Bar
NNP	Ilan	Ilan
NNP	Harry	Harry
NNP	Bruce	Bruce
NNP	Toni	Toni
NNP	Carbo	Carbo
NNP	Lynn	Lynn
NNP	Silipigni	Silipigni
NNP	Connaway	Connaway
NNP	Ixchel	Ixchel
NNP	Faniel	Faniel
NNP	Sandra	Sandra
NNP	Hirsh	Hirsh
NNP	Fidelia	Fidelia
NNP	Ibekwe	Ibekwe
NNP	SanJuan	SanJuan
CC	and	and
NNP	Adam	Adam
NNP	Worrall	Worrall
VBD	serve	served
IN	as	as
NN	discussion	discussion
NNS	leader	leaders
IN	at	at
DT	the	the
NN	lunch	lunch
NNS	table	tables
WRB	when	When
VBG	register	registering
IN	for	for
DT	the	the
JJ	annual	Annual
NN	meeting	Meeting
IN	in	in
NNP	Copenhagen	Copenhagen
NNS	attendee	attendees
VBD	have	had
DT	the	the
NN	option	option
IN	of	of
VBG	sign	signing
RP	up	up
TO	to	to
VB	attend	attend
DT	the	the
NN	luncheon	luncheon
CC	and	and
VBG	pay	paying
DT	the	the
JJ	additional	additional
NN	luncheon	luncheon
NN	fee	fee
IN	of	of
CD	6	6
CD	00	00
JJ	due	Due
TO	to	to
NN	space	space
NNS	constraint	constraints
DT	the	the
NN	number	number
