POS	lemma	word
VBG	use	Using
NNS	zombie	Zombies
TO	to	to
VB	teach	Teach
JJ	collaborative	Collaborative
NN	scholarship	Scholarship
CC	and	and
VBN	bear	Born
NNP	Digital	Digital
NN	publishing	Publishing
IN	by	by
NNP	Jamie	Jamie
DT	a	A
NNP	Thomas	Thomas
DT	a	A
NN	ttention	ttention
VBN	reanimate	Reanimated
NN	flesh	flesh
VBG	eat	eating
NNS	corpse	corpses
VBP	be	are
IN	on	on
DT	the	the
NN	prowl	prowl
JJ	billionsof	Billionsof
NNS	dollar	dollars
IN	of	of
DT	the	the
JJ	global	global
NN	economy	economy
VBP	have	have
VBN	be	been
VBN	take	taken
RP	over	over
IN	by	by
NNS	zombie	zombies
IN	in	in
NNS	movie	movies
NN	tv	TV
NNS	magazine	magazines
JJ	comic	comic
NNS	book	books
NNS	marathon	marathons
NN	pub	pub
VBZ	crawl	crawls
JJ	video	video
NNS	game	games
CC	and	and
JJR	more	more
CC	and	And
IN	from	from
DT	the	the
JJ	big	big
NN	screen	screen
DT	the	the
NN	undead	undead
VBP	be	are
VBG	work	working
PRP$	they	their
NN	way	way
IN	into	into
JJ	real	real
NN	life	life
NN	news	News
NNS	report	reports
VBN	saturate	saturated
IN	with	with
NNS	reference	references
TO	to	to
NNS	zombie	zombies
NNS	cannibal	cannibals
CC	and	and
NN	apocalypse	apocalypse
VBP	provide	provide
DT	a	a
JJ	compelling	compelling
NN	angle	angle
IN	from	from
WDT	which	which
TO	to	to
VB	study	study
DT	the	the
NN	interplay	interplay
IN	of	of
NN	language	language
CC	and	and
JJ	popular	popular
NN	culture	culture
DT	these	These
VBP	be	are
NNS	area	areas
IN	of	of
NN	communication	communication
NN	discourse	discourse
CC	and	and
NNS	media	media
NNS	study	studies
WDT	that	that
VBP	invite	invite
JJ	new	new
NN	research	research
CC	and	and
NN	innovation	innovation
IN	in	in
JJ	interdisciplinary	interdisciplinary
NN	teaching	teaching
CC	and	and
NN	publishing	publishing
RB	here	Here
PRP	I	I
VBP	share	share
WRB	how	how
VBG	incorporate	incorporating
NNS	zombie	zombies
IN	into	into
PRP$	my	my
JJ	first	first
NN	year	year
NN	seminar	seminar
VBZ	have	has
VBN	assist	assisted
PRP	I	me
IN	in	in
VBG	reach	reaching
NNS	undergraduate	undergraduates
WP	who	who
VBP	have	have
VBN	come	come
IN	of	of
NN	age	age
IN	with	with
DT	the	the
NN	television	television
NN	series	series
DT	the	The
VBG	walk	Walking
JJ	dead	Dead
IN	since	since
CD	2010	2010
CC	and	and
NNS	film	films
IN	like	like
JJ	warm	Warm
NNS	body	Bodies
CD	2013	2013
VBG	work	Working
IN	with	with
NNP	digital	digital
NNS	humanities	humanities
NNS	librarian	librarians
CC	and	and
NNS	student	students
IN	at	at
NNP	Swarthmore	Swarthmore
NNP	College	College
WRB	where	where
PRP	I	I
VBP	teach	teach
IN	as	as
DT	a	a
NN	faculty	faculty
NN	member	member
PRP	I	I
VBD	launch	launched
DT	the	the
NN	web	web
VBN	base	based
NN	project	project
NNS	zombie	ZOMBIES
VBN	reimagine	REIMAGINED
IN	in	in
NN	spring	Spring
CD	2016	2016
TO	to	to
VB	share	share
JJ	new	new
NN	knowledge	knowledge
IN	on	on
VBD	understudy	understudied
NNS	aspect	aspects
IN	of	of
DT	the	the
NNP	zombie	zombie
DT	the	The
NN	project	project
VBZ	be	is
DT	a	an
JJ	online	online
NN	exhibition	exhibition
IN	in	in
DT	the	the
NN	format	format
IN	of	of
DT	a	a
RB	publicly	publicly
JJ	accessible	accessible
NN	website	website
IN	with	with
JJ	individual	individual
NN	exhibit	exhibit
NNS	page	pages
VBN	contribute	contributed
IN	by	by
NNS	team	teams
IN	of	of
NN	student	student
NNP	co	co
NNS	author	authors
DT	each	Each
VBP	exhibit	exhibit
VBZ	examine	examines
NNS	representation	representations
IN	of	of
DT	the	the
NN	undead	undead
IN	for	for
WP	what	what
PRP	they	they
VBP	reveal	reveal
IN	about	about
NN	language	language
NNS	politics	politics
NN	society	society
CC	and	and
NN	culture	culture
IN	in	In
VBG	create	creating
DT	this	this
NN	project	project
PRP	I	I
VBD	learn	learned
WRB	how	how
TO	to	to
VB	guide	guide
NNS	student	students
IN	through	through
JJ	creative	creative
NN	collaboration	collaboration
IN	in	in
JJ	open	open
NN	access	access
NN	publishing	publishing
NN	i	I
RB	also	also
VBD	develop	developed
DT	a	a
JJR	deeper	deeper
NN	understanding	understanding
IN	of	of
WRB	how	how
JJ	online	online
NNS	exhibition	exhibitions
MD	can	can
VB	expand	expand
DT	the	the
NNS	audience	audiences
IN	for	for
JJ	public	public
NN	scholarship	scholarship
CC	and	and
VB	introduce	introduce
NNS	student	students
CC	and	and
NNS	instructor	instructors
IN	with	with
JJ	minimal	minimal
NN	computing	computing
NNS	background	backgrounds
TO	to	to
NNP	HTML	HTML
IN	for	for
NN	publishing	publishing
CC	and	and
VBG	prepare	preparing
NN	web	web
NN	content	content
JJ	special	Special
NN	section	Section
NN	nex	NEX
NN	t	T
NN	page	PAGE
NN	gt	gt
NN	n	N
FW	ex	EX
NN	t	T
DT	a	A
NN	rt	RT
PRP	I	I
NN	c	C
NN	l	L
NN	e	E
NN	gt	gt
NN	lt	lt
JJ	pre	PRE
NN	v	V
PRP	I	I
JJ	ous	OUS
NN	pagecontents	PAGECONTENTS
NN	b	B
NNP	U	U
NNP	L	L
NNP	L	L
NNP	E	E
NN	t	T
IN	in	IN
NN	o	O
NN	f	F
NN	t	T
NN	h	H
NN	e	E
DT	a	A
NNS	s	S
NNS	s	S
NN	o	O
NN	c	C
NN	ia	IA
NN	t	T
NNP	IO	IO
NNP	N	N
NN	f	F
NN	o	O
NN	r	R
PRP	I	I
NN	n	N
NN	f	F
NN	o	O
NN	r	R
NN	m	M
DT	a	A
NN	t	T
NNP	IO	IO
NNP	N	N
NNP	S	S
NNP	C	C
FW	ie	IE
NNP	N	N
NNP	C	C
NNP	E	E
DT	a	A
NN	n	N
NN	d	D
NN	t	T
NN	e	E
NN	c	C
NN	h	H
NN	n	N
NN	o	O
NN	l	L
NN	o	O
NN	g	G
NN	y	Y
NN	ju	JU
NN	n	N
NN	e	E
NN	j	J
NNP	U	U
NNP	LY	LY
CD	2	2
CD	0	0
CD	1	1
CD	7	7
NN	v	V
NN	o	O
NN	l	L
NN	u	U
NN	m	M
NN	e	E
CD	4	4
CD	3	3
NN	n	N
NN	u	U
NN	m	M
NN	b	B
NN	e	E
NN	r	R
CD	5	5
CD	21	21
NN	editor	EDITOR
NNS	s	S
NN	summary	SUMMARY
NNS	zombie	Zombies
VBP	have	have
VBN	be	been
JJ	sweeping	sweeping
IN	across	across
DT	all	all
NNS	type	types
IN	of	of
NNS	media	media
IN	for	for
JJ	many	many
NNS	year	years
CC	and	and
PRP$	they	their
NN	popularity	popularity
VBZ	continue	continues
TO	to	to
VB	rise	rise
IN	with	with
NN	tv	TV
NNS	show	shows
IN	like	like
DT	the	The
VBG	walk	Walking
JJ	dead	Dead
CC	and	and
NNS	movie	movies
IN	like	like
JJ	warm	Warm
NNS	body	Bodies
DT	the	The
NN	popularity	popularity
IN	of	of
NN	entertainment	entertainment
IN	about	about
DT	the	the
NN	undead	undead
VBZ	present	presents
DT	a	an
JJ	interesting	interesting
NN	opportunity	opportunity
TO	to	to
VB	draw	draw
NNS	parallel	parallels
IN	between	between
DT	the	the
NN	fiction	fiction
IN	of	of
NNS	zombie	zombies
CC	and	and
DT	the	the
NN	reality	reality
IN	of	of
JJ	human	human
NNS	politics	politics
NNS	society	societies
CC	and	and
NNS	issue	issues
IN	in	In
DT	a	an
NN	effort	effort
TO	to	to
VB	connect	connect
DT	this	this
NN	discourse	discourse
IN	with	with
VBN	bear	born
NNP	digital	digital
NNP	publishing	publishing
NNS	zombie	ZOMBIES
VBD	reimagine	REIMAGINED
VBD	be	was
VBN	create	created
DT	the	The
NN	effort	effort
IN	behind	behind
NNS	zombie	ZOMBIES
VBN	reimagine	REIMAGINED
VBD	be	was
VBN	undertake	undertaken
IN	by	by
NN	faculty	faculty
NNS	student	students
CC	and	and
NNS	librarian	librarians
IN	at	at
NNP	Swarthmore	Swarthmore
NNP	College	College
CC	and	and
PRP	it	it
VBD	be	was
VBN	launch	launched
IN	in	in
NNP	May	May
CD	2016	2016
IN	as	as
DT	a	a
JJ	public	public
NN	website	website
IN	with	with
JJ	individual	individual
NNS	exhibit	exhibits
IN	in	in
DT	the	the
NN	form	form
IN	of	of
NN	web	web
NNS	page	pages
DT	the	The
NN	web	web
NNS	page	pages
VBD	be	were
VBN	author	authored
IN	by	by
NNS	student	students
IN	in	in
DT	the	the
NN	author	author
NNS	s	s
NN	seminar	seminar
CC	and	and
VBD	turn	turned
IN	into	into
DT	a	an
JJ	online	online
NN	experience	experience
IN	with	with
DT	the	the
NN	help	help
IN	of	of
NN	swarthmore	Swarthmore
NNS	librarian	librarians
JJ	due	Due
TO	to	to
DT	the	the
NN	success	success
IN	of	of
DT	the	the
NN	project	project
DT	a	a
JJ	large	large
VBP	update	update
TO	to	to
DT	the	the
NN	site	site
VBD	be	was
VBN	launch	launched
IN	in	in
NNP	May	May
CD	2017	2017
IN	with	with
DT	all	all
JJ	new	new
NN	student	student
NNS	author	authors
CC	and	and
NNS	topic	topics
VBN	discuss	discussed
NNS	keyword	KEYWORDS
NN	web	web
NNS	site	sites
NN	collaboration	collaboration
JJ	open	open
NN	access	access
NNS	publication	publications
JJ	digital	digital
NNS	native	natives
NN	engagement	engagement
JJ	joint	joint
NN	authorship	authorship
NNP	Jamie	Jamie
DT	a	A
NNP	Thomas	Thomas
VBZ	teach	teaches
IN	in	in
NNS	sociolinguistic	sociolinguistics
JJ	intercultural	intercultural
NN	communication	communication
NN	language	language
VBG	learn	learning
CC	and	and
NNS	discourse	discourses
IN	of	of
NN	difference	difference
CC	and	and
DT	the	the
JJ	african	African
NN	diaspora	Diaspora
IN	at	at
NNP	Swarthmore	Swarthmore
NNP	College	College
PRP	she	She
VBZ	be	s
VBN	be	been
VBG	research	researching
NNP	zombie	zombie
NNS	culture	cultures
CC	and	and
NN	science	science
NN	fiction	fiction
IN	for	for
DT	the	the
JJ	last	last
CD	three	three
NNS	year	years
VBG	develop	developing
NNS	course	courses
WDT	that	that
VBP	introduce	introduce
NNS	student	students
TO	to	to
NN	discourse	discourse
NN	analysis	analysis
CC	and	and
JJ	critical	critical
NNS	examination	examinations
IN	of	of
DT	the	the
NN	rise	rise
IN	of	of
NNS	zombie	zombies
IN	in	in
JJ	popular	popular
NN	culture	culture
PRP$	she	Her
JJ	forthcoming	forthcoming
NN	book	book
VBZ	be	is
VBN	title	titled
NNS	zombie	Zombies
VBP	speak	Speak
NNP	Swahili	Swahili
PRP	she	She
MD	can	can
VB	be	be
VBN	reach	reached
IN	at	at
NN	jthomas6	jthomas6
NN	lt	lt
IN	at	at
NN	gt	gt
NN	swarthmore	swarthmore
NN	edu	edu
NN	twitter	Twitter
VBZ	jamieisjame	jamieisjames
DT	a	A
JJ	new	New
JJ	open	Open
NNS	humanities	Humanities
FW	mailto	mailto
NN	jthomas6	jthomas6
NN	swarthmore	swarthmore
NN	edu	edu
IN	through	Through
PRP$	its	its
JJ	initial	initial
NN	launch	launch
DT	the	the
NN	project	project
VBD	produce	produced
PDT	such	such
DT	a	a
JJ	strong	strong
NN	outcome	outcome
WDT	that	that
IN	with	with
DT	another	another
NN	opportunity	opportunity
TO	to	to
VB	teach	teach
DT	the	the
NN	seminar	seminar
PRP	I	I
VBD	lead	led
PRP$	we	our
NN	team	team
IN	through	through
DT	a	a
NN	spring	Spring
CD	2017	2017
NNP	update	update
WDT	that	that
VBZ	extend	extends
PRP$	we	our
NN	analysis	analysis
IN	of	of
DT	the	the
NNP	zombie	zombie
IN	with	with
DT	a	a
JJ	new	new
NN	series	series
IN	of	of
NNP	co	co
NNS	author	authors
CC	and	and
VBZ	expand	expands
PRP$	we	our
NN	use	use
IN	of	of
NN	web	web
VBN	base	based
NNS	tool	tools
IN	like	like
NN	timeline	Timeline
NNS	j	JS
IN	as	As
DT	a	a
NN	result	result
PRP	I	I
VBP	have	have
VBN	come	come
TO	to	to
VB	appreciate	appreciate
DT	the	the
NNP	digital	digital
NNS	humanities	humanities
IN	as	as
DT	a	a
NN	pathway	pathway
IN	for	for
DT	the	the
VBG	follow	following
VBG	harness	harnessing
NNP	digital	digital
NNS	tool	tools
IN	for	for
VBN	enhance	enhanced
NN	collaboration	collaboration
VBG	make	making
NN	course	course
NNS	project	projects
JJ	translational	translational
CC	and	and
JJ	meaningful	meaningful
IN	by	by
VBG	connect	connecting
NN	student	student
NNS	creator	creators
TO	to	to
JJR	wider	wider
NNS	audience	audiences
VBG	facilitate	facilitating
JJ	critical	critical
NN	engagement	engagement
IN	with	with
NN	online	online
NN	communication	communication
CC	and	and
NN	technology	technology
CC	and	and
VBG	develop	developing
DT	a	an
NN	appreciation	appreciation
IN	for	for
NN	content	content
NN	development	development
CC	and	and
NN	management	management
RB	predictably	Predictably
NNP	Zombie	Zombie
NNS	discourse	Discourses
VBP	refuse	Refuse
TO	to	to
VB	die	Die
JJR	more	More
IN	than	than
RB	ever	ever
DT	the	the
NNP	zombie	zombie
VBZ	be	is
DT	a	a
JJ	great	great
NN	resource	resource
IN	for	for
NN	teaching	teaching
NNS	student	students
WRB	how	how
TO	to	to
VB	use	use
NNS	method	methods
IN	in	in
NN	discourse	discourse
NN	analysis	analysis
TO	to	to
VB	examine	examine
NNS	media	media
NNS	representation	representations
CC	and	and
JJ	political	political
NN	dialogue	dialogue
WRB	where	Where
NN	night	Night
IN	of	of
DT	the	the
NN	living	Living
JJ	dead	Dead
CD	1968	1968
VBD	engage	engaged
DT	a	a
JJ	visionary	visionary
NN	exploration	exploration
IN	of	of
NN	race	race
CC	and	and
VB	gender	gender
DT	the	the
RBR	more	more
JJ	recent	recent
DT	the	The
VBG	walk	Walking
JJ	dead	Dead
CD	2003	2003
NN	print	print
CD	2010	2010
NN	television	television
CC	and	and
NN	world	World
NN	war	War
NN	z	Z
CD	2006	2006
NN	print	print
CD	2013	2013
NN	film	film
VBP	have	have
VBN	critique	critiqued
NN	humanity	humanity
CC	and	and
NN	globalization	globalization
DT	these	These
NNS	day	days
NNS	survivor	survivors
VBP	be	are
RB	increasingly	increasingly
VBN	picture	pictured
VBG	fight	fighting
RP	off	off
NN	starvation	starvation
CC	and	and
NN	cannibalism	cannibalism
IN	in	in
JJ	real	real
NN	life	life
NNS	location	locations
