POS	lemma	word
NN	image	image
NN	dhq	DHQ
NN	logo	Logo
NN	image	image
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
NN	logo	Logo
NN	homesubmissionsabout	homesubmissionsabout
NN	dhqdhq	dhqdhq
NN	peoplecontact	peoplecontact
JJ	current	Current
NN	issue	Issue
CD	2017	2017
CD	11	11
CD	3	3
NN	preview	Preview
NN	issue	Issue
CD	2017	2017
CD	11	11
CD	4	4
JJ	previous	Previous
NNS	issue	Issues
CD	2017	2017
CD	11	11
CD	2	2
CD	2017	2017
CD	11	11
CD	1	1
CD	2016	2016
CD	10	10
CD	4	4
CD	2016	2016
CD	10	10
CD	3	3
CD	2016	2016
CD	10	10
CD	2	2
CD	2016	2016
CD	10	10
CD	1	1
CD	2015	2015
CD	9	9
CD	4	4
CD	2015	2015
CD	9	9
CD	3	3
CD	2015	2015
CD	9	9
CD	2	2
CD	2015	2015
CD	9	9
CD	1	1
CD	2014	2014
CD	8	8
CD	4	4
CD	2014	2014
CD	8	8
CD	3	3
CD	2014	2014
CD	8	8
CD	2	2
CD	2014	2014
CD	8	8
CD	1	1
CD	2013	2013
CD	7	7
CD	3	3
CD	2013	2013
CD	7	7
CD	2	2
CD	2013	2013
CD	7	7
CD	1	1
CD	2012	2012
CD	6	6
CD	3	3
CD	2012	2012
CD	6	6
CD	2	2
CD	2012	2012
CD	6	6
CD	1	1
CD	2011	2011
CD	5	5
CD	3	3
CD	2011	2011
CD	5	5
CD	2	2
CD	2011	2011
CD	5	5
CD	1	1
CD	2010	2010
CD	4	4
CD	2	2
CD	2010	2010
CD	4	4
CD	1	1
CD	2009	2009
CD	3	3
CD	4	4
CD	2009	2009
CD	3	3
CD	3	3
CD	2009	2009
CD	3	3
CD	2	2
CD	2009	2009
CD	3	3
CD	1	1
CD	2008	2008
CD	2	2
CD	1	1
CD	2007	2007
CD	1	1
CD	2	2
CD	2007	2007
CD	1	1
CD	1	1
NNS	index	Indexes
NN	title	Title
NN	author	Author
NN	image	image
NN	sidenavbarimg	sidenavbarimg
NN	issn	ISSN
CD	1938	1938
CD	4122	4122
NNS	announcement	Announcements
VBP	call	Call
IN	for	for
NNS	reviewer	Reviewers
VBP	call	Call
IN	for	for
NNS	submission	Submissions
NN	image	image
NN	button1	button1
NN	addthis	addthis
NN	gif	gif
NNP	DHQ	DHQ
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
CD	2017	2017
NN	volume	Volume
CD	11	11
NN	number	Number
CD	3	3
CD	2017	2017
CD	11	11
CD	3	3
NN	xml	XML
VBP	discuss	Discuss
NNS	comment	Comments
JJ	digital	Digital
NNS	humanities	Humanities
NN	pedagogy	Pedagogy
IN	as	as
JJ	essential	Essential
JJ	liberal	Liberal
NN	education	Education
DT	a	A
NN	framework	Framework
IN	for	for
NN	curriculum	Curriculum
NN	development	Development
NNP	Brandon	Brandon
NN	t	T
NN	locke	Locke
NN	lt	lt
NN	brandontlocke_at_gmail_dot_com	brandontlocke_at_gmail_dot_com
NN	gt	gt
NNP	Michigan	Michigan
NNP	State	State
NNP	University	University
NN	abstract	Abstract
NNP	Digital	Digital
NNS	humanities	humanities
NNS	project	projects
CC	and	and
NNS	method	methods
VBP	be	are
VBG	become	becoming
RB	increasingly	increasingly
JJ	common	common
IN	in	in
JJ	undergraduate	undergraduate
NNS	humanities	humanities
NNS	classroom	classrooms
JJ	digital	Digital
NNS	project	projects
CC	and	and
NNS	exercise	exercises
VBP	allow	allow
NNS	student	students
TO	to	to
VB	engage	engage
IN	with	with
JJ	new	new
NN	technology	technology
VBP	collaborate	collaborate
IN	with	with
NNS	peer	peers
VBP	graduate	graduate
NNS	student	students
CC	and	and
NN	faculty	faculty
CC	and	and
VBP	produce	produce
JJ	tangible	tangible
NN	scholarship	scholarship
WDT	that	that
VBZ	be	is
RB	publicly	publicly
JJ	visible	visible
DT	the	The
NN	lab	Lab
IN	for	for
DT	the	the
NN	education	Education
CC	and	and
NN	advancement	Advancement
IN	in	in
NNP	Digital	Digital
NNP	Research	Research
NNP	LEADR	LEADR
DT	a	a
JJ	new	new
NN	student	student
VBD	focus	focused
NNP	digital	digital
NNS	humanities	humanities
NN	initiative	initiative
IN	at	at
NNP	Michigan	Michigan
NNP	State	State
NNP	University	University
VBZ	have	has
VBN	introduce	introduced
NNP	digital	digital
NNS	component	components
IN	into	into
JJ	large	large
NNS	number	numbers
IN	of	of
IN	of	of
NN	history	History
CC	and	and
NNP	Anthropology	Anthropology
NNS	course	courses
IN	through	Through
CD	two	two
NNS	year	years
IN	of	of
NNS	course	courses
PRP	it	it
VBZ	have	has
VBN	prove	proven
JJ	fruitful	fruitful
TO	to	to
VB	frame	frame
DT	these	these
RB	not	not
IN	as	as
NNP	Digital	Digital
NNS	humanities	Humanities
NNS	project	projects
CC	but	but
IN	as	as
NN	part	part
IN	of	of
DT	a	a
NNP	digital	digital
NNP	liberal	liberal
NNP	arts	arts
NN	curriculum	curriculum
WDT	that	that
VBZ	seek	seeks
TO	to	to
VB	teach	teach
NNS	student	students
RB	not	not
RB	only	only
IN	about	about
DT	the	the
NN	domain	domain
JJ	specific	specific
NN	content	content
CC	but	but
RB	also	also
JJ	essential	essential
NNS	skill	skills
IN	for	for
NN	information	information
NN	retrieval	retrieval
CC	and	and
NN	analysis	analysis
NNS	media	media
NN	literacy	literacy
CC	and	and
NN	communication	communication
IN	in	in
DT	the	the
NNP	digital	digital
NN	age	age
DT	this	This
NN	framework	framework
VBZ	place	places
DT	these	these
NNS	skill	skills
IN	as	as
NNS	extension	extensions
IN	of	of
JJ	longstanding	longstanding
NNS	skill	skills
NNS	literacy	literacies
CC	and	and
NNS	knowledge	knowledges
WDT	that	that
NNS	humanities	humanities
CC	and	and
NNP	social	social
NNPS	sciences	sciences
VBP	have	have
VBN	contribute	contributed
IN	towards	towards
JJ	liberal	liberal
NNS	art	arts
NN	education	education
PRP	we	We
MD	ought	ought
TO	to	to
VB	be	be
JJ	able	able
RB	not	not
RB	only	only
TO	to	to
VB	find	find
DT	any	any
NN	kind	kind
IN	of	of
NN	document	document
IN	on	on
DT	the	the
NN	web	Web
CC	but	but
RB	also	also
TO	to	to
VB	create	create
DT	any	any
NN	kind	kind
IN	of	of
NN	document	document
RB	easily	easily
PRP	we	We
MD	should	should
VB	be	be
JJ	able	able
RB	not	not
RB	only	only
TO	to	to
VB	follow	follow
NNS	link	links
CC	but	but
TO	to	to
VB	create	create
PRP	they	them
IN	between	between
DT	all	all
NNS	sort	sorts
IN	of	of
NNS	media	media
PRP	we	We
MD	should	should
VB	be	be
JJ	able	able
RB	not	not
RB	only	only
TO	to	to
VB	interact	interact
IN	with	with
JJ	other	other
NNS	people	people
CC	but	but
TO	to	to
VB	create	create
IN	with	with
JJ	other	other
NNS	people	people
NN	intercreativity	Intercreativity
VBZ	be	is
DT	the	the
NN	process	process
IN	of	of
VBG	make	making
NNS	thing	things
CC	or	or
VBG	solve	solving
NNS	problem	problems
RB	together	together
IN	if	If
NN	interactivity	interactivity
VBZ	be	is
RB	not	not
RB	just	just
VBG	sit	sitting
RB	there	there
RB	passively	passively
IN	in	in
NN	front	front
IN	of	of
DT	a	a
NN	display	display
NN	screen	screen
RB	then	then
NN	intercreativity	intercreativity
VBZ	be	is
RB	not	not
RB	just	just
VBG	sit	sitting
RB	there	there
IN	in	in
NN	front	front
IN	of	of
NN	something	something
JJ	interactive	interactive
NNP	Berners	Berners
NNP	Lee	Lee
CC	and	and
NNP	Fischetti	Fischetti
CD	1999	1999
CD	1	1
IN	as	As
DT	the	the
NN	field	field
IN	of	of
NNP	digital	digital
NNS	humanities	humanities
VBZ	continue	continues
TO	to	to
VB	gain	gain
NN	traction	traction
IN	in	in
JJ	disciplinary	disciplinary
NNS	department	departments
CC	and	and
IN	in	in
NNS	library	libraries
JJ	digital	digital
NNS	project	projects
CC	and	and
NNS	method	methods
VBP	be	are
VBG	become	becoming
RB	increasingly	increasingly
JJ	common	common
IN	in	in
