POS	lemma	word
NN	image	image
NN	dhq	DHQ
NN	logo	Logo
NN	image	image
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
NN	logo	Logo
NN	homesubmissionsabout	homesubmissionsabout
NN	dhqdhq	dhqdhq
NN	peoplecontact	peoplecontact
JJ	current	Current
NN	issue	Issue
CD	2017	2017
CD	11	11
CD	3	3
NN	preview	Preview
NN	issue	Issue
CD	2017	2017
CD	11	11
CD	4	4
JJ	previous	Previous
NNS	issue	Issues
CD	2017	2017
CD	11	11
CD	2	2
CD	2017	2017
CD	11	11
CD	1	1
CD	2016	2016
CD	10	10
CD	4	4
CD	2016	2016
CD	10	10
CD	3	3
CD	2016	2016
CD	10	10
CD	2	2
CD	2016	2016
CD	10	10
CD	1	1
CD	2015	2015
CD	9	9
CD	4	4
CD	2015	2015
CD	9	9
CD	3	3
CD	2015	2015
CD	9	9
CD	2	2
CD	2015	2015
CD	9	9
CD	1	1
CD	2014	2014
CD	8	8
CD	4	4
CD	2014	2014
CD	8	8
CD	3	3
CD	2014	2014
CD	8	8
CD	2	2
CD	2014	2014
CD	8	8
CD	1	1
CD	2013	2013
CD	7	7
CD	3	3
CD	2013	2013
CD	7	7
CD	2	2
CD	2013	2013
CD	7	7
CD	1	1
CD	2012	2012
CD	6	6
CD	3	3
CD	2012	2012
CD	6	6
CD	2	2
CD	2012	2012
CD	6	6
CD	1	1
CD	2011	2011
CD	5	5
CD	3	3
CD	2011	2011
CD	5	5
CD	2	2
CD	2011	2011
CD	5	5
CD	1	1
CD	2010	2010
CD	4	4
CD	2	2
CD	2010	2010
CD	4	4
CD	1	1
CD	2009	2009
CD	3	3
CD	4	4
CD	2009	2009
CD	3	3
CD	3	3
CD	2009	2009
CD	3	3
CD	2	2
CD	2009	2009
CD	3	3
CD	1	1
CD	2008	2008
CD	2	2
CD	1	1
CD	2007	2007
CD	1	1
CD	2	2
CD	2007	2007
CD	1	1
CD	1	1
NNS	index	Indexes
NN	title	Title
NN	author	Author
NN	image	image
NN	sidenavbarimg	sidenavbarimg
NN	issn	ISSN
CD	1938	1938
CD	4122	4122
NNS	announcement	Announcements
VBP	call	Call
IN	for	for
NNS	reviewer	Reviewers
VBP	call	Call
IN	for	for
NNS	submission	Submissions
NN	image	image
NN	button1	button1
NN	addthis	addthis
NN	gif	gif
NNP	DHQ	DHQ
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
CD	2017	2017
NN	volume	Volume
CD	11	11
NN	number	Number
CD	3	3
CD	2017	2017
CD	11	11
CD	3	3
NN	xml	XML
VBP	discuss	Discuss
NNS	comment	Comments
VBP	dh	DH
IN	for	for
NN	history	History
NNS	student	Students
DT	a	A
NN	case	Case
NN	study	Study
IN	at	at
DT	the	the
NNP	Facultad	Facultad
NNP	de	de
NNP	Filosof	Filosof
DT	a	a
NN	y	y
FW	letras	Letras
JJ	national	National
JJ	autonomous	Autonomous
NN	university	University
IN	of	of
NNP	Mexico	Mexico
NNP	Adriana	Adriana
NNP	lvarez	lvarez
NNP	S	S
NNP	nchez	nchez
JJ	lt	lt
NN	adralvsan_at_gmail_dot_com	adralvsan_at_gmail_dot_com
NN	gt	gt
JJ	national	National
JJ	autonomous	Autonomous
NN	university	University
IN	of	of
NNP	Mexico	Mexico
NNP	Miriam	Miriam
NNP	Pe	Pe
DT	a	a
NNP	Pimentel	Pimentel
NN	lt	lt
NN	miriampenapimentel_at_gmail_dot_com	miriampenapimentel_at_gmail_dot_com
NN	gt	gt
JJ	national	National
JJ	autonomous	Autonomous
NN	university	University
IN	of	of
NNP	Mexico	Mexico
NN	abstract	Abstract
NNP	Digital	Digital
NNS	humanities	Humanities
NN	dh	DH
VBZ	be	is
DT	a	a
NN	field	field
IN	of	of
NN	research	research
IN	in	in
WDT	which	which
NNS	humanist	humanists
IN	at	at
DT	the	the
JJ	national	National
JJ	autonomous	Autonomous
NN	university	University
IN	of	of
NNP	Mexico	Mexico
NNP	UNAM	UNAM
MD	can	can
VB	take	take
NN	part	part
CC	and	and
IN	about	about
WDT	which	which
PRP	they	they
MD	can	can
VB	collaborate	collaborate
IN	in	in
NNS	debate	debates
CC	and	and
NNS	project	projects
VBG	introduce	Introducing
NN	dh	DH
IN	in	in
DT	the	the
JJ	academic	academic
NNS	program	programs
IN	at	at
DT	a	an
JJ	undergraduate	undergraduate
NN	level	level
MD	can	can
VB	be	be
DT	a	a
JJ	difficult	difficult
NN	path	path
TO	to	to
NNP	traverse	traverse
RB	even	Even
RB	so	so
IN	for	for
DT	the	the
JJ	academic	academic
NN	year	year
CD	2016	2016
PRP	we	we
VBD	manage	managed
TO	to	to
VB	include	include
DT	a	a
JJ	specialized	Specialized
NN	seminar	Seminar
NN	workshop	Workshop
IN	on	on
DT	this	this
NN	field	field
IN	of	of
NN	study	study
IN	within	within
DT	the	the
NN	history	History
NN	course	Course
IN	at	at
DT	the	the
NNP	Facultad	Facultad
NNP	de	de
NNP	Filosof	Filosof
DT	a	a
NN	y	y
FW	letras	Letras
IN	at	at
DT	the	the
NNP	UNAM	UNAM
DT	this	This
NN	article	article
VBZ	show	shows
CC	and	and
VBZ	analyze	analyzes
DT	the	the
NN	context	context
DT	the	the
NNS	method	methods
CC	and	and
DT	the	the
JJ	academic	academic
JJ	technical	technical
CC	and	and
NN	specialization	specialization
NNS	implication	implications
VBP	dh	DH
VBZ	have	has
IN	in	in
DT	the	the
NN	history	History
NN	field	field
CC	and	and
IN	in	in
NNS	humanities	Humanities
IN	in	in
JJ	general	general
CC	and	and
RB	also	also
VBZ	present	presents
DT	the	the
NNS	result	results
IN	of	of
PRP$	we	our
NN	teaching	teaching
NN	work	work
IN	of	of
DT	the	the
NN	research	research
NN	project	project
IN	in	in
NN	teaching	teaching
TO	to	to
WDT	which	which
PRP	it	it
VBZ	be	is
VBN	connect	connected
CC	and	and
IN	of	of
DT	some	some
JJ	other	other
NNS	activity	activities
WDT	which	which
VBP	aim	aim
IN	at	at
VBG	establish	establishing
DT	a	an
JJ	academic	academic
NNP	digital	digital
NN	culture	culture
IN	in	in
DT	this	this
NN	school	School
NNS	s	s
NN	community	community
NN	introduction	Introduction
CD	1	1
CD	2	2
CD	1	1
DT	the	The
VBG	follow	following
NNS	page	pages
MD	shall	shall
VB	begin	begin
IN	by	by
VBG	describe	describing
DT	the	the
JJ	institutional	institutional
NN	context	context
IN	of	of
DT	the	the
NN	plan	Plan
FW	de	de
FW	estudios	Estudios
FW	de	de
FW	la	la
FW	licenciatura	Licenciatura
FW	en	en
FW	historia	Historia
CD	3	3
NN	pe	PE
PRP$	its	its
NN	acronym	acronym
IN	in	in
JJ	spanish	Spanish
IN	next	Next
DT	the	the
NNS	feature	features
IN	of	of
DT	the	the
NN	subject	subject
IN	by	by
DT	the	the
NN	name	name
IN	of	of
NNP	Seminario	Seminario
JJR	taller	Taller
NN	especializado	Especializado
VBN	specialize	Specialized
NN	seminar	Seminar
NN	workshop	Workshop
MD	shall	shall
VB	be	be
VBN	explain	explained
RB	as	as
RB	well	well
IN	as	as
DT	the	the
NN	way	way
IN	in	in
WDT	which	which
DT	this	this
NN	space	space
VBZ	have	has
VBN	be	been
JJ	able	able
TO	to	to
VB	become	become
DT	a	a
NN	laboratory	laboratory
IN	for	for
DT	the	the
NN	introduction	introduction
IN	of	of
NNP	digital	digital
NNS	humanities	humanities
IN	in	in
DT	the	the
NN	history	History
NN	course	Course
NN	section	Section
CD	3	3
MD	shall	shall
VB	present	present
DT	a	a
NN	study	study
NN	case	case
VBG	combine	combining
DT	the	the
NN	teaching	teaching
NN	experience	experience
CC	and	and
DT	the	the
JJ	pedagogical	pedagogical
NN	work	work
IN	in	in
DT	the	the
NN	classroom	classroom
DT	some	Some
IN	of	of
DT	the	the
NNP	digital	digital
NNS	object	objects
VBD	produce	produced
IN	in	in
DT	the	the
NN	seminar	Seminar
NN	workshop	Workshop
MD	will	will
VB	be	be
VBN	introduce	introduced
IN	in	in
NN	section	Section
CD	4	4
CD	2	2
DT	this	This
