POS	lemma	word
NN	image	image
NN	dhq	DHQ
NN	logo	Logo
NN	image	image
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
NN	logo	Logo
NN	homesubmissionsabout	homesubmissionsabout
NN	dhqdhq	dhqdhq
NN	peoplecontact	peoplecontact
JJ	current	Current
NN	issue	Issue
CD	2017	2017
CD	11	11
CD	3	3
NN	preview	Preview
NN	issue	Issue
CD	2017	2017
CD	11	11
CD	4	4
JJ	previous	Previous
NNS	issue	Issues
CD	2017	2017
CD	11	11
CD	2	2
CD	2017	2017
CD	11	11
CD	1	1
CD	2016	2016
CD	10	10
CD	4	4
CD	2016	2016
CD	10	10
CD	3	3
CD	2016	2016
CD	10	10
CD	2	2
CD	2016	2016
CD	10	10
CD	1	1
CD	2015	2015
CD	9	9
CD	4	4
CD	2015	2015
CD	9	9
CD	3	3
CD	2015	2015
CD	9	9
CD	2	2
CD	2015	2015
CD	9	9
CD	1	1
CD	2014	2014
CD	8	8
CD	4	4
CD	2014	2014
CD	8	8
CD	3	3
CD	2014	2014
CD	8	8
CD	2	2
CD	2014	2014
CD	8	8
CD	1	1
CD	2013	2013
CD	7	7
CD	3	3
CD	2013	2013
CD	7	7
CD	2	2
CD	2013	2013
CD	7	7
CD	1	1
CD	2012	2012
CD	6	6
CD	3	3
CD	2012	2012
CD	6	6
CD	2	2
CD	2012	2012
CD	6	6
CD	1	1
CD	2011	2011
CD	5	5
CD	3	3
CD	2011	2011
CD	5	5
CD	2	2
CD	2011	2011
CD	5	5
CD	1	1
CD	2010	2010
CD	4	4
CD	2	2
CD	2010	2010
CD	4	4
CD	1	1
CD	2009	2009
CD	3	3
CD	4	4
CD	2009	2009
CD	3	3
CD	3	3
CD	2009	2009
CD	3	3
CD	2	2
CD	2009	2009
CD	3	3
CD	1	1
CD	2008	2008
CD	2	2
CD	1	1
CD	2007	2007
CD	1	1
CD	2	2
CD	2007	2007
CD	1	1
CD	1	1
NNS	index	Indexes
NN	title	Title
NN	author	Author
NN	image	image
NN	sidenavbarimg	sidenavbarimg
NN	issn	ISSN
CD	1938	1938
CD	4122	4122
NNS	announcement	Announcements
VBP	call	Call
IN	for	for
NNS	reviewer	Reviewers
VBP	call	Call
IN	for	for
NNS	submission	Submissions
NN	image	image
NN	button1	button1
NN	addthis	addthis
NN	gif	gif
NNP	DHQ	DHQ
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
CD	2017	2017
NN	volume	Volume
CD	11	11
NN	number	Number
CD	3	3
CD	2017	2017
CD	11	11
CD	3	3
NN	xml	XML
VBP	discuss	Discuss
NNS	comment	Comments
VBG	build	Building
DT	a	a
NN	student	Student
VBD	center	Centered
NNP	Digital	Digital
NNP	Learning	Learning
NNP	Community	Community
IN	with	With
NNPS	Undergraduates	Undergraduates
NNP	Danica	Danica
NNP	Savonick	Savonick
JJ	lt	lt
NN	danicasavonick_at_gmail_dot_com	danicasavonick_at_gmail_dot_com
NN	gt	gt
DT	the	The
NN	graduate	Graduate
NN	center	Center
NN	cuny	CUNY
NNP	Lisa	Lisa
NNP	Tagliaferri	Tagliaferri
JJ	lt	lt
NN	ltagliaferri_at_gradcenter_dot_cuny_dot_edu	ltagliaferri_at_gradcenter_dot_cuny_dot_edu
NN	gt	gt
DT	the	The
NN	graduate	Graduate
NN	center	Center
NN	cuny	CUNY
NN	abstract	Abstract
DT	this	This
NN	article	article
VBZ	argue	argues
IN	that	that
NNP	digital	digital
NNS	humanities	humanities
NNS	project	projects
MD	can	can
VB	promote	promote
JJ	social	social
NN	change	change
NN	collaboration	collaboration
NN	equity	equity
CC	and	and
NN	creativity	creativity
IN	through	through
DT	a	a
NN	focus	focus
IN	on	on
NN	pedagogy	pedagogy
IN	in	in
DT	the	the
JJ	undergraduate	undergraduate
NN	classroom	classroom
PRP	we	We
VBP	analyze	analyze
DT	a	a
JJ	pedagogical	pedagogical
NN	project	project
WDT	that	that
RB	overtly	overtly
VBD	set	set
RP	out	out
TO	to	to
VB	challenge	challenge
NNS	structure	structures
IN	of	of
NN	power	power
CC	and	and
NN	privilege	privilege
IN	in	in
DT	the	the
JJ	undergraduate	undergraduate
NN	classroom	classroom
IN	through	through
DT	the	the
NN	use	use
IN	of	of
DT	a	an
JJ	open	open
NN	source	source
NN	online	online
VBG	learn	learning
NN	community	community
DT	the	The
NNS	future	Futures
NN	initiative	Initiative
NNP	Commons	Commons
IN	in	in
DT	a	a
NN	box	Box
NN	site	site
VBD	be	was
VBN	develop	developed
CC	and	and
VBN	modify	modified
IN	by	by
DT	the	the
NNP	university	university
NN	faculty	faculty
NN	graduate	graduate
CC	and	and
JJ	undergraduate	undergraduate
NNS	student	students
WDT	that	that
VBP	make	make
RP	up	up
DT	the	the
NN	community	community
IN	of	of
NNS	user	users
DT	this	This
NN	learning	learning
NN	community	community
VBZ	invite	invites
JJ	undergraduate	undergraduate
CC	and	and
JJ	graduate	graduate
NNS	student	students
TO	to	to
VB	become	become
JJ	active	active
NN	knowledge	knowledge
NNS	producer	producers
WP	who	who
VBP	contribute	contribute
TO	to	to
PRP$	they	their
JJ	own	own
NN	teaching	teaching
CC	and	and
NN	learning	learning
IN	as	As
JJ	such	such
DT	the	the
NN	site	site
VBZ	work	works
TO	to	to
VB	increase	increase
NNS	student	students
NN	agency	agency
CC	and	and
NN	reconfigure	reconfigure
JJ	hierarchical	hierarchical
NNS	relationship	relationships
IN	of	of
NN	power	power
CC	and	and
NN	knowledge	knowledge
CD	1	1
IN	at	At
PRP$	its	its
JJS	best	best
NN	education	education
VBZ	catalyze	catalyzes
NN	student	student
NN	agency	agency
VBZ	encourage	encourages
JJ	critical	critical
JJ	creative	creative
CC	and	and
JJ	collaborative	collaborative
NN	thinking	thinking
CC	and	and
VBZ	promote	promotes
NN	equity	equity
RB	even	even
IN	amidst	amidst
NNS	condition	conditions
IN	of	of
JJ	widespread	widespread
NN	inequality	inequality
CC	and	and
NN	injustice	injustice
CC	but	But
WRB	how	how
RB	often	often
VBP	be	are
DT	these	these
NNS	value	values
VBD	promote	promoted
CC	or	or
RB	even	even
VBN	reflect	reflected
IN	in	in
PRP$	we	our
NNP	digital	digital
NNP	learning	learning
NNS	environment	environments
IN	as	As
NNP	Miriam	Miriam
NNP	Posner	Posner
VBD	argue	argued
IN	in	in
DT	a	a
JJ	recent	recent
NN	keynote	keynote
VBN	deliver	delivered
IN	at	at
DT	the	the
NN	keystone	Keystone
NNP	Digital	Digital
NNS	humanities	Humanities
NN	conference	Conference
IN	for	For
DT	all	all
IN	of	of
PRP$	its	its
JJ	vaunted	vaunted
NN	innovation	innovation
DT	the	the
NNP	digital	digital
NNS	humanities	humanities
RB	actually	actually
VBZ	borrow	borrows
DT	a	a
NN	lot	lot
IN	of	of
PRP$	its	its
NN	infrastructure	infrastructure
NNS	datum	data
NNS	model	models
CC	and	and
JJ	visual	visual
NN	rhetoric	rhetoric
IN	from	from
JJ	other	other
NNS	area	areas
CC	and	and
RB	particularly	particularly
IN	from	from
NNS	model	models
VBN	develop	developed
IN	for	for
NN	business	business
NNS	application	applications
NNP	Posner	Posner
CD	2015	2015
IN	in	In
NNP	digital	digital
NNP	learning	learning
NNS	space	spaces
EX	there	there
VBZ	be	is
DT	a	a
JJ	similar	similar
NN	problem	problem
NN	design	design
RB	often	often
VBZ	borrow	borrows
IN	from	from
DT	a	a
JJ	traditional	traditional
NN	instructor	instructor
JJ	centered	centered
NN	model	model
IN	of	of
VBG	learn	learning
IN	with	with
JJ	little	little
NN	room	room
IN	for	for
NN	collaboration	collaboration
IN	among	among
NNS	student	students
VBP	peer	peer
NN	review	review
CC	or	or
NNS	opportunity	opportunities
IN	for	for
NNS	student	students
TO	to	to
VB	design	design
NNS	aspect	aspects
IN	of	of
PRP$	they	their
NNS	course	courses
IN	in	In
NN	addition	addition
IN	as	as
NNP	Audrey	Audrey
NNP	Watters	Watters
RB	recently	recently
VBD	argue	argued
NNP	learning	learning
NNP	management	management
NNP	systems	systems
VB	collect	collect
JJ	massive	massive
