POS	lemma	word
NN	image	image
NN	page	Page
NN	header	Header
JJ	open	Open
NNP	Journal	Journal
NNP	Systems	Systems
NNP	Journal	Journal
VB	help	Help
NN	user	User
JJ	username	Username
NN	password	Password
VB	remember	Remember
PRP	I	me
NNP	Journal	Journal
NN	content	Content
NN	search	Search
NN	search	Search
NN	scope	Scope
DT	all	All
NNS	author	Authors
NN	title	Title
JJ	abstract	Abstract
NN	index	Index
NNS	term	terms
JJ	full	Full
NN	text	Text
NN	browse	Browse
IN	by	By
NN	issue	Issue
IN	by	By
NN	author	Author
IN	by	By
NN	title	Title
JJ	other	Other
NNS	journal	Journals
NN	font	Font
NN	size	Size
JJ	current	Current
NN	issue	Issue
NN	image	image
NN	atom	Atom
NN	logo	logo
NN	image	image
NN	rss2	RSS2
NN	logo	logo
NN	image	image
NN	rss1	RSS1
NN	logo	logo
NN	article	Article
NNS	tool	Tools
NN	image	image
NN	abstract	Abstract
NN	image	image
NN	print	Print
DT	this	this
NN	article	article
NN	image	image
NN	indexing	Indexing
NNP	metadata	metadata
NN	image	image
WRB	how	How
TO	to	to
VB	cite	cite
NN	item	item
NN	image	image
NN	email	Email
DT	this	this
NN	article	article
NN	login	Login
VBN	require	required
NN	image	image
NN	email	Email
DT	the	the
NN	author	author
NN	login	Login
VBN	require	required
IN	about	About
DT	the	The
NNS	author	Authors
NNP	Qianli	Qianli
NNP	Yuan	Yuan
NN	ph	Ph
NN	d	D
NN	student	student
IN	in	in
DT	the	the
NN	department	Department
IN	of	of
JJ	public	Public
NN	administration	Administration
CC	and	and
NN	policy	Policy
NNP	Rockefeller	Rockefeller
NNP	College	College
IN	of	of
NNP	Public	Public
NNPS	Affairs	Affairs
CC	and	and
NNP	Policy	Policy
NNP	University	University
IN	at	at
NNP	Albany	Albany
NNP	SUNY	SUNY
NNP	Mila	Mila
NNP	Gasc	Gasc
NNP	Research	Research
JJ	associate	Associate
NN	professor	Professor
IN	in	in
DT	the	the
NN	department	Department
IN	of	of
JJ	public	Public
NN	administration	Administration
CC	and	and
NN	policy	Policy
NNP	Rockefeller	Rockefeller
NNP	College	College
IN	of	of
NNP	Public	Public
NNPS	Affairs	Affairs
CC	and	and
NN	policy	Policy
CC	and	and
DT	the	the
JJ	associate	Associate
NN	research	Research
NN	director	Director
IN	in	in
DT	the	the
NN	center	Center
IN	for	for
NN	technology	Technology
IN	in	in
NN	government	Government
CC	both	both
IN	at	at
DT	the	the
NNP	University	University
IN	at	at
NNP	Albany	Albany
NNP	SUNY	SUNY
NNP	Home	Home
IN	about	About
NNP	Login	Login
NNP	Register	Register
VB	search	Search
JJ	current	Current
NNS	archive	Archives
NNS	announcement	Announcements
NNS	submission	SUBMISSIONS
NN	home	Home
NN	gt	gt
NN	volume	Volume
CD	23	23
NN	number	Number
CD	4	4
CD	2	2
NNP	April	April
CD	2018	2018
NN	gt	gt
NN	yuan	Yuan
NN	image	image
RB	first	First
NNP	Monday	Monday
NN	image	image
NNS	citizen	Citizens
NN	use	use
IN	of	of
NN	microblogging	microblogging
CC	and	and
NN	government	government
NN	communication	communication
IN	during	during
NNS	emergency	emergencies
DT	a	A
NN	case	case
NN	study	study
IN	on	on
NN	water	water
NN	contamination	contamination
IN	in	in
NNP	Shanghai	Shanghai
IN	by	by
NNP	Qianli	Qianli
NNP	Yuan	Yuan
CC	and	and
NNP	Mila	Mila
NNP	Gasco	Gasco
NN	image	image
NN	abstract	Abstract
DT	this	This
NN	study	study
VBD	explore	explored
WRB	how	how
NNS	citizen	citizens
CC	and	and
NNS	government	governments
VBN	use	used
VBG	microblogg	microblogging
IN	for	for
NN	communication	communication
IN	during	during
DT	the	the
NN	water	water
NN	contamination	contamination
NN	incident	incident
IN	in	in
NNP	Shanghai	Shanghai
NNP	China	China
VBN	base	Based
IN	on	on
NN	analysis	analysis
IN	of	of
DT	both	both
NN	citizen	citizen
CC	and	and
NN	government	government
NN	microblogging	microblogging
NNS	post	posts
DT	this	this
NN	study	study
VBD	show	showed
NNS	citizen	citizens
MD	can	can
VB	use	use
NN	microblogging	microblogging
TO	to	to
VB	engage	engage
IN	in	in
DT	the	the
NN	emergency	emergency
NN	response	response
IN	in	in
CD	four	four
JJ	different	different
NNS	way	ways
IN	while	while
NNS	government	governments
RB	mainly	mainly
VBD	apply	applied
DT	a	a
NN	push	push
NN	strategy	strategy
IN	for	for
NN	communication	communication
IN	although	Although
JJ	public	public
NNS	organization	organizations
VBD	show	showed
DT	a	a
JJ	weak	weak
NN	sign	sign
IN	of	of
VBG	use	using
DT	a	a
NN	pull	pull
NN	strategy	strategy
DT	the	the
JJ	overall	overall
NN	misalignment	misalignment
IN	in	in
DT	the	the
NN	use	use
IN	of	of
NN	microblogging	microblogging
VBD	limit	limited
PRP$	its	its
NNS	benefit	benefits
IN	as	as
DT	a	an
JJ	interactive	interactive
NN	platform	platform
