POS	lemma	word
NN	collaboration	Collaboration
IN	in	in
DT	the	the
NN	spotlight	Spotlight
DT	the	The
JJ	open	Open
NN	symphony	Symphony
NN	case	Case
IN	by	by
NNP	Kate	Kate
NNP	Hayes	Hayes
PRP	I	I
NN	n	n
NNP	September	September
CD	2014	2014
PRP	I	I
VBD	begin	began
VBG	work	working
IN	on	on
DT	a	a
NN	concept	concept
IN	of	of
NN	audience	audience
NN	interactionfor	interactionfor
VBP	live	live
NN	music	music
IN	as	as
NN	part	part
IN	of	of
PRP$	my	my
NN	master	master
NNS	s	s
NN	degree	degree
IN	at	at
NNP	Guildhall	Guildhall
NNP	School	School
IN	of	of
NN	music	Music
CC	and	and
NN	drama	Drama
VBD	gsmd	GSMD
DT	the	The
NN	pathway	pathway
IN	of	of
DT	this	this
NN	masters	masters
VBD	be	was
NN	leadership	leadership
DT	the	the
JJ	other	other
CD	two	two
VBG	be	being
NN	composition	composition
CC	and	and
NN	performance	performance
TO	to	To
VB	give	give
DT	some	some
NN	idea	idea
IN	of	of
WP	what	what
NNS	leadershipmean	leadershipmeans
IN	in	in
DT	this	this
NN	context	context
DT	the	the
NN	pathway	pathway
VBD	be	was
VBN	focus	focused
RBR	less	less
IN	on	on
VBG	develop	developing
DT	a	an
JJ	instrumental	instrumental
NN	skill	skill
CC	or	or
NN	performance	performance
NN	technique	technique
CC	and	and
JJR	more	more
IN	on	on
VBG	develop	developing
DT	a	an
JJ	artistic	artistic
NN	craft	craft
IN	with	with
DT	a	a
JJ	strong	strong
NN	focus	focus
IN	on	on
NN	collaboration	collaboration
CC	either	either
IN	with	with
JJ	other	other
NNS	musician	musicians
IN	with	with
NNS	community	communities
IN	with	with
NNS	artist	artists
IN	of	of
JJ	other	other
NNS	discipline	disciplines
CC	or	or
IN	in	in
JJ	different	different
NNS	field	fields
PRP	it	It
VBD	provide	provided
DT	a	a
NN	performance	performance
NNS	art	arts
NN	environment	environment
CC	and	and
DT	a	a
NN	space	space
TO	to	to
NN	experiment	experiment
IN	with	with
DT	all	all
NNS	aspect	aspects
IN	of	of
WP	what	what
VBN	influence	influenced
PRP	you	you
IN	as	as
DT	a	a
NN	musician	musician
NN	something	something
WDT	which	which
VBZ	be	is
JJ	common	common
IN	in	in
JJ	other	other
NN	art	art
NNS	practice	practices
JJ	such	such
IN	as	as
JJ	visual	visual
NN	art	art
CC	and	and
NN	theatre	theatre
CC	but	but
RB	sadly	sadly
RB	often	often
VBG	miss	missing
IN	from	from
JJ	formal	formal
NN	music	music
NN	training	training
IN	for	For
DT	the	the
JJ	final	final
NN	exam	exam
NNS	student	students
VBP	present	present
DT	a	a
JJ	subject	subject
VBN	choose	chosen
IN	by	by
PRP	they	them
IN	in	in
DT	a	a
NN	format	format
IN	of	of
PRP$	they	their
NN	choice	choice
DT	some	Some
NNS	example	examples
IN	from	from
JJ	previous	previous
NNS	presentation	presentations
VBP	include	include
DT	a	an
NN	oboist	oboist
VBG	collaborate	collaborating
IN	with	with
DT	a	an
JJ	electronic	electronic
NN	musician	musician
CC	and	and
JJ	light	light
NN	artist	artist
TO	to	to
VB	explore	explore
DT	the	the
JJ	japanese	Japanese
NN	concept	concept
IN	of	of
NNP	Wabi	Wabi
NNP	sabi	sabi
DT	a	a
NN	flautist	flautist
VBG	explore	exploring
DT	the	the
NN	love	love
NNS	song	songs
IN	of	of
NN	fruit	fruit
VBZ	fly	flies
TO	to	to
VB	create	create
DT	a	a
NN	music	music
NN	piece	piece
CC	and	and
JJ	visual	visual
NN	presentation	presentation
CC	and	and
DT	a	a
NN	singer	singer
VBG	explore	exploring
PRP$	she	her
JJ	israeli	Israeli
NN	identity	identity
CC	and	and
WRB	how	how
PRP$	its	its
NN	history	history
NNS	impact	impacts
IN	on	on
NNPS	Palestinians	Palestinians
NN	today	today
IN	through	through
NN	holocaust	Holocaust
NN	song	song
CC	and	and
NN	collaboration	collaboration
IN	with	with
JJ	palestinian	Palestinian
NNS	singer	singers
IN	although	Although
PRP	I	I
VBP	be	am
DT	a	a
NN	singer	singer
NN	technology	technology
VBZ	have	has
RB	always	always
VBD	have	had
DT	a	a
JJ	strong	strong
NN	influence	influence
IN	on	on
PRP$	my	my
NN	work	work
WDT	which	which
VBZ	use	uses
JJ	different	different
NN	sound	sound
NN	processing	processing
NNS	technique	techniques
NN	stereo	stereo
CC	and	and
JJ	special	Special
NN	section	Section
NN	nex	NEX
NN	t	T
NN	page	PAGE
NN	gt	gt
NN	n	N
FW	ex	EX
NN	t	T
DT	a	A
NN	rt	RT
PRP	I	I
NN	c	C
NN	l	L
NN	e	E
NN	gt	gt
NN	lt	lt
JJ	pre	PRE
NN	v	V
PRP	I	I
JJ	ous	OUS
NN	pagecontents	PAGECONTENTS
NN	b	B
NNP	U	U
NNP	L	L
NNP	L	L
NNP	E	E
NN	t	T
IN	in	IN
NN	o	O
NN	f	F
NN	t	T
NN	h	H
NN	e	E
DT	a	A
NNS	s	S
NNS	s	S
NN	o	O
NN	c	C
NN	ia	IA
NN	t	T
NNP	IO	IO
NNP	N	N
NN	f	F
NN	o	O
NN	r	R
PRP	I	I
NN	n	N
NN	f	F
NN	o	O
NN	r	R
NN	m	M
DT	a	A
NN	t	T
NNP	IO	IO
NNP	N	N
NNP	S	S
NNP	C	C
FW	ie	IE
NNP	N	N
NNP	C	C
NNP	E	E
DT	a	A
NN	n	N
NN	d	D
NN	t	T
NN	e	E
NN	c	C
NN	h	H
NN	n	N
NN	o	O
NN	l	L
NN	o	O
NN	g	G
NN	y	Y
NN	ju	JU
NN	n	N
NN	e	E
NN	j	J
NNP	U	U
NNP	LY	LY
CD	2	2
CD	0	0
CD	1	1
CD	7	7
NN	v	V
NN	o	O
NN	l	L
NN	u	U
NN	m	M
NN	e	E
CD	4	4
CD	3	3
NN	n	N
NN	u	U
NN	m	M
NN	b	B
NN	e	E
NN	r	R
CD	5	5
CD	27	27
NN	editor	EDITOR
NNS	s	S
NN	summary	SUMMARY
DT	the	The
NN	voice	voice
IN	of	of
DT	the	the
VBG	perform	performing
NNS	art	arts
VBZ	be	is
DT	a	an
JJ	important	important
IN	though	though
RB	seldom	seldom
VBN	hear	heard
JJ	disciplinary	disciplinary
NN	component	component
IN	of	of
NN	information	information
NN	science	science
NN	research	research
DT	the	The
