POS	lemma	word
NN	image	image
NN	dhq	DHQ
NN	logo	Logo
NN	image	image
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
NN	logo	Logo
NN	homesubmissionsabout	homesubmissionsabout
NN	dhqdhq	dhqdhq
NN	peoplecontact	peoplecontact
JJ	current	Current
NN	issue	Issue
CD	2017	2017
CD	11	11
CD	3	3
NN	preview	Preview
NN	issue	Issue
CD	2017	2017
CD	11	11
CD	4	4
JJ	previous	Previous
NNS	issue	Issues
CD	2017	2017
CD	11	11
CD	2	2
CD	2017	2017
CD	11	11
CD	1	1
CD	2016	2016
CD	10	10
CD	4	4
CD	2016	2016
CD	10	10
CD	3	3
CD	2016	2016
CD	10	10
CD	2	2
CD	2016	2016
CD	10	10
CD	1	1
CD	2015	2015
CD	9	9
CD	4	4
CD	2015	2015
CD	9	9
CD	3	3
CD	2015	2015
CD	9	9
CD	2	2
CD	2015	2015
CD	9	9
CD	1	1
CD	2014	2014
CD	8	8
CD	4	4
CD	2014	2014
CD	8	8
CD	3	3
CD	2014	2014
CD	8	8
CD	2	2
CD	2014	2014
CD	8	8
CD	1	1
CD	2013	2013
CD	7	7
CD	3	3
CD	2013	2013
CD	7	7
CD	2	2
CD	2013	2013
CD	7	7
CD	1	1
CD	2012	2012
CD	6	6
CD	3	3
CD	2012	2012
CD	6	6
CD	2	2
CD	2012	2012
CD	6	6
CD	1	1
CD	2011	2011
CD	5	5
CD	3	3
CD	2011	2011
CD	5	5
CD	2	2
CD	2011	2011
CD	5	5
CD	1	1
CD	2010	2010
CD	4	4
CD	2	2
CD	2010	2010
CD	4	4
CD	1	1
CD	2009	2009
CD	3	3
CD	4	4
CD	2009	2009
CD	3	3
CD	3	3
CD	2009	2009
CD	3	3
CD	2	2
CD	2009	2009
CD	3	3
CD	1	1
CD	2008	2008
CD	2	2
CD	1	1
CD	2007	2007
CD	1	1
CD	2	2
CD	2007	2007
CD	1	1
CD	1	1
NNS	index	Indexes
NN	title	Title
NN	author	Author
NN	image	image
NN	sidenavbarimg	sidenavbarimg
NN	issn	ISSN
CD	1938	1938
CD	4122	4122
NNS	announcement	Announcements
VBP	call	Call
IN	for	for
NNS	reviewer	Reviewers
VBP	call	Call
IN	for	for
NNS	submission	Submissions
NN	image	image
NN	button1	button1
NN	addthis	addthis
NN	gif	gif
NNP	DHQ	DHQ
NNP	Digital	Digital
NNS	humanities	Humanities
JJ	quarterly	Quarterly
CD	2017	2017
NN	volume	Volume
CD	11	11
NN	number	Number
CD	3	3
CD	2017	2017
CD	11	11
CD	3	3
NN	xml	XML
VBP	discuss	Discuss
NNS	comment	Comments
JJ	interdisciplinary	Interdisciplinary
NN	collaboration	Collaboration
CC	and	and
NN	brokerage	Brokerage
IN	in	in
DT	the	the
NNP	Digital	Digital
NNS	humanities	Humanities
NNP	Anela	Anela
NNP	Chan	Chan
JJ	lt	lt
NN	anelachan_at_gmail_dot_com	anelachan_at_gmail_dot_com
NN	gt	gt
JJ	independent	Independent
NN	scholar	Scholar
NNP	Richard	Richard
NNP	Chenhall	Chenhall
JJ	lt	lt
NN	chenhall_at_unimelb_dot_edu_dot_au	chenhall_at_unimelb_dot_edu_dot_au
NN	gt	gt
NN	university	University
IN	of	of
NNP	Melbourne	Melbourne
NNP	Tamara	Tamara
NNP	Kohn	Kohn
JJ	lt	lt
NN	tkohn_at_unimelb_dot_edu_dot_au	tkohn_at_unimelb_dot_edu_dot_au
NN	gt	gt
NN	university	University
IN	of	of
NNP	Melbourne	Melbourne
NNP	Carolyn	Carolyn
NNP	Stevens	Stevens
JJ	lt	lt
NN	carolyn_dot_stevens_at_monash_dot_edu	carolyn_dot_stevens_at_monash_dot_edu
NN	gt	gt
NNP	Monash	Monash
NNP	University	University
NN	abstract	Abstract
JJ	interdisciplinary	Interdisciplinary
NN	collaboration	collaboration
VBZ	bring	brings
DT	the	the
NN	benefit	benefit
IN	of	of
JJ	multiple	multiple
NNS	perspective	perspectives
TO	to	to
DT	a	a
NN	research	research
NN	project	project
CC	yet	yet
PRP	it	it
RB	also	also
VBZ	provide	provides
NNS	opportunity	opportunities
IN	for	for
NN	reflection	reflection
IN	on	on
DT	each	each
NN	discipline	discipline
NNS	s	s
NN	knowledge	knowledge
NN	base	base
DT	this	This
NN	article	article
VBZ	present	presents
DT	a	a
NN	case	case
NN	study	study
IN	in	in
JJ	interdisciplinary	interdisciplinary
NN	collaboration	collaboration
IN	between	between
CD	two	two
JJ	disparate	disparate
NNS	field	fields
NN	web	web
NN	development	development
CC	and	and
NNP	anthropology	anthropology
PRP	we	We
VBP	explore	explore
DT	the	the
NNS	challenge	challenges
IN	of	of
VBG	translate	translating
IN	between	between
NNS	domain	domains
IN	with	with
VBG	differ	differing
NNS	value	values
NNS	aim	aims
CC	and	and
NNS	methodology	methodologies
RB	as	as
RB	well	well
IN	as	as
NNS	issue	issues
WDT	that	that
VBD	arise	arose
IN	for	for
PRP	we	us
IN	during	during
DT	the	the
NN	development	development
IN	of	of
DT	a	a
NN	web	web
NN	application	application
VBN	design	designed
TO	to	to
VB	provide	provide
DT	a	a
JJ	digital	digital
NN	output	output
IN	of	of
DT	a	an
JJ	ethnographic	ethnographic
NN	project	project
PRP	we	We
VBP	consider	consider
PRP$	we	our
NN	experience	experience
VBG	use	using
DT	the	the
JJ	agile	Agile
NN	style	style
IN	of	of
NN	software	software
NN	development	development
WDT	which	which
VBZ	emphasise	emphasises
JJ	rapid	rapid
NN	prototyping	prototyping
NN	iteration	iteration
CC	and	and
RB	even	even
NN	failure	failure
IN	in	In
DT	the	the
JJ	long	long
NN	run	run
PRP	we	we
VBP	find	find
JJ	negative	negative
NNS	experience	experiences
IN	in	in
NN	web	web
NN	development	development
MD	can	can
VB	be	be
RBR	more	more
JJ	valuable	valuable
IN	than	than
DT	the	the
JJ	positive	positive
NNS	one	ones
DT	the	The
NN	concept	concept
IN	of	of
NN	knowledge	knowledge
NN	brokerage	brokerage
VBZ	be	is
DT	a	a
JJ	useful	useful
NN	term	term
TO	to	to
VB	describe	describe
DT	the	the
NN	collaboration	collaboration
IN	between	between
DT	the	the
NNS	academic	academics
WP	who	who
VBD	be	were
VBN	force	forced
TO	to	to
VB	conceptualise	conceptualise
PRP$	they	their
NNS	datum	data
IN	in	in
JJ	new	new
NNS	way	ways
CC	and	and
DT	the	the
NN	developer	developer
WP	who	who
VBD	negotiate	negotiated
DT	these	these
NNS	transition	transitions
IN	between	between
JJ	abstract	abstract
NN	information	information
CC	and	and
JJ	binary	binary
NNS	datum	data
CC	and	and
IN	between	between
NN	academia	academia
CC	and	and
DT	a	a
JJ	public	public
VBG	face	facing
NN	web	web
NN	application	application
NN	introduction	Introduction
CD	1	1
NN	interdisciplinarity	Interdisciplinarity
VBZ	be	is
DT	a	a
JJ	key	key
NN	concept	concept
VBG	drive	driving
JJ	many	many
NNS	call	calls
IN	for	for
JJ	collaborative	collaborative
NN	research	research
CC	and	and
JJ	innovative	innovative
NN	teaching	teaching
IN	in	in
DT	the	the
NNS	humanities	humanities
DT	the	The
NNS	benefit	benefits
IN	of	of
NN	interdisciplinarity	interdisciplinarity
IN	in	in
NN	education	education
CC	and	and
NN	research	research
VBP	include	include
DT	a	an
NN	integration	integration
IN	of	of
NN	knowledge	knowledge
NN	freedom	freedom
IN	of	of
NN	inquiry	inquiry
CC	and	and
NN	innovation	innovation
NNP	Boix	Boix
NNP	Mansilla	Mansilla
CC	and	and
NNP	Dawes	Dawes
NNP	Duraisingh	Duraisingh
CD	2007	2007
CD	217	217
WDT	which	which
VBZ	be	is
VBN	consider	considered
JJ	crucial	crucial
TO	to	to
VBG	solve	solving
JJ	contemporary	contemporary
JJ	social	social
NNS	problem	problems
CC	and	and
VBG	enhance	enhancing
NN	understanding	understanding
IN	of	of
DT	the	the
NNS	art	arts
CC	and	and
NN	literature	literature
WDT	that	That
VBD	say	said
PRP	it	it
VBZ	be	is
RB	often	often
JJ	difficult	difficult
TO	to	to
VB	embark	embark
IN	on	on
VBN	give	given
IN	that	that
